Roky,PCSU,Kraje,Ukazatel,value
2024,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty - nová výstavba,733
2024,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty - změna dokončených staveb,267
2024,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty v nových rodinných domech,600
2024,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty v nových bytových domech,129
2024,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty v nebytových budovách,68
2024,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty,998
2024,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty - nová výstavba,826
2024,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty - změna dokončených staveb,172
2024,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty v nových rodinných domech,701
2024,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty v nových bytových domech,120
2024,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty v nebytových budovách,17
2024,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty,898
2024,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty - nová výstavba,637
2024,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty - změna dokončených staveb,261
2024,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty v nových rodinných domech,464
2024,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty v nových bytových domech,171
2024,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty v nebytových budovách,51
2024,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty,963
2024,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty - nová výstavba,778
2024,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty - změna dokončených staveb,185
2024,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty v nových rodinných domech,563
2024,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty v nových bytových domech,210
