Roky,Oblasti destinačního managementu členěné,Kategorie ubytovacího zařízení,Ukazatel,Rezidence,value
2024,Praha,"Hotel, motel, botel *",Počet hostů,Rezidenti,5972.0
2024,Praha,"Hotel, motel, botel *",Počet hostů,Nerezidenti,9654.0
2024,Praha,"Hotel, motel, botel *",Počet přenocování,Celkem,29230.0
2024,Praha,"Hotel, motel, botel *",Počet přenocování,Rezidenti,9904.0
2024,Praha,"Hotel, motel, botel *",Počet přenocování,Nerezidenti,19326.0
2024,Praha,"Hotel, motel, botel *",Průměrný počet přenocování ,Celkem,1.8706002816
2024,Praha,"Hotel, motel, botel *",Průměrný počet přenocování ,Rezidenti,1.6584058942
2024,Praha,"Hotel, motel, botel *",Průměrný počet přenocování ,Nerezidenti,2.0018645121
2024,Praha,Hotel garni,Počet hostů,Celkem,138006.0
2024,Praha,Hotel garni,Počet hostů,Rezidenti,33835.0
2024,Praha,Hotel garni,Počet hostů,Nerezidenti,104171.0
2024,Praha,Hotel garni,Počet přenocování,Celkem,305022.0
2024,Praha,Hotel garni,Počet přenocování,Rezidenti,55538.0
2024,Praha,Hotel garni,Počet přenocování,Nerezidenti,249484.0
2024,Praha,Hotel garni,Průměrný počet přenocování ,Celkem,2.2102082518
2024,Praha,Hotel garni,Průměrný počet přenocování ,Rezidenti,1.6414363824
2024,Praha,Hotel garni,Průměrný počet přenocování ,Nerezidenti,2.3949467702
2024,Praha,Penzion,Počet hostů,Celkem,108710.0
2024,Praha,Penzion,Počet hostů,Rezidenti,39740.0
2024,Praha,Penzion,Počet hostů,Nerezidenti,68970.0
2024,Praha,Penzion,Počet přenocování,Celkem,254789.0
2024,Praha,Penzion,Počet přenocování,Rezidenti,71666.0
2024,Praha,Penzion,Počet přenocování,Nerezidenti,183123.0
2024,Praha,Penzion,Průměrný počet přenocování ,Celkem,2.3437494251
2024,Praha,Penzion,Průměrný počet přenocování ,Rezidenti,1.8033719175
2024,Praha,Penzion,Průměrný počet přenocování ,Nerezidenti,2.6551109178
2024,Praha,Kemp,Počet hostů,Celkem,54089.0
2024,Praha,Kemp,Počet hostů,Rezidenti,5344.0
2024,Praha,Kemp,Počet hostů,Nerezidenti,48745.0
2024,Praha,Kemp,Počet přenocování,Celkem,123900.0
2024,Praha,Kemp,Počet přenocování,Rezidenti,13984.0
2024,Praha,Kemp,Počet přenocování,Nerezidenti,109916.0
2024,Praha,Kemp,Průměrný počet přenocování ,Celkem,2.2906690824
2024,Praha,Kemp,Průměrný počet přenocování ,Rezidenti,2.6167664671
2024,Praha,Kemp,Průměrný počet přenocování ,Nerezidenti,2.2549184532
2024,Praha,Chatová osada,Počet hostů,Celkem,
2024,Praha,Chatová osada,Počet hostů,Rezidenti,
2024,Praha,Chatová osada,Počet hostů,Nerezidenti,
2024,Praha,Chatová osada,Počet přenocování,Celkem,
2024,Praha,Chatová osada,Počet přenocování,Rezidenti,
2024,Praha,Chatová osada,Počet přenocování,Nerezidenti,
2024,Praha,Chatová osada,Průměrný počet přenocování ,Celkem,
2024,Praha,Chatová osada,Průměrný počet přenocování ,Rezidenti,
2024,Praha,Chatová osada,Průměrný počet přenocování ,Nerezidenti,
2024,Praha,Turistická ubytovna,Počet hostů,Celkem,218575.0
2024,Praha,Turistická ubytovna,Počet hostů,Rezidenti,42550.0
2024,Praha,Turistická ubytovna,Počet hostů,Nerezidenti,176025.0
2024,Praha,Turistická ubytovna,Počet přenocování,Celkem,519583.0
2024,Praha,Turistická ubytovna,Počet přenocování,Rezidenti,85049.0
2024,Praha,Turistická ubytovna,Počet přenocování,Nerezidenti,434534.0
2024,Praha,Turistická ubytovna,Průměrný počet přenocování ,Celkem,2.3771382821
2024,Praha,Turistická ubytovna,Průměrný počet přenocování ,Rezidenti,1.9988014101
2024,Praha,Turistická ubytovna,Průměrný počet přenocování ,Nerezidenti,2.4685925295
2024,Praha,Ostatní HUZ,Počet hostů,Celkem,296152.0
2024,Praha,Ostatní HUZ,Počet hostů,Rezidenti,70216.0
2024,Praha,Ostatní HUZ,Počet hostů,Nerezidenti,225936.0
2024,Praha,Ostatní HUZ,Počet přenocování,Celkem,808179.0
2024,Praha,Ostatní HUZ,Počet přenocování,Rezidenti,146962.0
2024,Praha,Ostatní HUZ,Počet přenocování,Nerezidenti,661217.0
2024,Praha,Ostatní HUZ,Průměrný počet přenocování ,Celkem,2.7289331154
2024,Praha,Ostatní HUZ,Průměrný počet přenocování ,Rezidenti,2.0929987467
2024,Praha,Ostatní HUZ,Průměrný počet přenocování ,Nerezidenti,2.9265677006
