Roky,Oblasti destinačního managementu členěné,Kategorie ubytovacího zařízení,Ukazatel,Rezidence,value
2024,Praha,HUZ celkem,Počet hostů,Celkem,8063367.0
2024,Praha,HUZ celkem,Počet hostů,Rezidenti,1561069.0
2024,Praha,HUZ celkem,Počet hostů,Nerezidenti,6502298.0
2024,Praha,HUZ celkem,Počet přenocování,Celkem,18279256.0
2024,Praha,HUZ celkem,Počet přenocování,Rezidenti,2614466.0
2024,Praha,HUZ celkem,Počet přenocování,Nerezidenti,15664790.0
2024,Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2.2669507663
2024,Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,1.6747920816
2024,Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2.4091159772
2024,Praha,Hotel *****,Počet hostů,Celkem,1281394.0
2024,Praha,Hotel *****,Počet hostů,Rezidenti,110234.0
2024,Praha,Hotel *****,Počet hostů,Nerezidenti,1171160.0
2024,Praha,Hotel *****,Počet přenocování,Celkem,3106835.0
2024,Praha,Hotel *****,Počet přenocování,Rezidenti,181157.0
2024,Praha,Hotel *****,Počet přenocování,Nerezidenti,2925678.0
2024,Praha,Hotel *****,Průměrný počet přenocování ,Celkem,2.4245743308
2024,Praha,Hotel *****,Průměrný počet přenocování ,Rezidenti,1.6433858882
2024,Praha,Hotel *****,Průměrný počet přenocování ,Nerezidenti,2.4981027357
2024,Praha,"Hotel, motel, botel ****",Počet hostů,Celkem,4122317.0
2024,Praha,"Hotel, motel, botel ****",Počet hostů,Rezidenti,780897.0
2024,Praha,"Hotel, motel, botel ****",Počet hostů,Nerezidenti,3341420.0
2024,Praha,"Hotel, motel, botel ****",Počet přenocování,Celkem,9171044.0
2024,Praha,"Hotel, motel, botel ****",Počet přenocování,Rezidenti,1240643.0
2024,Praha,"Hotel, motel, botel ****",Počet přenocování,Nerezidenti,7930401.0
2024,Praha,"Hotel, motel, botel ****",Průměrný počet přenocování ,Celkem,2.2247304125
2024,Praha,"Hotel, motel, botel ****",Průměrný počet přenocování ,Rezidenti,1.5887408967
2024,Praha,"Hotel, motel, botel ****",Průměrný počet přenocování ,Nerezidenti,2.3733625225
2024,Praha,"Hotel, motel, botel ***",Počet hostů,Celkem,1784283.0
2024,Praha,"Hotel, motel, botel ***",Počet hostů,Rezidenti,455595.0
2024,Praha,"Hotel, motel, botel ***",Počet hostů,Nerezidenti,1328688.0
2024,Praha,"Hotel, motel, botel ***",Počet přenocování,Celkem,3854961.0
2024,Praha,"Hotel, motel, botel ***",Počet přenocování,Rezidenti,776385.0
2024,Praha,"Hotel, motel, botel ***",Počet přenocování,Nerezidenti,3078576.0
2024,Praha,"Hotel, motel, botel ***",Průměrný počet přenocování ,Celkem,2.1605098519
2024,Praha,"Hotel, motel, botel ***",Průměrný počet přenocování ,Rezidenti,1.7041122049
2024,Praha,"Hotel, motel, botel ***",Průměrný počet přenocování ,Nerezidenti,2.3170044435
2024,Praha,"Hotel, motel, botel **",Počet hostů,Celkem,44215.0
2024,Praha,"Hotel, motel, botel **",Počet hostů,Rezidenti,16686.0
2024,Praha,"Hotel, motel, botel **",Počet hostů,Nerezidenti,27529.0
2024,Praha,"Hotel, motel, botel **",Počet přenocování,Celkem,105713.0
2024,Praha,"Hotel, motel, botel **",Počet přenocování,Rezidenti,33178.0
2024,Praha,"Hotel, motel, botel **",Počet přenocování,Nerezidenti,72535.0
2024,Praha,"Hotel, motel, botel **",Průměrný počet přenocování ,Celkem,2.3908854461
2024,Praha,"Hotel, motel, botel **",Průměrný počet přenocování ,Rezidenti,1.9883734868
2024,Praha,"Hotel, motel, botel **",Průměrný počet přenocování ,Nerezidenti,2.6348577863
2024,Praha,"Hotel, motel, botel *",Počet hostů,Celkem,15626.0
