Kumulace čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43875.6308840423
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2750.8825129734
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.6891169477
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),466.0680231168
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.4229762867
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.090836634
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41716.9242262536
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2571.8185405958
Q1-Q2 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.569961929
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),326.8162049693
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-2.0250187376
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.384195596
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43090.8043967316
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2302.4824639979
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.6449551119
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),342.5383749509
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.3307514584
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.6130064155
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41112.9794261236
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2107.2046496291
Q1-Q2 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.4022889218
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),523.9350035456
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-2.4789289873
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.5290913036
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43135.1964103208
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2609.6715278577
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.4395748986
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),551.3695709946
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.4722621869
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.7336919715
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40988.912832851
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2400.6591209885
Q1-Q2 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.2212173137
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),643.2910316875
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.9098007378
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.1416294085
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),46024.9693045612
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3174.4403895157
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.4081708438
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),680.6168631645
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),2.6236562847
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.3869738307
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43500.9057072932
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2901.1250133682
Q1-Q2 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.14566671
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),424.3362000463
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.2416508103
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.7082435546
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42158.5966141989
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2552.1822019687
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.4438607732
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),447.197305008
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.404605962
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.9096058457
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40003.4134513265
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2345.8156784248
Q1-Q2 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.2293290522
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),412.8377603749
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-4.1597681915
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.0024477589
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42942.1677450931
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2838.0730782507
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.0767663547
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),433.97020629
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-3.3601311084
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.2316720746
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40851.0724943224
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2611.5383679008
Q1-Q2 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.8294199382
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),826.617823706
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),21.5203888411
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.6730166945
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),62395.036985578
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4586.6634213226
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.9342543969
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),884.0114809498
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),25.3557444494
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.9529581381
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),58344.094838743
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4141.4950168636
Q1-Q2 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.6407682113
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),425.641415958
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.5194430454
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.122186826
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),49087.1853659588
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3097.4909869433
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.7351849773
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),446.2588453761
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),1.0965751369
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.2463315537
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),46819.3276190474
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2899.9954673046
Q1-Q2 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.6030044749
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),219.622806538
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.1036030536
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.5000131359
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43159.0785692098
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2792.8682594898
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.9188270042
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),230.8887867545
