Území,Roky,Ukazatel,value
Česko,2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",6108823.003454
Česko,2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",5413434.312655
Česko,2024,Bilance - pohyb zboží (v mil. Kč),695388.690799
Česko,2024,Pohyb zboží z ČR (meziroční index ),107.6456661561
Česko,2024,Pohyb zboží do ČR (meziroční index),105.1461139274
Česko,2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",5674936.318006
Česko,2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",5148487.291118
Česko,2023,Bilance - pohyb zboží (v mil. Kč),526449.026888
Česko,2023,Pohyb zboží z ČR (meziroční index ),100.3425483573
Česko,2023,Pohyb zboží do ČR (meziroční index),93.0755391051
Česko,2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",5655563.2789
Česko,2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",5531514.875573
Česko,2022,Bilance - pohyb zboží (v mil. Kč),124048.403327
Česko,2022,Pohyb zboží z ČR (meziroční index ),114.7179837531
Česko,2022,Pohyb zboží do ČR (meziroční index),119.8915954447
Česko,2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",4929970.954747
Česko,2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",4613763.671302
Česko,2021,Bilance - pohyb zboží (v mil. Kč),316207.283445
Česko,2021,Pohyb zboží z ČR (meziroční index ),110.9904545285
Česko,2021,Pohyb zboží do ČR (meziroční index),116.3933623207
Česko,2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",4441797.24796
Česko,2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",3963940.536908
Česko,2020,Bilance - pohyb zboží (v mil. Kč),477856.711052
Česko,2020,Pohyb zboží z ČR (meziroční index ),96.9835407076
Česko,2020,Pohyb zboží do ČR (meziroční index),96.2457934934
Česko,2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",4579949.562115
Česko,2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",4118559.775996
Česko,2019,Bilance - pohyb zboží (v mil. Kč),461389.786119
Česko,2019,Pohyb zboží z ČR (meziroční index ),103.9988317257
Česko,2019,Pohyb zboží do ČR (meziroční index),102.3709917438
Česko,2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",4403847.126087
Česko,2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",4023170.730145
Česko,2018,Bilance - pohyb zboží (v mil. Kč),380676.395942
Česko,2018,Pohyb zboží z ČR (meziroční index ),103.752063193
Česko,2018,Pohyb zboží do ČR (meziroční index),105.8330286052
Česko,2017,"Pohyb zboží z ČR (v mil. Kč, FOB)",4244587.520051
Česko,2017,"Pohyb zboží do ČR (v mil. Kč, CIF)",3801432.464031
Česko,2017,Bilance - pohyb zboží (v mil. Kč),443155.05602
Česko,2017,Pohyb zboží z ČR (meziroční index ),106.8078035559
Česko,2017,Pohyb zboží do ČR (meziroční index),108.7779678474
Česko,2016,"Pohyb zboží z ČR (v mil. Kč, FOB)",3974042.512566
Česko,2016,"Pohyb zboží do ČR (v mil. Kč, CIF)",3494671.337641
Česko,2016,Bilance - pohyb zboží (v mil. Kč),479371.174925
Česko,2016,Pohyb zboží z ČR (meziroční index ),102.3
Česko,2016,Pohyb zboží do ČR (meziroční index),100.5082237122
Česko,2015,"Pohyb zboží z ČR (v mil. Kč, FOB)",3883248.930974
Česko,2015,"Pohyb zboží do ČR (v mil. Kč, CIF)",3477000.39715
Česko,2015,Bilance - pohyb zboží (v mil. Kč),406248.533824
Česko,2015,Pohyb zboží z ČR (meziroční index ),107.0
Česko,2015,Pohyb zboží do ČR (meziroční index),108.7
Česko,2014,"Pohyb zboží z ČR (v mil. Kč, FOB)",3628826.0
Česko,2014,"Pohyb zboží do ČR (v mil. Kč, CIF)",3199630.0
Česko,2014,Bilance - pohyb zboží (v mil. Kč),429195.0
Česko,2014,Pohyb zboží z ČR (meziroční index ),114.3
Česko,2014,Pohyb zboží do ČR (meziroční index),113.3
Česko,2013,"Pohyb zboží z ČR (v mil. Kč, FOB)",3174704.0
Česko,2013,"Pohyb zboží do ČR (v mil. Kč, CIF)",2823485.0
Česko,2013,Bilance - pohyb zboží (v mil. Kč),351220.0
Česko,2013,Pohyb zboží z ČR (meziroční index ),103.3
Česko,2013,Pohyb zboží do ČR (meziroční index),102.0
Česko,2012,"Pohyb zboží z ČR (v mil. Kč, FOB)",3072598.0
Česko,2012,"Pohyb zboží do ČR (v mil. Kč, CIF)",2766888.0
Česko,2012,Bilance - pohyb zboží (v mil. Kč),305710.0
Česko,2012,Pohyb zboží z ČR (meziroční index ),106.7
Česko,2012,Pohyb zboží do ČR (meziroční index),103.0
Česko,2011,"Pohyb zboží z ČR (v mil. Kč, FOB)",2878691.0
Česko,2011,"Pohyb zboží do ČR (v mil. Kč, CIF)",2687563.0
Česko,2011,Bilance - pohyb zboží (v mil. Kč),191128.0
Česko,2011,Pohyb zboží z ČR (meziroční index ),113.7
