Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Čtvrtletí,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,1. čtvrtletí 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,2. čtvrtletí 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,3. čtvrtletí 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,4. čtvrtletí 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,1. čtvrtletí 2001,106.5511993116
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,2. čtvrtletí 2001,107.0961342087
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,3. čtvrtletí 2001,108.6914535062
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,4. čtvrtletí 2001,111.1227452259
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,1. čtvrtletí 2002,103.7528870985
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,2. čtvrtletí 2002,101.1805895346
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,3. čtvrtletí 2002,101.1707203153
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,4. čtvrtletí 2002,101.1293556731
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,1. čtvrtletí 2003,104.38543731
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,2. čtvrtletí 2003,107.8094452221
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,3. čtvrtletí 2003,110.5238307665
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,4. čtvrtletí 2003,106.1566101776
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,1. čtvrtletí 2004,103.8566764318
