Stát,Roky,Ukazatel,Velkost zpravodajské jednotky,value
Česko,2023,Náklady práce celkem,Celkem zaměstnanců,59451.1823484487
Česko,2023,Náklady práce celkem,1 až 9 zaměstnanců,38217.1381869464
Česko,2023,Náklady práce celkem,10 až 19 zaměstnanců,46070.0268932346
Česko,2023,Náklady práce celkem,20 a více zaměstnanců,63803.7079267798
Česko,2023,Náklady práce celkem,20 až 49 zaměstnanců,52777.0015215749
Česko,2023,Náklady práce celkem,50 až 99 zaměstnanců,57288.2302909049
Česko,2023,Náklady práce celkem,100 až 249 zaměstnanců,59624.8396684208
Česko,2023,Náklady práce celkem,250 až 499 zaměstnanců,63240.627150654
Česko,2023,Náklady práce celkem,500 až 999 zaměstnanců,68462.3272195529
Česko,2023,Náklady práce celkem,1 000 a více zaměstnanců,72907.5662576749
Česko,2023,Přímé náklady celkem,Celkem zaměstnanců,42802.3810007776
Česko,2023,Přímé náklady celkem,1 až 9 zaměstnanců,28159.3687209376
Česko,2023,Přímé náklady celkem,10 až 19 zaměstnanců,33560.8612414305
Česko,2023,Přímé náklady celkem,20 a více zaměstnanců,45805.1417029681
Česko,2023,Přímé náklady celkem,20 až 49 zaměstnanců,38508.6441710185
Česko,2023,Přímé náklady celkem,50 až 99 zaměstnanců,41817.1367099726
Česko,2023,Přímé náklady celkem,100 až 249 zaměstnanců,43209.6075096527
Česko,2023,Přímé náklady celkem,250 až 499 zaměstnanců,45405.2375683744
Česko,2023,Přímé náklady celkem,500 až 999 zaměstnanců,49059.460292275
Česko,2023,Přímé náklady celkem,1 000 a více zaměstnanců,51533.8692926933
Česko,2023,Přímé náklady - mzdy za vykonanou práci,Celkem zaměstnanců,37982.512660366
Česko,2023,Přímé náklady - mzdy za vykonanou práci,1 až 9 zaměstnanců,25659.7061941368
Česko,2023,Přímé náklady - mzdy za vykonanou práci,10 až 19 zaměstnanců,30009.4936950014
Česko,2023,Přímé náklady - mzdy za vykonanou práci,20 a více zaměstnanců,40527.219924364
Česko,2023,Přímé náklady - mzdy za vykonanou práci,20 až 49 zaměstnanců,34228.2782011914
Česko,2023,Přímé náklady - mzdy za vykonanou práci,50 až 99 zaměstnanců,36852.2052858408
Česko,2023,Přímé náklady - mzdy za vykonanou práci,100 až 249 zaměstnanců,38228.6515542729
Česko,2023,Přímé náklady - mzdy za vykonanou práci,250 až 499 zaměstnanců,40180.2202438241
Česko,2023,Přímé náklady - mzdy za vykonanou práci,500 až 999 zaměstnanců,43426.8079569478
Česko,2023,Přímé náklady - mzdy za vykonanou práci,1 000 a více zaměstnanců,45577.8870195327
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Celkem zaměstnanců,29168.9391053282
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,1 až 9 zaměstnanců,22372.3106102161
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,10 až 19 zaměstnanců,24121.8258105294
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,20 a více zaměstnanců,30631.3098536658
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,20 až 49 zaměstnanců,27165.217468144
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,50 až 99 zaměstnanců,28815.160736581
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,100 až 249 zaměstnanců,29439.7806587898
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,250 až 499 zaměstnanců,30117.2603312702
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,500 až 999 zaměstnanců,32230.5465433847
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,1 000 a více zaměstnanců,33401.9341766823
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,Celkem zaměstnanců,3631.6126803342
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,1 až 9 zaměstnanců,2165.0165764367
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,10 až 19 zaměstnanců,3523.4327340689
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,20 a více zaměstnanců,3858.318102863
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,20 až 49 zaměstnanců,3992.5076761963
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,50 až 99 zaměstnanců,4105.1046940047
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,100 až 249 zaměstnanců,4154.807746118
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,250 až 499 zaměstnanců,4322.1171017395
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,500 až 999 zaměstnanců,4011.2369377828
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny a prémie pravidelné,1 000 a více zaměstnanců,3275.1232730237
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Celkem zaměstnanců,1297.666149848
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,1 až 9 zaměstnanců,360.944237301
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,10 až 19 zaměstnanců,886.4403754804
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,20 a více zaměstnanců,1473.453893802
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,20 až 49 zaměstnanců,1060.5737903822
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,50 až 99 zaměstnanců,1167.6610964529
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,100 až 249 zaměstnanců,1218.4953496381
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,250 až 499 zaměstnanců,1716.0144661847
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,500 až 999 zaměstnanců,1842.4763518718
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,1 000 a více zaměstnanců,1720.8835283474
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Celkem zaměstnanců,165.8748908587
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,1 až 9 zaměstnanců,26.8423067894
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,10 až 19 zaměstnanců,68.5743811201
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,20 a více zaměstnanců,195.2509244151
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,20 až 49 zaměstnanců,77.0487938938
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,50 až 99 zaměstnanců,70.2033294642
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,100 až 249 zaměstnanců,119.4469615833
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,250 až 499 zaměstnanců,217.6853850776
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,500 až 999 zaměstnanců,390.0179933073
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,1 000 a více zaměstnanců,270.0489364757
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Celkem zaměstnanců,368.3208224626
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),1 až 9 zaměstnanců,43.2110540781
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),10 až 19 zaměstnanců,100.3177604072
