Území,Právní forma,Ukazatel,Příjmy územních rozpočtů,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2024,867882737.363661
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2023,855695102.60781
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2022,756189053.664331
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2021,688766863.334071
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2020,636060255.74033
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2019,603128136.170457
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2018,540437667.373491
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2017,479285536.130308
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2016,450340440.71364
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2015,448446096.286309
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2014,425606178.39
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2013,399931416.71
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2012,383232956.99
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2011,410498917.4
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2010,428734484.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2009,401731385.6
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2008,404608904.17
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy celkem,2007,379389225.88
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2024,456060547.497591
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2023,447346687.505279
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2022,387201821.355928
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2021,335886873.27009
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2020,301671519.96951
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2019,320174447.474121
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2018,295189390.616221
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2017,270742584.430079
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2016,249497663.867959
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2015,226300558.98556
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2014,219390937.4
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2013,208442979.26
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2012,191008769.3
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2011,187160594.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2010,187984179.89
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2009,180334759.35
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2008,204237935.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daňové příjmy,2007,187430351.95
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2024,94196646.88723
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2023,86173357.82603
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2022,71293414.55409
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2021,63928942.91745
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2020,77550460.92254
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2019,82231910.95164
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2018,72756888.50275
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2017,64194658.33822
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2016,59383704.90778
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2015,51788927.41554
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2014,49556278.18
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2013,47877699.47
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2012,44550671.22
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2011,43086434.55
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2010,43592323.85
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2009,41737833.28
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2008,48358126.25
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů fyzických osob,2007,49320422.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2024,72606574.13293
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2023,65371613.45575
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2022,55337309.46651
