Ukazatel,Rok sčítání,Území,Hospodařící domácnosti s počtem členů,value
Počet hospodařících domácností,2021,Česká republika,Hospodařící domácnosti celkem,4813103
Počet hospodařících domácností,2021,Česká republika,1,1880336
Počet hospodařících domácností,2021,Česká republika,2,1421003
Počet hospodařících domácností,2021,Česká republika,3,701829
Počet hospodařících domácností,2021,Česká republika,4,602503
Počet hospodařících domácností,2021,Česká republika,5,151123
Počet hospodařících domácností,2021,Česká republika,6,39219
Počet hospodařících domácností,2021,Česká republika,7 a více,17090
Počet hospodařících domácností,2021,Hlavní město Praha,Hospodařící domácnosti celkem,658001
Počet hospodařících domácností,2021,Hlavní město Praha,1,308279
Počet hospodařících domácností,2021,Hlavní město Praha,2,183865
Počet hospodařících domácností,2021,Hlavní město Praha,3,82920
Počet hospodařících domácností,2021,Hlavní město Praha,4,64993
Počet hospodařících domácností,2021,Hlavní město Praha,5,14085
Počet hospodařících domácností,2021,Hlavní město Praha,6,2839
Počet hospodařících domácností,2021,Hlavní město Praha,7 a více,1020
Počet hospodařících domácností,2021,Středočeský kraj,Hospodařící domácnosti celkem,612940
Počet hospodařících domácností,2021,Středočeský kraj,1,216053
Počet hospodařících domácností,2021,Středočeský kraj,2,176761
Počet hospodařících domácností,2021,Středočeský kraj,3,98174
Počet hospodařících domácností,2021,Středočeský kraj,4,91195
Počet hospodařících domácností,2021,Středočeský kraj,5,22926
Počet hospodařících domácností,2021,Středočeský kraj,6,5583
Počet hospodařících domácností,2021,Středočeský kraj,7 a více,2248
Počet hospodařících domácností,2021,Jihočeský kraj,Hospodařící domácnosti celkem,284812
Počet hospodařících domácností,2021,Jihočeský kraj,1,107171
Počet hospodařících domácností,2021,Jihočeský kraj,2,85520
Počet hospodařících domácností,2021,Jihočeský kraj,3,41774
Počet hospodařících domácností,2021,Jihočeský kraj,4,37400
Počet hospodařících domácností,2021,Jihočeský kraj,5,9502
Počet hospodařících domácností,2021,Jihočeský kraj,6,2443
Počet hospodařících domácností,2021,Jihočeský kraj,7 a více,1002
Počet hospodařících domácností,2021,Plzeňský kraj,Hospodařící domácnosti celkem,267112
Počet hospodařících domácností,2021,Plzeňský kraj,1,103126
Počet hospodařících domácností,2021,Plzeňský kraj,2,81236
Počet hospodařících domácností,2021,Plzeňský kraj,3,39294
Počet hospodařících domácností,2021,Plzeňský kraj,4,33210
Počet hospodařících domácností,2021,Plzeňský kraj,5,7526
Počet hospodařících domácností,2021,Plzeňský kraj,6,1876
Počet hospodařících domácností,2021,Plzeňský kraj,7 a více,844
Počet hospodařících domácností,2021,Karlovarský kraj,Hospodařící domácnosti celkem,135416
Počet hospodařících domácností,2021,Karlovarský kraj,1,59185
Počet hospodařících domácností,2021,Karlovarský kraj,2,39522
Počet hospodařících domácností,2021,Karlovarský kraj,3,18698
Počet hospodařících domácností,2021,Karlovarský kraj,4,13294
Počet hospodařících domácností,2021,Karlovarský kraj,5,3334
Počet hospodařících domácností,2021,Karlovarský kraj,6,868
Počet hospodařících domácností,2021,Karlovarský kraj,7 a více,515
Počet hospodařících domácností,2021,Ústecký kraj,Hospodařící domácnosti celkem,377305
Počet hospodařících domácností,2021,Ústecký kraj,1,159495
Počet hospodařících domácností,2021,Ústecký kraj,2,110631
Počet hospodařících domácností,2021,Ústecký kraj,3,54003
Počet hospodařících domácností,2021,Ústecký kraj,4,39479
Počet hospodařících domácností,2021,Ústecký kraj,5,9500
Počet hospodařících domácností,2021,Ústecký kraj,6,2631
