"ČR, kraje, okresy",Ukazatel,Počet zaměstnanců,Roky,value
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2020,19
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2019,17
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2018,22
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2017,22
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2016,16
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2015,16
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2014,16
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2013,18
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2024,29
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2023,29
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2022,27
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2021,30
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2020,29
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2019,30
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2018,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2017,25
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2016,28
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2015,28
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2014,28
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2013,26
Česko,Počet ekonomických subjektů celkem,10000 a více,2024,17
Česko,Počet ekonomických subjektů celkem,10000 a více,2023,16
Česko,Počet ekonomických subjektů celkem,10000 a více,2022,14
Česko,Počet ekonomických subjektů celkem,10000 a více,2021,16
Česko,Počet ekonomických subjektů celkem,10000 a více,2020,15
Česko,Počet ekonomických subjektů celkem,10000 a více,2019,13
Česko,Počet ekonomických subjektů celkem,10000 a více,2018,19
Česko,Počet ekonomických subjektů celkem,10000 a více,2017,16
Česko,Počet ekonomických subjektů celkem,10000 a více,2016,13
Česko,Počet ekonomických subjektů celkem,10000 a více,2015,15
Česko,Počet ekonomických subjektů celkem,10000 a více,2014,14
Česko,Počet ekonomických subjektů celkem,10000 a více,2013,14
