Území;Měsíce;Země;Ukazatel;value
Česko;prosinec 2024;Nespecifikováno;Pohyb zboží do ČR (v mil. Kč, CIF);2645.934759
Česko;prosinec 2024;Nespecifikováno;Bilance - pohyb zboží (v mil. Kč);-2466.32396
Česko;prosinec 2024;Nespecifikováno;Obrat - pohyb zboží (v mil. Kč);2825.545558
Česko;prosinec 2024;Nespecifikováno;Pohyb zboží z ČR (meziroční index );99.0865743591
Česko;prosinec 2024;Nespecifikováno;Pohyb zboží do ČR (meziroční index);100.974953587
Česko;prosinec 2024;Nespecifikováno;Obrat pohybu zboží (meziroční index);100.8527757628
Česko;prosinec 2024;Evropa;Pohyb zboží z ČR (v mil. Kč, FOB);397819.404991
Česko;prosinec 2024;Evropa;Pohyb zboží do ČR (v mil. Kč, CIF);253871.865719
Česko;prosinec 2024;Evropa;Bilance - pohyb zboží (v mil. Kč);143947.539272
Česko;prosinec 2024;Evropa;Obrat - pohyb zboží (v mil. Kč);651691.27071
Česko;prosinec 2024;Evropa;Pohyb zboží z ČR (meziroční index );109.5761002028
Česko;prosinec 2024;Evropa;Pohyb zboží do ČR (meziroční index);104.0498918207
Česko;prosinec 2024;Evropa;Obrat pohybu zboží (meziroční index);107.354937769
Česko;prosinec 2024;Afrika;Pohyb zboží z ČR (v mil. Kč, FOB);5519.149513
Česko;prosinec 2024;Afrika;Pohyb zboží do ČR (v mil. Kč, CIF);3062.730179
Česko;prosinec 2024;Afrika;Bilance - pohyb zboží (v mil. Kč);2456.419334
Česko;prosinec 2024;Afrika;Obrat - pohyb zboží (v mil. Kč);8581.879692
Česko;prosinec 2024;Afrika;Pohyb zboží z ČR (meziroční index );110.6843850136
Česko;prosinec 2024;Afrika;Pohyb zboží do ČR (meziroční index);90.0832736671
Česko;prosinec 2024;Afrika;Obrat pohybu zboží (meziroční index);102.332466523
Česko;prosinec 2024;Amerika;Pohyb zboží z ČR (v mil. Kč, FOB);21964.216407
Česko;prosinec 2024;Amerika;Pohyb zboží do ČR (v mil. Kč, CIF);15097.192451
Česko;prosinec 2024;Amerika;Bilance - pohyb zboží (v mil. Kč);6867.023956
Česko;prosinec 2024;Amerika;Obrat - pohyb zboží (v mil. Kč);37061.408858
Česko;prosinec 2024;Amerika;Pohyb zboží z ČR (meziroční index );139.2860161657
Česko;prosinec 2024;Amerika;Pohyb zboží do ČR (meziroční index);86.2148942889
Česko;prosinec 2024;Amerika;Obrat pohybu zboží (meziroční index);111.3615179949
Česko;prosinec 2024;Asie;Pohyb zboží z ČR (v mil. Kč, FOB);31598.779298
Česko;prosinec 2024;Asie;Pohyb zboží do ČR (v mil. Kč, CIF);130103.357874
Česko;prosinec 2024;Asie;Bilance - pohyb zboží (v mil. Kč);-98504.578576
Česko;prosinec 2024;Asie;Obrat - pohyb zboží (v mil. Kč);161702.137172
Česko;prosinec 2024;Asie;Pohyb zboží z ČR (meziroční index );129.9121051171
Česko;prosinec 2024;Asie;Pohyb zboží do ČR (meziroční index);117.4707670948
