Území;Měsíce;Země;Ukazatel;value
Česko;prosinec 2024;Burkina Faso;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Burkina Faso;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Burkina Faso;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Burkina Faso;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Burkina Faso;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Burundi;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Burundi;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Burundi;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Burundi;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Burundi;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Burundi;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Burundi;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Ceuta;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Ceuta;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Ceuta;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Ceuta;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Ceuta;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Ceuta;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Ceuta;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Cookovy ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Cookovy ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Cookovy ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Cookovy ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Cookovy ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Cookovy ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Cookovy ostrovy;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Curaçao;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Curaçao;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Curaçao;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Curaçao;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Curaçao;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Curaçao;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Curaçao;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Čad;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Čad;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Čad;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Čad;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Čad;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Čad;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Čad;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Černá Hora;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Černá Hora;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Černá Hora;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Černá Hora;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Černá Hora;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Černá Hora;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Černá Hora;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Česko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Česko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Česko;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Česko;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Česko;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Česko;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Česko;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Čína;Pohyb zboží z ČR (v mil. Kč, FOB);6748.149073
Česko;prosinec 2024;Čína;Pohyb zboží do ČR (v mil. Kč, CIF);75225.285509
Česko;prosinec 2024;Čína;Bilance - pohyb zboží (v mil. Kč);-68477.136436
Česko;prosinec 2024;Čína;Obrat - pohyb zboží (v mil. Kč);81973.434582
Česko;prosinec 2024;Čína;Pohyb zboží z ČR (meziroční index );115.9172250908
Česko;prosinec 2024;Čína;Pohyb zboží do ČR (meziroční index);111.626179865
Česko;prosinec 2024;Čína;Obrat pohybu zboží (meziroční index);111.9673870716
Česko;prosinec 2024;Dánsko;Pohyb zboží z ČR (v mil. Kč, FOB);3970.071746
Česko;prosinec 2024;Dánsko;Pohyb zboží do ČR (v mil. Kč, CIF);2539.407884
Česko;prosinec 2024;Dánsko;Bilance - pohyb zboží (v mil. Kč);1430.663862
Česko;prosinec 2024;Dánsko;Obrat - pohyb zboží (v mil. Kč);6509.47963
Česko;prosinec 2024;Dánsko;Pohyb zboží z ČR (meziroční index );103.2755598302
Česko;prosinec 2024;Dánsko;Pohyb zboží do ČR (meziroční index);94.8235611612
Česko;prosinec 2024;Dánsko;Obrat pohybu zboží (meziroční index);99.8051381336
Česko;prosinec 2024;Demokratická republika Kongo;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Demokratická republika Kongo;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Demokratická republika Kongo;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Demokratická republika Kongo;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Demokratická republika Kongo;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Demokratická republika Kongo;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Demokratická republika Kongo;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Dominika;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Dominika;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Dominika;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Dominika;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Dominika;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Dominika;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Dominika;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Dominikánská republika;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Dominikánská republika;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Dominikánská republika;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Dominikánská republika;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Dominikánská republika;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Dominikánská republika;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Dominikánská republika;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Džibutsko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Džibutsko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Džibutsko;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Džibutsko;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Džibutsko;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Džibutsko;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Džibutsko;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Egypt;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Egypt;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Egypt;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Egypt;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Egypt;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Egypt;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Egypt;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Ekvádor;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Ekvádor;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Ekvádor;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Ekvádor;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Ekvádor;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Ekvádor;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Ekvádor;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Eritrea;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Eritrea;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Eritrea;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Eritrea;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Eritrea;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Eritrea;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Eritrea;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Estonsko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Estonsko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Estonsko;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Estonsko;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Estonsko;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Estonsko;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Estonsko;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Etiopie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Etiopie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Etiopie;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Etiopie;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Etiopie;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Etiopie;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Etiopie;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Evropská unie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Evropská unie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Evropská unie;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Evropská unie;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Evropská unie;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Evropská unie;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Evropská unie;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Faerské ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Faerské ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Faerské ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Faerské ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Faerské ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Faerské ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Faerské ostrovy;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Falklandské ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Falklandské ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Falklandské ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Falklandské ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Falklandské ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Falklandské ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Falklandské ostrovy;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Federativní státy Mikronésie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Federativní státy Mikronésie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Federativní státy Mikronésie;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Federativní státy Mikronésie;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Federativní státy Mikronésie;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Federativní státy Mikronésie;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Federativní státy Mikronésie;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Fidži;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Fidži;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Fidži;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Fidži;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Fidži;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Fidži;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Fidži;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Filipíny;Pohyb zboží z ČR (v mil. Kč, FOB);265.075105
Česko;prosinec 2024;Filipíny;Pohyb zboží do ČR (v mil. Kč, CIF);1080.558948
Česko;prosinec 2024;Filipíny;Bilance - pohyb zboží (v mil. Kč);-815.483843
Česko;prosinec 2024;Filipíny;Obrat - pohyb zboží (v mil. Kč);1345.634053
Česko;prosinec 2024;Filipíny;Pohyb zboží z ČR (meziroční index );181.7855653862
Česko;prosinec 2024;Filipíny;Pohyb zboží do ČR (meziroční index);107.8586315017
Česko;prosinec 2024;Filipíny;Obrat pohybu zboží (meziroční index);117.2516278385
Česko;prosinec 2024;Finsko;Pohyb zboží z ČR (v mil. Kč, FOB);1531.104215
Česko;prosinec 2024;Finsko;Pohyb zboží do ČR (v mil. Kč, CIF);1153.970091
Česko;prosinec 2024;Finsko;Bilance - pohyb zboží (v mil. Kč);377.134124
Česko;prosinec 2024;Finsko;Obrat - pohyb zboží (v mil. Kč);2685.074306
Česko;prosinec 2024;Finsko;Pohyb zboží z ČR (meziroční index );94.5308955502
Česko;prosinec 2024;Finsko;Pohyb zboží do ČR (meziroční index);100.3958696079
Česko;prosinec 2024;Finsko;Obrat pohybu zboží (meziroční index);96.9653696072
Česko;prosinec 2024;Francie;Pohyb zboží z ČR (v mil. Kč, FOB);17500.451589
Česko;prosinec 2024;Francie;Pohyb zboží do ČR (v mil. Kč, CIF);11244.753576
Česko;prosinec 2024;Francie;Bilance - pohyb zboží (v mil. Kč);6255.698013
Česko;prosinec 2024;Francie;Obrat - pohyb zboží (v mil. Kč);28745.205165
Česko;prosinec 2024;Francie;Pohyb zboží z ČR (meziroční index );88.2214750289
Česko;prosinec 2024;Francie;Pohyb zboží do ČR (meziroční index);100.3140451253
Česko;prosinec 2024;Francie;Obrat pohybu zboží (meziroční index);92.5875795755
Česko;prosinec 2024;Francouzská jižní území;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Francouzská jižní území;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Francouzská jižní území;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Francouzská jižní území;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Francouzská jižní území;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Francouzská jižní území;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Francouzská jižní území;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Francouzská Polynésie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Francouzská Polynésie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Francouzská Polynésie;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Francouzská Polynésie;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Francouzská Polynésie;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Francouzská Polynésie;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Francouzská Polynésie;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Gabon;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Gabon;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Gabon;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Gabon;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Gabon;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Gabon;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Gabon;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Gambie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Gambie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Gambie;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Gambie;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Gambie;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Gambie;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Gambie;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Ghana;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Ghana;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Ghana;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Ghana;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Ghana;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Ghana;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Ghana;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Gibraltar;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Gibraltar;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Gibraltar;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Gibraltar;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Gibraltar;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Gibraltar;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Gibraltar;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Grenada;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Grenada;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Grenada;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Grenada;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Grenada;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Grenada;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Grenada;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Grónsko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Grónsko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Grónsko;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Grónsko;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Grónsko;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Grónsko;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Grónsko;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Gruzie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Gruzie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Gruzie;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Gruzie;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Gruzie;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Gruzie;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Gruzie;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Guam;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Guam;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Guam;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guam;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guam;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Guam;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Guam;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Guatemala;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Guatemala;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Guatemala;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guatemala;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guatemala;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Guatemala;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Guatemala;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Guinea;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Guinea;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Guinea;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guinea;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guinea;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Guinea;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Guinea;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Guinea-Bissau;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Guinea-Bissau;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Guinea-Bissau;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guinea-Bissau;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guinea-Bissau;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Guinea-Bissau;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Guinea-Bissau;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Guyana;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Guyana;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Guyana;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guyana;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Guyana;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Guyana;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Guyana;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Haiti;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Haiti;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Haiti;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Haiti;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Haiti;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Haiti;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Haiti;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Heardův ostrov a McDonaldovy ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Heardův ostrov a McDonaldovy ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Heardův ostrov a McDonaldovy ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Heardův ostrov a McDonaldovy ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Heardův ostrov a McDonaldovy ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Heardův ostrov a McDonaldovy ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Heardův ostrov a McDonaldovy ostrovy;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Honduras;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Honduras;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Honduras;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Honduras;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Honduras;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Honduras;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Honduras;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Hongkong;Pohyb zboží z ČR (v mil. Kč, FOB);806.254361
Česko;prosinec 2024;Hongkong;Pohyb zboží do ČR (v mil. Kč, CIF);264.210909
Česko;prosinec 2024;Hongkong;Bilance - pohyb zboží (v mil. Kč);542.043452
Česko;prosinec 2024;Hongkong;Obrat - pohyb zboží (v mil. Kč);1070.46527
Česko;prosinec 2024;Hongkong;Pohyb zboží z ČR (meziroční index );110.0086946309
Česko;prosinec 2024;Hongkong;Pohyb zboží do ČR (meziroční index);95.7757233247
Česko;prosinec 2024;Hongkong;Obrat pohybu zboží (meziroční index);106.1164423811
Česko;prosinec 2024;Chile;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Chile;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Chile;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Chile;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Chile;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Chile;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Chile;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Chorvatsko;Pohyb zboží z ČR (v mil. Kč, FOB);1856.689289
Česko;prosinec 2024;Chorvatsko;Pohyb zboží do ČR (v mil. Kč, CIF);412.998985
Česko;prosinec 2024;Chorvatsko;Bilance - pohyb zboží (v mil. Kč);1443.690304
Česko;prosinec 2024;Chorvatsko;Obrat - pohyb zboží (v mil. Kč);2269.688274
Česko;prosinec 2024;Chorvatsko;Pohyb zboží z ČR (meziroční index );95.4955731704
Česko;prosinec 2024;Chorvatsko;Pohyb zboží do ČR (meziroční index);86.5944513435
Česko;prosinec 2024;Chorvatsko;Obrat pohybu zboží (meziroční index);93.7422069934
Česko;prosinec 2024;Indie;Pohyb zboží z ČR (v mil. Kč, FOB);2730.778393
Česko;prosinec 2024;Indie;Pohyb zboží do ČR (v mil. Kč, CIF);8915.651899
Česko;prosinec 2024;Indie;Bilance - pohyb zboží (v mil. Kč);-6184.873506
Česko;prosinec 2024;Indie;Obrat - pohyb zboží (v mil. Kč);11646.430292
Česko;prosinec 2024;Indie;Pohyb zboží z ČR (meziroční index );95.8372247056
Česko;prosinec 2024;Indie;Pohyb zboží do ČR (meziroční index);244.4589629716
