Území;Instituce;Ukazatel;Roky;value
Česko;Nebankovní peněžní instituce účtující jako banky;Opční listy a finanční deriváty aktivní;2017;566.7863723698
Česko;Nebankovní peněžní instituce účtující jako banky;Opční listy a finanční deriváty aktivní;2018;388.181481953
Česko;Nebankovní peněžní instituce účtující jako banky;Opční listy a finanční deriváty aktivní;2019;2672.6312126501
Česko;Nebankovní peněžní instituce účtující jako banky;Opční listy a finanční deriváty aktivní;2020;4731.5724501145
Česko;Nebankovní peněžní instituce účtující jako banky;Opční listy a finanční deriváty aktivní;2021;5203.723242016
Česko;Nebankovní peněžní instituce účtující jako banky;Opční listy a finanční deriváty aktivní;2022;6822.4613486385
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2014;3127.557573373
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2015;3278.7065624757
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2016;7165.0474139446
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2017;7817.8003964086
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2018;11539.6253390277
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2019;9362.018916787
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2020;10228.7234697048
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2021;15152.8819104626
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh;2022;19592.3301003304
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2014;19286.795563489
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2015;20365.5103629124
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2016;29184.9728489957
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2017;25883.9985808774
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2018;28989.4001398009
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2019;36775.7248121162
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2020;38790.1801285279
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2021;46354.118839263
Česko;Nebankovní peněžní instituce účtující jako banky;Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní;2022;55477.6499578911
