Právní forma;Roky;SO ORP a obce;Ukazatel;value
Obecní rozpočty;2023;Blovice;Kapitalové příjmy ;
Obecní rozpočty;2023;Blovice;Přijaté transféry;
Obecní rozpočty;2023;Blovice;Výdaje celkem;
Obecní rozpočty;2023;Blovice;Běžné výdaje ;
Obecní rozpočty;2023;Blovice;Kapitalové výdaje ;
Obecní rozpočty;2023;Blovice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Bohumín;Příjmy celkem;
Obecní rozpočty;2023;Bohumín;Daňové příjmy ;
Obecní rozpočty;2023;Bohumín;Nedaňové příjmy ;
Obecní rozpočty;2023;Bohumín;Kapitalové příjmy ;
Obecní rozpočty;2023;Bohumín;Přijaté transféry;
Obecní rozpočty;2023;Bohumín;Výdaje celkem;
Obecní rozpočty;2023;Bohumín;Běžné výdaje ;
Obecní rozpočty;2023;Bohumín;Kapitalové výdaje ;
Obecní rozpočty;2023;Bohumín;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Boskovice;Příjmy celkem;
Obecní rozpočty;2023;Boskovice;Daňové příjmy ;
Obecní rozpočty;2023;Boskovice;Nedaňové příjmy ;
Obecní rozpočty;2023;Boskovice;Kapitalové příjmy ;
Obecní rozpočty;2023;Boskovice;Přijaté transféry;
Obecní rozpočty;2023;Boskovice;Výdaje celkem;
Obecní rozpočty;2023;Boskovice;Běžné výdaje ;
Obecní rozpočty;2023;Boskovice;Kapitalové výdaje ;
Obecní rozpočty;2023;Boskovice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Příjmy celkem;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Daňové příjmy ;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Nedaňové příjmy ;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Kapitalové příjmy ;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Přijaté transféry;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Výdaje celkem;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Běžné výdaje ;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Kapitalové výdaje ;
Obecní rozpočty;2023;Brandýs nad Labem-Stará Boleslav;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Brno;Příjmy celkem;
Obecní rozpočty;2023;Brno;Daňové příjmy ;
Obecní rozpočty;2023;Brno;Nedaňové příjmy ;
Obecní rozpočty;2023;Brno;Kapitalové příjmy ;
Obecní rozpočty;2023;Brno;Přijaté transféry;
Obecní rozpočty;2023;Brno;Výdaje celkem;
Obecní rozpočty;2023;Brno;Běžné výdaje ;
Obecní rozpočty;2023;Brno;Kapitalové výdaje ;
Obecní rozpočty;2023;Brno;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Broumov;Příjmy celkem;
Obecní rozpočty;2023;Broumov;Daňové příjmy ;
Obecní rozpočty;2023;Broumov;Nedaňové příjmy ;
Obecní rozpočty;2023;Broumov;Kapitalové příjmy ;
Obecní rozpočty;2023;Broumov;Přijaté transféry;
Obecní rozpočty;2023;Broumov;Výdaje celkem;
Obecní rozpočty;2023;Broumov;Běžné výdaje ;
Obecní rozpočty;2023;Broumov;Kapitalové výdaje ;
Obecní rozpočty;2023;Broumov;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Bruntál;Příjmy celkem;
Obecní rozpočty;2023;Bruntál;Daňové příjmy ;
Obecní rozpočty;2023;Bruntál;Nedaňové příjmy ;
Obecní rozpočty;2023;Bruntál;Kapitalové příjmy ;
Obecní rozpočty;2023;Bruntál;Přijaté transféry;
Obecní rozpočty;2023;Bruntál;Výdaje celkem;
Obecní rozpočty;2023;Bruntál;Běžné výdaje ;
