Ukazatel,Druh důchodu,Pohlaví,"ČR, kraje, okresy",Roky,value
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Ústecký kraj,2017,11162
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Ústecký kraj,2016,10829
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Ústecký kraj,2015,10768
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Ústecký kraj,2014,10538
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2023,19192
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2022,17107
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2021,14640
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2020,13786
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2019,12853
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2018,11830
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2017,11318
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2016,10970
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2015,10876
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Liberecký kraj,2014,10625
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2023,19386
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2022,17264
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2021,14766
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2020,13898
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2019,12949
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2018,11908
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2017,11385
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2016,11033
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2015,10939
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Královéhradecký kraj,2014,10688
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2023,19168
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2022,17050
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2021,14572
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2020,13722
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2019,12783
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2018,11751
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2017,11235
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2016,10880
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2015,10795
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Pardubický kraj,2014,10542
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2023,19322
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2022,17150
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2021,14642
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2020,13767
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2019,12813
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2018,11762
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2017,11237
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2016,10878
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2015,10785
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Kraj Vysočina,2014,10538
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2023,19071
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2022,16981
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2021,14528
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2020,13683
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2019,12749
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2018,11726
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2017,11219
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2016,10873
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2015,10794
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Jihomoravský kraj,2014,10550
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2023,19099
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2022,16979
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2021,14525
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2020,13673
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2019,12738
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2018,11700
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2017,11180
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2016,10826
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2015,10746
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Olomoucký kraj,2014,10502
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2023,19294
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2022,17143
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2021,14646
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2020,13775
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2019,12830
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2018,11780
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2017,11252
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2016,10891
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2015,10789
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Zlínský kraj,2014,10539
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2023,19454
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2022,17327
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2021,14822
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2020,13954
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2019,13006
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2018,11978
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2017,11454
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2016,11095
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2015,11013
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč),Důchody celkem,Celkem,Moravskoslezský kraj,2014,10758
