Území,Roky,Druh cesty ,Vybrané zahraniční destinace,Ukazatel,value
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Evropa bez Česka,Počet cest (v tis.),4831.3332938
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Evropa bez Česka,Počet přenocování (v tis.),35082.660292
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Evropa bez Česka,Náklady (mil. Kč),68956.067579
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Afrika,Počet cest (v tis.),583.83513873
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Afrika,Počet přenocování (v tis.),4389.7441184
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Afrika,Náklady (mil. Kč),12804.118784
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Amerika,Počet cest (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Amerika,Počet přenocování (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Amerika,Náklady (mil. Kč),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Asie,Počet cest (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Asie,Počet přenocování (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Asie,Náklady (mil. Kč),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Evropská unie bez Česka,Počet cest (v tis.),4268.2723306
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Evropská unie bez Česka,Počet přenocování (v tis.),30388.700343
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Evropská unie bez Česka,Náklady (mil. Kč),59202.409909
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Slovensko,Počet cest (v tis.),698.31249386
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Slovensko,Počet přenocování (v tis.),4834.6314019
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Slovensko,Náklady (mil. Kč),4867.7271721
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Chorvatsko,Počet cest (v tis.),814.67218906
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Chorvatsko,Počet přenocování (v tis.),6259.2075402
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Chorvatsko,Náklady (mil. Kč),11561.785662
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Itálie,Počet cest (v tis.),636.60133962
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Itálie,Počet přenocování (v tis.),4582.5010848
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Itálie,Náklady (mil. Kč),10202.216754
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Řecko,Počet cest (v tis.),398.55316765
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Řecko,Počet přenocování (v tis.),3014.3304794
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Řecko,Náklady (mil. Kč),7885.7160123
