"ČR, kraje, okresy",Ukazatel,Právní forma,Čtvrtletí,value
Česko,Počet vzniklých ekonomických subjektů,Celkem,2. čtvrtletí 2025,31041
Česko,Počet vzniklých ekonomických subjektů,Celkem,1. čtvrtletí 2025,35233
Česko,Počet vzniklých ekonomických subjektů,Celkem,4. čtvrtletí 2024,29255
Česko,Počet vzniklých ekonomických subjektů,Celkem,3. čtvrtletí 2024,32820
Česko,Počet vzniklých ekonomických subjektů,Celkem,2. čtvrtletí 2024,30245
Česko,Počet vzniklých ekonomických subjektů,Celkem,1. čtvrtletí 2024,34948
Česko,Počet vzniklých ekonomických subjektů,Celkem,4. čtvrtletí 2023,27801
Česko,Počet vzniklých ekonomických subjektů,Celkem,3. čtvrtletí 2023,27197
Česko,Počet vzniklých ekonomických subjektů,Celkem,2. čtvrtletí 2023,27332
Česko,Počet vzniklých ekonomických subjektů,Celkem,1. čtvrtletí 2023,32186
Česko,Počet vzniklých ekonomických subjektů,Celkem,4. čtvrtletí 2022,26747
Česko,Počet vzniklých ekonomických subjektů,Celkem,3. čtvrtletí 2022,27971
Česko,Počet vzniklých ekonomických subjektů,Celkem,2. čtvrtletí 2022,28243
Česko,Počet vzniklých ekonomických subjektů,Celkem,1. čtvrtletí 2022,29173
Česko,Počet vzniklých ekonomických subjektů,Celkem,4. čtvrtletí 2021,24242
Česko,Počet vzniklých ekonomických subjektů,Celkem,3. čtvrtletí 2021,25437
Česko,Počet vzniklých ekonomických subjektů,Celkem,2. čtvrtletí 2021,26256
Česko,Počet vzniklých ekonomických subjektů,Celkem,1. čtvrtletí 2021,27457
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2025,21370
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2025,25210
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,4. čtvrtletí 2024,19496
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,3. čtvrtletí 2024,24626
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2024,21783
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2024,25192
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,4. čtvrtletí 2023,18687
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,3. čtvrtletí 2023,19890
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2023,18870
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2023,22628
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,4. čtvrtletí 2022,18298
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,3. čtvrtletí 2022,20614
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2022,19574
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2022,20121
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,4. čtvrtletí 2021,15473
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,3. čtvrtletí 2021,17886
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2021,17142
Česko,Počet vzniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2021,18164
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2025,9671
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2025,10023
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,4. čtvrtletí 2024,9759
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,3. čtvrtletí 2024,8194
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2024,8462
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2024,9756
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,4. čtvrtletí 2023,9114
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,3. čtvrtletí 2023,7307
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2023,8462
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2023,9558
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,4. čtvrtletí 2022,8449
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,3. čtvrtletí 2022,7357
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2022,8669
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2022,9052
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,4. čtvrtletí 2021,8769
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,3. čtvrtletí 2021,7551
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2021,9114
Česko,Počet vzniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2021,9293
Česko,Počet zaniklých ekonomických subjektů,Celkem,2. čtvrtletí 2025,17219
Česko,Počet zaniklých ekonomických subjektů,Celkem,1. čtvrtletí 2025,20154
Česko,Počet zaniklých ekonomických subjektů,Celkem,4. čtvrtletí 2024,18647
Česko,Počet zaniklých ekonomických subjektů,Celkem,3. čtvrtletí 2024,18181
Česko,Počet zaniklých ekonomických subjektů,Celkem,2. čtvrtletí 2024,31898
Česko,Počet zaniklých ekonomických subjektů,Celkem,1. čtvrtletí 2024,28249
Česko,Počet zaniklých ekonomických subjektů,Celkem,4. čtvrtletí 2023,23479
