Ukazatel;Území;Rok sčítání;Období výstavby domu;Druh domu;value
Počet obydlených domů;Česká republika;2011;1919 a dříve;Rodinné domy;199845
Počet obydlených domů;Česká republika;2011;1919 a dříve;Bytové domy;26077
Počet obydlených domů;Česká republika;2011;1920 - 1970;Rodinné domy;526348
Počet obydlených domů;Česká republika;2011;1920 - 1970;Bytové domy;91625
Počet obydlených domů;Česká republika;2011;1971 - 1980;Rodinné domy;229096
Počet obydlených domů;Česká republika;2011;1971 - 1980;Bytové domy;38152
Počet obydlených domů;Česká republika;2011;1981 - 1990;Rodinné domy;186638
Počet obydlených domů;Česká republika;2011;1981 - 1990;Bytové domy;25358
Počet obydlených domů;Česká republika;2011;1991 - 2000;Rodinné domy;180649
Počet obydlených domů;Česká republika;2011;1991 - 2000;Bytové domy;12684
Počet obydlených domů;Česká republika;2011;2001 - 2011;Rodinné domy;203775
Počet obydlených domů;Česká republika;2011;2001 - 2011;Bytové domy;12674
