Ukazatel,Roky,"ČR, Reg. soudržnosti, Kraje",Pohlaví,value
Počet obyvatel k 31. 12. (koncový stav),2023,Česko,Celkem,10900555
Počet obyvatel k 31. 12. (koncový stav),2023,Česko,Muži,5342610
Počet obyvatel k 31. 12. (koncový stav),2023,Česko,Ženy,5557945
Počet obyvatel k 31. 12. (koncový stav),2023,Praha,Celkem,1384732
Počet obyvatel k 31. 12. (koncový stav),2023,Praha,Muži,670680
Počet obyvatel k 31. 12. (koncový stav),2023,Praha,Ženy,714052
Počet obyvatel k 31. 12. (koncový stav),2023,Střední Čechy,Celkem,1455940
Počet obyvatel k 31. 12. (koncový stav),2023,Střední Čechy,Muži,714752
Počet obyvatel k 31. 12. (koncový stav),2023,Střední Čechy,Ženy,741188
Počet obyvatel k 31. 12. (koncový stav),2023,Jihozápad,Celkem,1267879
Počet obyvatel k 31. 12. (koncový stav),2023,Jihozápad,Muži,623367
Počet obyvatel k 31. 12. (koncový stav),2023,Jihozápad,Ženy,644512
Počet obyvatel k 31. 12. (koncový stav),2023,Severozápad,Celkem,1106246
Počet obyvatel k 31. 12. (koncový stav),2023,Severozápad,Muži,543009
Počet obyvatel k 31. 12. (koncový stav),2023,Severozápad,Ženy,563237
Počet obyvatel k 31. 12. (koncový stav),2023,Severovýchod,Celkem,1538237
Počet obyvatel k 31. 12. (koncový stav),2023,Severovýchod,Muži,756598
Počet obyvatel k 31. 12. (koncový stav),2023,Severovýchod,Ženy,781639
Počet obyvatel k 31. 12. (koncový stav),2023,Jihovýchod,Celkem,1744709
Počet obyvatel k 31. 12. (koncový stav),2023,Jihovýchod,Muži,857553
Počet obyvatel k 31. 12. (koncový stav),2023,Jihovýchod,Ženy,887156
Počet obyvatel k 31. 12. (koncový stav),2023,Střední Morava,Celkem,1213608
Počet obyvatel k 31. 12. (koncový stav),2023,Střední Morava,Muži,594244
Počet obyvatel k 31. 12. (koncový stav),2023,Střední Morava,Ženy,619364
Počet obyvatel k 31. 12. (koncový stav),2023,Moravskoslezsko,Celkem,1189204
Počet obyvatel k 31. 12. (koncový stav),2023,Moravskoslezsko,Muži,582407
Počet obyvatel k 31. 12. (koncový stav),2023,Moravskoslezsko,Ženy,606797
Počet obyvatel k 31. 12. (koncový stav),2023,Hlavní město Praha,Celkem,1384732
Počet obyvatel k 31. 12. (koncový stav),2023,Hlavní město Praha,Muži,670680
Počet obyvatel k 31. 12. (koncový stav),2023,Hlavní město Praha,Ženy,714052
Počet obyvatel k 31. 12. (koncový stav),2023,Středočeský kraj,Celkem,1455940
Počet obyvatel k 31. 12. (koncový stav),2023,Středočeský kraj,Muži,714752
Počet obyvatel k 31. 12. (koncový stav),2023,Středočeský kraj,Ženy,741188
Počet obyvatel k 31. 12. (koncový stav),2023,Jihočeský kraj,Celkem,654505
Počet obyvatel k 31. 12. (koncový stav),2023,Jihočeský kraj,Muži,322338
Počet obyvatel k 31. 12. (koncový stav),2023,Jihočeský kraj,Ženy,332167
Počet obyvatel k 31. 12. (koncový stav),2023,Plzeňský kraj,Celkem,613374
Počet obyvatel k 31. 12. (koncový stav),2023,Plzeňský kraj,Muži,301029
Počet obyvatel k 31. 12. (koncový stav),2023,Plzeňský kraj,Ženy,312345
Počet obyvatel k 31. 12. (koncový stav),2023,Karlovarský kraj,Celkem,295077
Počet obyvatel k 31. 12. (koncový stav),2023,Karlovarský kraj,Muži,143579
Počet obyvatel k 31. 12. (koncový stav),2023,Karlovarský kraj,Ženy,151498
Počet obyvatel k 31. 12. (koncový stav),2023,Ústecký kraj,Celkem,811169
Počet obyvatel k 31. 12. (koncový stav),2023,Ústecký kraj,Muži,399430
Počet obyvatel k 31. 12. (koncový stav),2023,Ústecký kraj,Ženy,411739
Počet obyvatel k 31. 12. (koncový stav),2023,Liberecký kraj,Celkem,450728
Počet obyvatel k 31. 12. (koncový stav),2023,Liberecký kraj,Muži,220938
Počet obyvatel k 31. 12. (koncový stav),2023,Liberecký kraj,Ženy,229790
Počet obyvatel k 31. 12. (koncový stav),2023,Královéhradecký kraj,Celkem,556949
Počet obyvatel k 31. 12. (koncový stav),2023,Královéhradecký kraj,Muži,273632
Počet obyvatel k 31. 12. (koncový stav),2023,Královéhradecký kraj,Ženy,283317
Počet obyvatel k 31. 12. (koncový stav),2023,Pardubický kraj,Celkem,530560
Počet obyvatel k 31. 12. (koncový stav),2023,Pardubický kraj,Muži,262028
Počet obyvatel k 31. 12. (koncový stav),2023,Pardubický kraj,Ženy,268532
Počet obyvatel k 31. 12. (koncový stav),2023,Kraj Vysočina,Celkem,517960
Počet obyvatel k 31. 12. (koncový stav),2023,Kraj Vysočina,Muži,257012
Počet obyvatel k 31. 12. (koncový stav),2023,Kraj Vysočina,Ženy,260948
Počet obyvatel k 31. 12. (koncový stav),2023,Jihomoravský kraj,Celkem,1226749
Počet obyvatel k 31. 12. (koncový stav),2023,Jihomoravský kraj,Muži,600541
Počet obyvatel k 31. 12. (koncový stav),2023,Jihomoravský kraj,Ženy,626208
Počet obyvatel k 31. 12. (koncový stav),2023,Olomoucký kraj,Celkem,632864
Počet obyvatel k 31. 12. (koncový stav),2023,Olomoucký kraj,Muži,309380
Počet obyvatel k 31. 12. (koncový stav),2023,Olomoucký kraj,Ženy,323484
Počet obyvatel k 31. 12. (koncový stav),2023,Zlínský kraj,Celkem,580744
Počet obyvatel k 31. 12. (koncový stav),2023,Zlínský kraj,Muži,284864
Počet obyvatel k 31. 12. (koncový stav),2023,Zlínský kraj,Ženy,295880
Počet obyvatel k 31. 12. (koncový stav),2023,Moravskoslezský kraj,Celkem,1189204
Počet obyvatel k 31. 12. (koncový stav),2023,Moravskoslezský kraj,Muži,582407
Počet obyvatel k 31. 12. (koncový stav),2023,Moravskoslezský kraj,Ženy,606797
