Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Věkové skupiny,value
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,15 až 19,27.155263823
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,20 až 24,6.2880821299
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,25 až 29,3.6198953548
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,30 až 34,2.7271263036
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,35 až 39,2.7473258842
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,40 až 44,2.0063035616
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,45 až 49,1.7973587583
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,50 až 54,1.9404636364
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,55 až 59,2.1899179472
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,60 až 64,1.6877721314
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,65 a více let,0.7293474741
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,55 až 64,1.9940121251
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,15 až 19,17.9306104
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,20 až 24,8.5466238903
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,25 až 29,2.8891448118
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,30 až 34,2.10121337
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,35 až 39,0.6345149261
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,40 až 44,1.4748762409
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,45 až 49,1.3908059415
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,50 až 54,0.829364391
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,55 až 59,
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,60 až 64,1.2823768871
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,55 až 64,0.8052505084
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,15 až 19,19.409006937
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,20 až 24,
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,25 až 29,1.2454879041
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,30 až 34,0.9499001029
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,35 až 39,1.8438353247
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,40 až 44,0.9886174687
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,45 až 49,1.1590780964
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,50 až 54,1.4144296876
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,55 až 59,1.4850677856
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,55 až 64,1.0636469597
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,15 až 19,24.110078651
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,20 až 24,5.7251092972
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,25 až 29,3.318418946
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,30 až 34,2.7597865629
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,35 až 39,3.3028223937
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,40 až 44,1.329965983
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,45 až 49,1.8969308456
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,50 až 54,1.6232297799
