PCSU;Kraje;Roky;Ukazatel;Směr výstavby;value
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet stavebních povolení v ČR;Celkem;2709.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy;Celkem;2245.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;386.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1859.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;1500.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;284.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1216.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;745.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;102.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;643.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;464.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;63781.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;58769.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;46107.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;12662.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;41883.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;36440.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;5443.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;16886.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;9667.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;7219.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;5012.0
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet stavebních povolení v ČR;Celkem;2916.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy;Celkem;2294.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy;Nová výstavba;396.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1898.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy bytové;Celkem;1466.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;285.0
