Rok sčítání;Území;Ukazatel;value
2021;Česká republika;Počet domů;2317276
2021;Česká republika;Počet obydlených domů;1952668
2021;Česká republika;Vlastník domu - fyzická osoba;1716302
2021;Česká republika;Vlastník domu - obec, stát;31443
2021;Česká republika;Vlastník domu - bytové družstvo;13230
2021;Česká republika;Vlastník domu - jiná právnická osoba;35765
2021;Česká republika;Vlastník domu - spoluvlastnictví vlastníků bytů;144128
2021;Česká republika;Období výstavby nebo rekonstrukce - 1919 a dříve;195896
2021;Česká republika;Období výstavby nebo rekonstrukce - 2016 a později;108849
2021;Hlavní město Praha;Počet domů;106154
2021;Hlavní město Praha;Počet obydlených domů;98217
2021;Hlavní město Praha;Vlastník domu - fyzická osoba;66733
2021;Hlavní město Praha;Vlastník domu - obec, stát;934
2021;Hlavní město Praha;Vlastník domu - bytové družstvo;2959
2021;Hlavní město Praha;Vlastník domu - jiná právnická osoba;5187
2021;Hlavní město Praha;Vlastník domu - spoluvlastnictví vlastníků bytů;21494
2021;Hlavní město Praha;Období výstavby nebo rekonstrukce - 1919 a dříve;9308
2021;Hlavní město Praha;Období výstavby nebo rekonstrukce - 2016 a později;4292
2021;Středočeský kraj;Počet domů;398487
2021;Středočeský kraj;Počet obydlených domů;331341
2021;Středočeský kraj;Vlastník domu - fyzická osoba;304248
2021;Středočeský kraj;Vlastník domu - obec, stát;3718
2021;Středočeský kraj;Vlastník domu - bytové družstvo;1039
2021;Středočeský kraj;Vlastník domu - jiná právnická osoba;4179
2021;Středočeský kraj;Vlastník domu - spoluvlastnictví vlastníků bytů;15843
2021;Středočeský kraj;Období výstavby nebo rekonstrukce - 1919 a dříve;32071
2021;Středočeský kraj;Období výstavby nebo rekonstrukce - 2016 a později;26705
2021;Jihočeský kraj;Počet domů;174815
2021;Jihočeský kraj;Počet obydlených domů;133404
2021;Jihočeský kraj;Vlastník domu - fyzická osoba;118504
2021;Jihočeský kraj;Vlastník domu - obec, stát;2851
2021;Jihočeský kraj;Vlastník domu - bytové družstvo;907
2021;Jihočeský kraj;Vlastník domu - jiná právnická osoba;1925
2021;Jihočeský kraj;Vlastník domu - spoluvlastnictví vlastníků bytů;8104
2021;Jihočeský kraj;Období výstavby nebo rekonstrukce - 1919 a dříve;14346
2021;Jihočeský kraj;Období výstavby nebo rekonstrukce - 2016 a později;6953
2021;Plzeňský kraj;Počet domů;142762
2021;Plzeňský kraj;Počet obydlených domů;115802
2021;Plzeňský kraj;Vlastník domu - fyzická osoba;102005
2021;Plzeňský kraj;Vlastník domu - obec, stát;2429
2021;Plzeňský kraj;Vlastník domu - bytové družstvo;251
2021;Plzeňský kraj;Vlastník domu - jiná právnická osoba;1710
2021;Plzeňský kraj;Vlastník domu - spoluvlastnictví vlastníků bytů;8891
2021;Plzeňský kraj;Období výstavby nebo rekonstrukce - 1919 a dříve;12117
2021;Plzeňský kraj;Období výstavby nebo rekonstrukce - 2016 a později;6660
2021;Karlovarský kraj;Počet domů;48308
2021;Karlovarský kraj;Počet obydlených domů;42406
2021;Karlovarský kraj;Vlastník domu - fyzická osoba;33155
2021;Karlovarský kraj;Vlastník domu - obec, stát;1072
2021;Karlovarský kraj;Vlastník domu - bytové družstvo;47
2021;Karlovarský kraj;Vlastník domu - jiná právnická osoba;972
2021;Karlovarský kraj;Vlastník domu - spoluvlastnictví vlastníků bytů;6900
2021;Karlovarský kraj;Období výstavby nebo rekonstrukce - 1919 a dříve;6417
2021;Karlovarský kraj;Období výstavby nebo rekonstrukce - 2016 a později;2076
2021;Ústecký kraj;Počet domů;144024
2021;Ústecký kraj;Počet obydlených domů;123776
2021;Ústecký kraj;Vlastník domu - fyzická osoba;103951
2021;Ústecký kraj;Vlastník domu - obec, stát;2877
2021;Ústecký kraj;Vlastník domu - bytové družstvo;2137
2021;Ústecký kraj;Vlastník domu - jiná právnická osoba;2960
2021;Ústecký kraj;Vlastník domu - spoluvlastnictví vlastníků bytů;11333
2021;Ústecký kraj;Období výstavby nebo rekonstrukce - 1919 a dříve;22648
2021;Ústecký kraj;Období výstavby nebo rekonstrukce - 2016 a později;5535
2021;Liberecký kraj;Počet domů;98458
2021;Liberecký kraj;Počet obydlených domů;79493
2021;Liberecký kraj;Vlastník domu - fyzická osoba;69065
2021;Liberecký kraj;Vlastník domu - obec, stát;1689
2021;Liberecký kraj;Vlastník domu - bytové družstvo;322
2021;Liberecký kraj;Vlastník domu - jiná právnická osoba;1522
2021;Liberecký kraj;Vlastník domu - spoluvlastnictví vlastníků bytů;6329
2021;Liberecký kraj;Období výstavby nebo rekonstrukce - 1919 a dříve;14824
2021;Liberecký kraj;Období výstavby nebo rekonstrukce - 2016 a později;3675
2021;Královéhradecký kraj;Počet domů;142677
2021;Královéhradecký kraj;Počet obydlených domů;116863
2021;Královéhradecký kraj;Vlastník domu - fyzická osoba;104318
2021;Královéhradecký kraj;Vlastník domu - obec, stát;2011
2021;Královéhradecký kraj;Vlastník domu - bytové družstvo;491
2021;Královéhradecký kraj;Vlastník domu - jiná právnická osoba;1603
2021;Královéhradecký kraj;Vlastník domu - spoluvlastnictví vlastníků bytů;7556
2021;Královéhradecký kraj;Období výstavby nebo rekonstrukce - 1919 a dříve;13826
2021;Královéhradecký kraj;Období výstavby nebo rekonstrukce - 2016 a později;4876
2021;Pardubický kraj;Počet domů;137176
2021;Pardubický kraj;Počet obydlených domů;113293
2021;Pardubický kraj;Vlastník domu - fyzická osoba;101872
2021;Pardubický kraj;Vlastník domu - obec, stát;1900
2021;Pardubický kraj;Vlastník domu - bytové družstvo;407
2021;Pardubický kraj;Vlastník domu - jiná právnická osoba;1292
2021;Pardubický kraj;Vlastník domu - spoluvlastnictví vlastníků bytů;7158
2021;Pardubický kraj;Období výstavby nebo rekonstrukce - 1919 a dříve;10546
2021;Pardubický kraj;Období výstavby nebo rekonstrukce - 2016 a později;6247
2021;Kraj Vysočina;Počet domů;143143
2021;Kraj Vysočina;Počet obydlených domů;114230
2021;Kraj Vysočina;Vlastník domu - fyzická osoba;104090
2021;Kraj Vysočina;Vlastník domu - obec, stát;1583
2021;Kraj Vysočina;Vlastník domu - bytové družstvo;613
2021;Kraj Vysočina;Vlastník domu - jiná právnická osoba;1222
