Území,Roky,Ukazatel,Pohlaví,Věk,value
Česko,2024,Osoby používající e-mail (%),ženy,Celkem (16+),83.339231613
Česko,2024,Osoby používající e-mail (%),ženy,16 - 34,98.107739835
Česko,2024,Osoby používající e-mail (%),ženy,35 - 54,96.815472455
Česko,2024,Osoby používající e-mail (%),ženy,55 - 74,75.097972332
Česko,2024,Osoby používající e-mail (%),ženy,75+,28.306692136
Česko,2024,Osoby používající e-mail (%),muži,Celkem (16+),82.874690499
Česko,2024,Osoby používající e-mail (%),muži,16 - 34,97.402712078
Česko,2024,Osoby používající e-mail (%),muži,35 - 54,95.009640991
Česko,2024,Osoby používající e-mail (%),muži,55 - 74,72.561199824
Česko,2024,Osoby používající e-mail (%),muži,75+,35.484291932
Česko,2024,Osoby telefonující přes internet (%),ženy,Celkem (16+),67.504606585
Česko,2024,Osoby telefonující přes internet (%),ženy,16 - 34,90.724899619
Česko,2024,Osoby telefonující přes internet (%),ženy,35 - 54,80.131823191
Česko,2024,Osoby telefonující přes internet (%),ženy,55 - 74,51.969792518
Česko,2024,Osoby telefonující přes internet (%),ženy,75+,14.582811441
Česko,2024,Osoby telefonující přes internet (%),muži,Celkem (16+),61.162627845
Česko,2024,Osoby telefonující přes internet (%),muži,16 - 34,84.483290796
Česko,2024,Osoby telefonující přes internet (%),muži,35 - 54,72.234332691
Česko,2024,Osoby telefonující přes internet (%),muži,55 - 74,44.905940873
Česko,2024,Osoby telefonující přes internet (%),muži,75+,13.284493989
Česko,2024,Osoby čtoucí online zpravodajství (%),ženy,Celkem (16+),78.975075582
Česko,2024,Osoby čtoucí online zpravodajství (%),ženy,16 - 34,88.399675471
Česko,2024,Osoby čtoucí online zpravodajství (%),ženy,35 - 54,91.4316085
Česko,2024,Osoby čtoucí online zpravodajství (%),ženy,55 - 74,74.019147061
Česko,2024,Osoby čtoucí online zpravodajství (%),ženy,75+,30.826092004
Česko,2024,Osoby čtoucí online zpravodajství (%),muži,Celkem (16+),79.837096632
Česko,2024,Osoby čtoucí online zpravodajství (%),muži,16 - 34,86.476543788
Česko,2024,Osoby čtoucí online zpravodajství (%),muži,35 - 54,91.28780147
Česko,2024,Osoby čtoucí online zpravodajství (%),muži,55 - 74,74.147517698
Česko,2024,Osoby čtoucí online zpravodajství (%),muži,75+,40.530323108
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),ženy,Celkem (16+),81.304356069
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),ženy,16 - 34,96.065109829
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),ženy,35 - 54,95.285590911
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),ženy,55 - 74,72.964205066
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),ženy,75+,24.923386855
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),muži,Celkem (16+),78.146627934
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),muži,16 - 34,89.710744443
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),muži,35 - 54,91.104710457
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),muži,55 - 74,69.145997729
