Kategorie;Čtvrtletí;Oblasti destinačního managementu členěné;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Lucembursko;Počet přenocování;3494.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Lucembursko;Průměrný počet přenocování ;2.4013745704
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Lichtenštejnsko;Počet hostů;164.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Lichtenštejnsko;Počet přenocování;424.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Lichtenštejnsko;Průměrný počet přenocování ;2.5853658537
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Maďarsko;Počet hostů;24416.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Maďarsko;Počet přenocování;53976.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Maďarsko;Průměrný počet přenocování ;2.2106815203
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Malta;Počet hostů;1532.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Malta;Počet přenocování;5851.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Malta;Průměrný počet přenocování ;3.8191906005
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Německo;Počet hostů;280003.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Německo;Počet přenocování;666901.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Německo;Průměrný počet přenocování ;2.3817637668
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nizozemské království;Počet hostů;58438.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nizozemské království;Počet přenocování;150454.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nizozemské království;Průměrný počet přenocování ;2.5745918751
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Norsko;Počet hostů;14490.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Norsko;Počet přenocování;38020.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Norsko;Průměrný počet přenocování ;2.6238785369
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Polsko;Počet hostů;108881.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Polsko;Počet přenocování;224618.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Polsko;Průměrný počet přenocování ;2.0629678273
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Portugalsko;Počet hostů;9575.0
