Ukazatel,Pohlaví,Roky,"ČR, kraje",Věkové skupiny (pětileté),value
Zemřelí,Celkem,2024,Česko,Celkem,112211
Zemřelí,Celkem,2024,Česko,0,196
Zemřelí,Celkem,2024,Česko,1 - 4,54
Zemřelí,Celkem,2024,Česko,5 - 9,51
Zemřelí,Celkem,2024,Česko,10 - 14,61
Zemřelí,Celkem,2024,Česko,15 - 19,175
Zemřelí,Celkem,2024,Česko,20 - 24,225
Zemřelí,Celkem,2024,Česko,25 - 29,291
Zemřelí,Celkem,2024,Česko,30 - 34,488
Zemřelí,Celkem,2024,Česko,35 - 39,692
Zemřelí,Celkem,2024,Česko,40 - 44,1168
Zemřelí,Celkem,2024,Česko,45 - 49,1969
Zemřelí,Celkem,2024,Česko,50 - 54,2778
Zemřelí,Celkem,2024,Česko,55 - 59,3973
Zemřelí,Celkem,2024,Česko,60 - 64,5611
Zemřelí,Celkem,2024,Česko,65 - 69,9333
Zemřelí,Celkem,2024,Česko,70 - 74,14415
Zemřelí,Celkem,2024,Česko,75 - 79,19021
Zemřelí,Celkem,2024,Česko,80 - 84,19154
Zemřelí,Celkem,2024,Česko,85 - 89,16124
Zemřelí,Celkem,2024,Česko,90 - 94,12144
Zemřelí,Celkem,2024,Česko,95 a více,4288
Zemřelí,Celkem,2024,Hlavní město Praha,Celkem,11792
Zemřelí,Celkem,2024,Hlavní město Praha,0,18
Zemřelí,Celkem,2024,Hlavní město Praha,1 - 4,6
Zemřelí,Celkem,2024,Hlavní město Praha,5 - 9,5
Zemřelí,Celkem,2024,Hlavní město Praha,10 - 14,5
Zemřelí,Celkem,2024,Hlavní město Praha,15 - 19,24
Zemřelí,Celkem,2024,Hlavní město Praha,20 - 24,26
Zemřelí,Celkem,2024,Hlavní město Praha,25 - 29,32
Zemřelí,Celkem,2024,Hlavní město Praha,30 - 34,51
Zemřelí,Celkem,2024,Hlavní město Praha,35 - 39,82
Zemřelí,Celkem,2024,Hlavní město Praha,40 - 44,135
Zemřelí,Celkem,2024,Hlavní město Praha,45 - 49,196
Zemřelí,Celkem,2024,Hlavní město Praha,50 - 54,269
Zemřelí,Celkem,2024,Hlavní město Praha,55 - 59,360
Zemřelí,Celkem,2024,Hlavní město Praha,60 - 64,497
Zemřelí,Celkem,2024,Hlavní město Praha,65 - 69,787
Zemřelí,Celkem,2024,Hlavní město Praha,70 - 74,1316
Zemřelí,Celkem,2024,Hlavní město Praha,75 - 79,2018
Zemřelí,Celkem,2024,Hlavní město Praha,80 - 84,2026
Zemřelí,Celkem,2024,Hlavní město Praha,85 - 89,1702
Zemřelí,Celkem,2024,Hlavní město Praha,90 - 94,1559
Zemřelí,Celkem,2024,Hlavní město Praha,95 a více,678
Zemřelí,Celkem,2024,Středočeský kraj,Celkem,13754
Zemřelí,Celkem,2024,Středočeský kraj,0,18
Zemřelí,Celkem,2024,Středočeský kraj,1 - 4,9
Zemřelí,Celkem,2024,Středočeský kraj,5 - 9,6
Zemřelí,Celkem,2024,Středočeský kraj,10 - 14,8
Zemřelí,Celkem,2024,Středočeský kraj,15 - 19,31
Zemřelí,Celkem,2024,Středočeský kraj,20 - 24,29
Zemřelí,Celkem,2024,Středočeský kraj,25 - 29,31
Zemřelí,Celkem,2024,Středočeský kraj,30 - 34,64
Zemřelí,Celkem,2024,Středočeský kraj,35 - 39,83
Zemřelí,Celkem,2024,Středočeský kraj,40 - 44,142
Zemřelí,Celkem,2024,Středočeský kraj,45 - 49,237
Zemřelí,Celkem,2024,Středočeský kraj,50 - 54,344
Zemřelí,Celkem,2024,Středočeský kraj,55 - 59,449
Zemřelí,Celkem,2024,Středočeský kraj,60 - 64,639
Zemřelí,Celkem,2024,Středočeský kraj,65 - 69,1116
Zemřelí,Celkem,2024,Středočeský kraj,70 - 74,1880
Zemřelí,Celkem,2024,Středočeský kraj,75 - 79,2501
Zemřelí,Celkem,2024,Středočeský kraj,80 - 84,2353
Zemřelí,Celkem,2024,Středočeský kraj,85 - 89,1922
Zemřelí,Celkem,2024,Středočeský kraj,90 - 94,1436
Zemřelí,Celkem,2024,Středočeský kraj,95 a více,456
Zemřelí,Celkem,2024,Jihočeský kraj,Celkem,6938
Zemřelí,Celkem,2024,Jihočeský kraj,0,13
Zemřelí,Celkem,2024,Jihočeský kraj,1 - 4,5
Zemřelí,Celkem,2024,Jihočeský kraj,5 - 9,2
Zemřelí,Celkem,2024,Jihočeský kraj,10 - 14,4
Zemřelí,Celkem,2024,Jihočeský kraj,15 - 19,8
Zemřelí,Celkem,2024,Jihočeský kraj,20 - 24,8
Zemřelí,Celkem,2024,Jihočeský kraj,25 - 29,19
Zemřelí,Celkem,2024,Jihočeský kraj,30 - 34,24
Zemřelí,Celkem,2024,Jihočeský kraj,35 - 39,33
Zemřelí,Celkem,2024,Jihočeský kraj,40 - 44,66
Zemřelí,Celkem,2024,Jihočeský kraj,45 - 49,111
Zemřelí,Celkem,2024,Jihočeský kraj,50 - 54,166
Zemřelí,Celkem,2024,Jihočeský kraj,55 - 59,225
Zemřelí,Celkem,2024,Jihočeský kraj,60 - 64,305
Zemřelí,Celkem,2024,Jihočeský kraj,65 - 69,574
Zemřelí,Celkem,2024,Jihočeský kraj,70 - 74,868
