Kategorie,Kumulace čtvrtletí,Území,Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,Q1 2025,Ústecký kraj,Počet hostů,Nerezidenti,29765.0
Hromadná ubytovací zařízení celkem,Q1 2025,Ústecký kraj,Počet přenocování,Celkem,234608.0
Hromadná ubytovací zařízení celkem,Q1 2025,Ústecký kraj,Počet přenocování,Rezidenti,157716.0
Hromadná ubytovací zařízení celkem,Q1 2025,Ústecký kraj,Počet přenocování,Nerezidenti,76892.0
Hromadná ubytovací zařízení celkem,Q1 2025,Ústecký kraj,Průměrný počet přenocování ,Celkem,2.6074798555
Hromadná ubytovací zařízení celkem,Q1 2025,Ústecký kraj,Průměrný počet přenocování ,Rezidenti,2.619431988
Hromadná ubytovací zařízení celkem,Q1 2025,Ústecký kraj,Průměrný počet přenocování ,Nerezidenti,2.5833025365
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Počet hostů,Celkem,246503.0
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Počet hostů,Rezidenti,191565.0
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Počet hostů,Nerezidenti,54938.0
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Počet přenocování,Celkem,752269.0
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Počet přenocování,Rezidenti,580121.0
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Počet přenocování,Nerezidenti,172148.0
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Průměrný počet přenocování ,Celkem,3.0517640759
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Průměrný počet přenocování ,Rezidenti,3.0283245896
Hromadná ubytovací zařízení celkem,Q1 2025,Liberecký kraj,Průměrný počet přenocování ,Nerezidenti,3.1334959409
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Počet hostů,Celkem,366081.0
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Počet hostů,Rezidenti,263971.0
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Počet hostů,Nerezidenti,102110.0
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Počet přenocování,Celkem,1248746.0
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Počet přenocování,Rezidenti,902490.0
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Počet přenocování,Nerezidenti,346256.0
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Průměrný počet přenocování ,Celkem,3.4111193971
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Průměrný počet přenocování ,Rezidenti,3.4188982881
Hromadná ubytovací zařízení celkem,Q1 2025,Královéhradecký kraj,Průměrný počet přenocování ,Nerezidenti,3.3910096954
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Počet hostů,Celkem,97809.0
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Počet hostů,Rezidenti,83876.0
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Počet hostů,Nerezidenti,13933.0
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Počet přenocování,Celkem,245353.0
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Počet přenocování,Rezidenti,210922.0
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Počet přenocování,Nerezidenti,34431.0
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Průměrný počet přenocování ,Celkem,2.5084910387
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Průměrný počet přenocování ,Rezidenti,2.5146883495
Hromadná ubytovací zařízení celkem,Q1 2025,Pardubický kraj,Průměrný počet přenocování ,Nerezidenti,2.4711835211
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Počet hostů,Celkem,109397.0
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Počet hostů,Rezidenti,93097.0
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Počet hostů,Nerezidenti,16300.0
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Počet přenocování,Celkem,230837.0
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Počet přenocování,Rezidenti,191839.0
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Počet přenocování,Nerezidenti,38998.0
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Průměrný počet přenocování ,Celkem,2.1100852857
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Průměrný počet přenocování ,Rezidenti,2.0606356811
Hromadná ubytovací zařízení celkem,Q1 2025,Kraj Vysočina,Průměrný počet přenocování ,Nerezidenti,2.3925153374
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Počet hostů,Celkem,307457.0
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Počet hostů,Rezidenti,189805.0
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Počet hostů,Nerezidenti,117652.0
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Počet přenocování,Celkem,520636.0
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Počet přenocování,Rezidenti,334469.0
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Počet přenocování,Nerezidenti,186167.0
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Průměrný počet přenocování ,Celkem,1.6933619986
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Průměrný počet přenocování ,Rezidenti,1.7621717025
Hromadná ubytovací zařízení celkem,Q1 2025,Jihomoravský kraj,Průměrný počet přenocování ,Nerezidenti,1.5823530412
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Počet hostů,Celkem,145921.0
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Počet hostů,Rezidenti,121527.0
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Počet hostů,Nerezidenti,24394.0
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Počet přenocování,Celkem,441335.0
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Počet přenocování,Rezidenti,374637.0
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Počet přenocování,Nerezidenti,66698.0
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Průměrný počet přenocování ,Celkem,3.0244789989
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Průměrný počet přenocování ,Rezidenti,3.0827470439
Hromadná ubytovací zařízení celkem,Q1 2025,Olomoucký kraj,Průměrný počet přenocování ,Nerezidenti,2.7341969337
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Počet hostů,Celkem,134744.0
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Počet hostů,Rezidenti,113887.0
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Počet hostů,Nerezidenti,20857.0
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Počet přenocování,Celkem,347307.0
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Počet přenocování,Rezidenti,303118.0
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Počet přenocování,Nerezidenti,44189.0
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Průměrný počet přenocování ,Celkem,2.5775322092
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Průměrný počet přenocování ,Rezidenti,2.6615680455
Hromadná ubytovací zařízení celkem,Q1 2025,Zlínský kraj,Průměrný počet přenocování ,Nerezidenti,2.1186651963
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Počet hostů,Celkem,206678.0
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Počet hostů,Rezidenti,166226.0
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Počet hostů,Nerezidenti,40452.0
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Počet přenocování,Celkem,578189.0
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Počet přenocování,Rezidenti,485965.0
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Počet přenocování,Nerezidenti,92224.0
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Průměrný počet přenocování ,Celkem,2.7975352965
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Průměrný počet přenocování ,Rezidenti,2.9235197863
Hromadná ubytovací zařízení celkem,Q1 2025,Moravskoslezský kraj,Průměrný počet přenocování ,Nerezidenti,2.2798378325
