Území;Ukazatel;Typ indexu;Očištění;CZ NACE;Měsíce;value
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2014;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2014;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2015;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2016;103.1888558037
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2016;100.7160421901
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2016;100.1306558918
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2016;98.9012638838
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2016;97.9611295758
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2016;99.7507283981
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2016;101.9373874393
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2016;101.4660601463
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2016;101.0085164216
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2016;101.6312059867
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2016;101.175780883
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2016;101.5920116389
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2017;104.847706315
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2017;105.7924180699
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2017;106.7047802728
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2017;105.1001570637
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2017;108.3472498749
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2017;103.7087949695
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2017;103.367060657
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2017;102.969588616
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2017;101.7306484567
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2017;101.7841916034
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2017;102.9319140724
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2017;102.9671054971
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2018;105.5809217048
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2018;104.1470491218
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2018;104.4280565111
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2018;102.0860397356
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2018;101.5351839315
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2018;105.1547446081
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2018;104.5539240622
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2018;102.7854864829
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2018;105.3687282487
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2018;102.6122344367
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2018;101.8707550256
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2018;100.4740668052
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2019;97.755020668
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2019;99.4581129421
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2019;98.9263187129
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2019;101.5419961291
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2019;102.1290064819
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2019;101.6167441126
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2019;97.254909942
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2019;102.9522080705
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2019;105.5951533025
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2019;100.1352688377
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2019;103.1435301246
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2019;105.8880879914
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2020;100.1287651193
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2020;100.4340840548
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2020;90.9224638684
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2020;83.5171198027
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2020;81.1993723046
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2020;85.4241173105
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2020;89.0055016711
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2020;89.397341296
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2020;89.6850191159
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2020;90.6892592191
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2020;89.7657855787
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2020;88.8639826948
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2021;91.1492191115
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2021;89.785427263
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2021;101.7309360447
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2021;111.5675615418
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2021;112.7681072283
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2021;111.2338671241
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2021;107.9609277773
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2021;106.4312235639
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2021;105.9936838898
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2021;108.3255970788
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2021;112.3980247589
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2021;106.6452890172
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2022;110.5954488217
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2022;113.4581009134
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2022;111.2941602596
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2022;109.7304183895
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2022;111.6165429955
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2022;107.1171530902
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2022;106.2218377469
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2022;106.8706401165
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2022;101.8563347258
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2022;103.6391079624
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2022;102.5063353233
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2022;101.9190550318
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2023;102.1190417299
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2023;101.0911156996
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2023;99.4592856794
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2023;97.8588646056
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2023;97.1967234546
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2023;98.5228188977
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2023;94.5630206709
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2023;94.6265662632
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2023;95.8015616846
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2023;95.7478572155
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2023;96.2998676729
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2023;98.3538042652
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2024;99.9024888079
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2024;99.8330033562
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2024;101.858321621
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);duben 2024;104.3345107856
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);květen 2024;102.7952901742
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červen 2024;100.8733577642
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);červenec 2024;103.8014116015
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);srpen 2024;102.5425165214
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);září 2024;101.2607186073
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);říjen 2024;102.1692987527
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);listopad 2024;101.5271738585
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);prosinec 2024;102.0630769991
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);leden 2025;102.8990444203
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);únor 2025;103.351524504
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75);březen 2025;101.4477467941
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;49 až 53 Sekce H - Doprava a skladování;leden 2014;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;49 až 53 Sekce H - Doprava a skladování;únor 2014;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;49 až 53 Sekce H - Doprava a skladování;březen 2014;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;49 až 53 Sekce H - Doprava a skladování;duben 2014;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;49 až 53 Sekce H - Doprava a skladování;květen 2014;
Česko;Index produkce služeb;Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;49 až 53 Sekce H - Doprava a skladování;červen 2014;
