Ukazatel,Typ obce,Území,Roky,value
Počet obcí,Počet obcí celkem,Česko,2015,6253
Počet obcí,Počet obcí celkem,Česko,2016,6258
Počet obcí,Počet obcí celkem,Česko,2017,6258
Počet obcí,Počet obcí celkem,Česko,2018,6258
Počet obcí,Počet obcí celkem,Česko,2019,6258
Počet obcí,Počet obcí celkem,Česko,2020,6258
Počet obcí,Počet obcí celkem,Česko,2021,6258
Počet obcí,Počet obcí celkem,Česko,2022,6258
Počet obcí,Počet obcí celkem,Česko,2023,6258
Počet obcí,Počet obcí celkem,Česko,2024,6258
Počet obcí,Počet obcí celkem,Hlavní město Praha,2015,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2016,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2017,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2018,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2019,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2020,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2021,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2022,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2023,1
Počet obcí,Počet obcí celkem,Hlavní město Praha,2024,1
Počet obcí,Počet obcí celkem,Středočeský kraj,2015,1145
Počet obcí,Počet obcí celkem,Středočeský kraj,2016,1144
Počet obcí,Počet obcí celkem,Středočeský kraj,2017,1144
Počet obcí,Počet obcí celkem,Středočeský kraj,2018,1144
Počet obcí,Počet obcí celkem,Středočeský kraj,2019,1144
Počet obcí,Počet obcí celkem,Středočeský kraj,2020,1144
Počet obcí,Počet obcí celkem,Středočeský kraj,2021,1144
Počet obcí,Počet obcí celkem,Středočeský kraj,2022,1144
Počet obcí,Počet obcí celkem,Středočeský kraj,2023,1144
Počet obcí,Počet obcí celkem,Středočeský kraj,2024,1144
Počet obcí,Počet obcí celkem,Jihočeský kraj,2015,623
Počet obcí,Počet obcí celkem,Jihočeský kraj,2016,624
Počet obcí,Počet obcí celkem,Jihočeský kraj,2017,624
Počet obcí,Počet obcí celkem,Jihočeský kraj,2018,624
Počet obcí,Počet obcí celkem,Jihočeský kraj,2019,624
Počet obcí,Počet obcí celkem,Jihočeský kraj,2020,624
Počet obcí,Počet obcí celkem,Jihočeský kraj,2021,624
Počet obcí,Počet obcí celkem,Jihočeský kraj,2022,624
Počet obcí,Počet obcí celkem,Jihočeský kraj,2023,624
Počet obcí,Počet obcí celkem,Jihočeský kraj,2024,624
Počet obcí,Počet obcí celkem,Plzeňský kraj,2015,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2016,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2017,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2018,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2019,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2020,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2021,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2022,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2023,501
Počet obcí,Počet obcí celkem,Plzeňský kraj,2024,501
Počet obcí,Počet obcí celkem,Karlovarský kraj,2015,132
Počet obcí,Počet obcí celkem,Karlovarský kraj,2016,134
Počet obcí,Počet obcí celkem,Karlovarský kraj,2017,134
