Území;Ukazatel;Pohlaví;Týdny;Věkové skupiny (pětileté);value
Česko;Zemřelí;Celkem; 14. týden 2025;0-4;8
Česko;Zemřelí;Celkem; 14. týden 2025;5-9;0
Česko;Zemřelí;Celkem; 14. týden 2025;10-14;0
Česko;Zemřelí;Celkem; 14. týden 2025;15-19;5
Česko;Zemřelí;Celkem; 14. týden 2025;20-24;4
Česko;Zemřelí;Celkem; 14. týden 2025;25-29;2
Česko;Zemřelí;Celkem; 14. týden 2025;30-34;13
Česko;Zemřelí;Celkem; 14. týden 2025;35-39;14
Česko;Zemřelí;Celkem; 14. týden 2025;40-44;15
Česko;Zemřelí;Celkem; 14. týden 2025;45-49;35
Česko;Zemřelí;Celkem; 14. týden 2025;50-54;39
Česko;Zemřelí;Celkem; 14. týden 2025;55-59;70
Česko;Zemřelí;Celkem; 14. týden 2025;60-64;108
Česko;Zemřelí;Celkem; 14. týden 2025;65-69;162
Česko;Zemřelí;Celkem; 14. týden 2025;70-74;279
Česko;Zemřelí;Celkem; 14. týden 2025;75-79;329
Česko;Zemřelí;Celkem; 14. týden 2025;80-84;361
Česko;Zemřelí;Celkem; 14. týden 2025;85-89;336
Česko;Zemřelí;Celkem; 14. týden 2025;90 a více;333
Česko;Zemřelí;Celkem; 13. týden 2025;0-4;8
Česko;Zemřelí;Celkem; 13. týden 2025;5-9;0
Česko;Zemřelí;Celkem; 13. týden 2025;10-14;1
Česko;Zemřelí;Celkem; 13. týden 2025;15-19;2
Česko;Zemřelí;Celkem; 13. týden 2025;20-24;4
Česko;Zemřelí;Celkem; 13. týden 2025;25-29;4
Česko;Zemřelí;Celkem; 13. týden 2025;30-34;5
Česko;Zemřelí;Celkem; 13. týden 2025;35-39;12
Česko;Zemřelí;Celkem; 13. týden 2025;40-44;14
Česko;Zemřelí;Celkem; 13. týden 2025;45-49;44
Česko;Zemřelí;Celkem; 13. týden 2025;50-54;48
Česko;Zemřelí;Celkem; 13. týden 2025;55-59;78
Česko;Zemřelí;Celkem; 13. týden 2025;60-64;106
Česko;Zemřelí;Celkem; 13. týden 2025;65-69;181
Česko;Zemřelí;Celkem; 13. týden 2025;70-74;255
Česko;Zemřelí;Celkem; 13. týden 2025;75-79;384
Česko;Zemřelí;Celkem; 13. týden 2025;80-84;400
Česko;Zemřelí;Celkem; 13. týden 2025;85-89;333
Česko;Zemřelí;Celkem; 13. týden 2025;90 a více;324
Česko;Zemřelí;Celkem; 12. týden 2025;0-4;3
Česko;Zemřelí;Celkem; 12. týden 2025;5-9;0
Česko;Zemřelí;Celkem; 12. týden 2025;10-14;0
Česko;Zemřelí;Celkem; 12. týden 2025;15-19;3
Česko;Zemřelí;Celkem; 12. týden 2025;20-24;2
Česko;Zemřelí;Celkem; 12. týden 2025;25-29;4
Česko;Zemřelí;Celkem; 12. týden 2025;30-34;6
Česko;Zemřelí;Celkem; 12. týden 2025;35-39;6
Česko;Zemřelí;Celkem; 12. týden 2025;40-44;17
Česko;Zemřelí;Celkem; 12. týden 2025;45-49;32
Česko;Zemřelí;Celkem; 12. týden 2025;50-54;62
Česko;Zemřelí;Celkem; 12. týden 2025;55-59;70
Česko;Zemřelí;Celkem; 12. týden 2025;60-64;91
Česko;Zemřelí;Celkem; 12. týden 2025;65-69;173
Česko;Zemřelí;Celkem; 12. týden 2025;70-74;265
Česko;Zemřelí;Celkem; 12. týden 2025;75-79;350
Česko;Zemřelí;Celkem; 12. týden 2025;80-84;406
Česko;Zemřelí;Celkem; 12. týden 2025;85-89;357
Česko;Zemřelí;Celkem; 12. týden 2025;90 a více;371
Česko;Zemřelí;Celkem; 11. týden 2025;0-4;3
Česko;Zemřelí;Celkem; 11. týden 2025;5-9;1
Česko;Zemřelí;Celkem; 11. týden 2025;10-14;1
Česko;Zemřelí;Celkem; 11. týden 2025;15-19;3
Česko;Zemřelí;Celkem; 11. týden 2025;20-24;1
Česko;Zemřelí;Celkem; 11. týden 2025;25-29;7
Česko;Zemřelí;Celkem; 11. týden 2025;30-34;11
Česko;Zemřelí;Celkem; 11. týden 2025;35-39;15
Česko;Zemřelí;Celkem; 11. týden 2025;40-44;25
Česko;Zemřelí;Celkem; 11. týden 2025;45-49;36
Česko;Zemřelí;Celkem; 11. týden 2025;50-54;44
Česko;Zemřelí;Celkem; 11. týden 2025;55-59;60
Česko;Zemřelí;Celkem; 11. týden 2025;60-64;95
Česko;Zemřelí;Celkem; 11. týden 2025;65-69;190
Česko;Zemřelí;Celkem; 11. týden 2025;70-74;282
Česko;Zemřelí;Celkem; 11. týden 2025;75-79;375
Česko;Zemřelí;Celkem; 11. týden 2025;80-84;349
Česko;Zemřelí;Celkem; 11. týden 2025;85-89;354
Česko;Zemřelí;Celkem; 11. týden 2025;90 a více;332
Česko;Zemřelí;Celkem; 10. týden 2025;0-4;1
Česko;Zemřelí;Celkem; 10. týden 2025;5-9;0
Česko;Zemřelí;Celkem; 10. týden 2025;10-14;1
Česko;Zemřelí;Celkem; 10. týden 2025;15-19;2
Česko;Zemřelí;Celkem; 10. týden 2025;20-24;5
Česko;Zemřelí;Celkem; 10. týden 2025;25-29;5
Česko;Zemřelí;Celkem; 10. týden 2025;30-34;5
Česko;Zemřelí;Celkem; 10. týden 2025;35-39;14
Česko;Zemřelí;Celkem; 10. týden 2025;40-44;20
Česko;Zemřelí;Celkem; 10. týden 2025;45-49;33
Česko;Zemřelí;Celkem; 10. týden 2025;50-54;57
Česko;Zemřelí;Celkem; 10. týden 2025;55-59;86
Česko;Zemřelí;Celkem; 10. týden 2025;60-64;102
