Stát,Roky (ČR),Pohlaví,Věk (roky),Ukazatel,value
Česko,2024,muži,0,Počet zemřelých (Dx),104.0
Česko,2024,muži,0,Počet obyvatel (Px),45332.0
Česko,2024,muži,0,Míra úmrtnosti (mx),0.0022941851
Česko,2024,muži,0,Pravděpodobnost úmrtí (qx),0.0022895628
Česko,2024,muži,0,Tabulkový počet dožívajících (lx),100000.0
Česko,2024,muži,0,Tabulkový počet zemřelých (dx),228.956276396
Česko,2024,muži,0,Tabulkový počet žijících (Lx),99798.5184767715
Česko,2024,muži,0,Pomocný ukazatel (Tx),7715375.08478781
Česko,2024,muži,0,Naděje dožití (ex),77.1537508479
Česko,2024,muži,1,Počet zemřelých (Dx),10.0
Česko,2024,muži,1,Počet obyvatel (Px),50282.0
Česko,2024,muži,1,Míra úmrtnosti (mx),0.0002497271
Česko,2024,muži,1,Pravděpodobnost úmrtí (qx),0.0002496959
Česko,2024,muži,1,Tabulkový počet dožívajících (lx),99771.043723604
Česko,2024,muži,1,Tabulkový počet zemřelých (dx),24.9124210219
Česko,2024,muži,1,Tabulkový počet žijících (Lx),99758.5875130931
Česko,2024,muži,1,Pomocný ukazatel (Tx),7615576.56631104
Česko,2024,muži,1,Naděje dožití (ex),76.3305292005
Česko,2024,muži,2,Počet zemřelých (Dx),9.0
Česko,2024,muži,2,Počet obyvatel (Px),56309.0
Česko,2024,muži,2,Míra úmrtnosti (mx),0.0001231479
Česko,2024,muži,2,Pravděpodobnost úmrtí (qx),0.0001231403
Česko,2024,muži,2,Tabulkový počet dožívajících (lx),99746.1313025821
Česko,2024,muži,2,Tabulkový počet zemřelých (dx),12.2827705865
Česko,2024,muži,2,Tabulkový počet žijících (Lx),99739.9899172889
Česko,2024,muži,2,Pomocný ukazatel (Tx),7515817.97879795
Česko,2024,muži,2,Naděje dožití (ex),75.3494685022
Česko,2024,muži,3,Počet zemřelých (Dx),7.0
Česko,2024,muži,3,Počet obyvatel (Px),58635.0
Česko,2024,muži,3,Míra úmrtnosti (mx),0.0001124124
Česko,2024,muži,3,Pravděpodobnost úmrtí (qx),0.0001124061
Česko,2024,muži,3,Tabulkový počet dožívajících (lx),99733.8485319957
Česko,2024,muži,3,Tabulkový počet zemřelých (dx),11.2106912751
Česko,2024,muži,3,Tabulkový počet žijících (Lx),99728.2431863581
Česko,2024,muži,3,Pomocný ukazatel (Tx),7416077.98888066
Česko,2024,muži,3,Naděje dožití (ex),74.3586866248
Česko,2024,muži,4,Počet zemřelých (Dx),5.0
Česko,2024,muži,4,Počet obyvatel (Px),58522.0
Česko,2024,muži,4,Míra úmrtnosti (mx),0.0001048739
Česko,2024,muži,4,Pravděpodobnost úmrtí (qx),0.0001048684
Česko,2024,muži,4,Tabulkový počet dožívajících (lx),99722.6378407205
Česko,2024,muži,4,Tabulkový počet zemřelých (dx),10.4577503155
Česko,2024,muži,4,Tabulkový počet žijících (Lx),99717.4089655628
Česko,2024,muži,4,Pomocný ukazatel (Tx),7316349.7456943
Česko,2024,muži,4,Naděje dožití (ex),73.3669897238
Česko,2024,muži,5,Počet zemřelých (Dx),6.0
Česko,2024,muži,5,Počet obyvatel (Px),59868.0
Česko,2024,muži,5,Míra úmrtnosti (mx),9.56878e-05
Česko,2024,muži,5,Pravděpodobnost úmrtí (qx),9.56832e-05
Česko,2024,muži,5,Tabulkový počet dožívajících (lx),99712.180090405
Česko,2024,muži,5,Tabulkový počet zemřelých (dx),9.5407796338
Česko,2024,muži,5,Tabulkový počet žijících (Lx),99707.4097005881
Česko,2024,muži,5,Pomocný ukazatel (Tx),7216632.33672874
Česko,2024,muži,5,Naděje dožití (ex),72.3746319676
Česko,2024,muži,6,Počet zemřelých (Dx),4.0
Česko,2024,muži,6,Počet obyvatel (Px),60819.0
Česko,2024,muži,6,Míra úmrtnosti (mx),8.68327e-05
Česko,2024,muži,6,Pravděpodobnost úmrtí (qx),8.68289e-05
Česko,2024,muži,6,Tabulkový počet dožívajících (lx),99702.6393107712
Česko,2024,muži,6,Tabulkový počet zemřelých (dx),8.6570725494
Česko,2024,muži,6,Tabulkový počet žijících (Lx),99698.3107744965
Česko,2024,muži,6,Pomocný ukazatel (Tx),7116924.92702815
Česko,2024,muži,6,Naděje dožití (ex),71.3815098199
Česko,2024,muži,7,Počet zemřelých (Dx),8.0
Česko,2024,muži,7,Počet obyvatel (Px),61158.0
Česko,2024,muži,7,Míra úmrtnosti (mx),7.98785e-05
Česko,2024,muži,7,Pravděpodobnost úmrtí (qx),7.98753e-05
Česko,2024,muži,7,Tabulkový počet dožívajících (lx),99693.9822382218
Česko,2024,muži,7,Tabulkový počet zemřelých (dx),7.9630911612
Česko,2024,muži,7,Tabulkový počet žijících (Lx),99690.0006926412
Česko,2024,muži,7,Pomocný ukazatel (Tx),7017226.61625365
Česko,2024,muži,7,Naděje dožití (ex),70.3876649193
Česko,2024,muži,8,Počet zemřelých (Dx),4.0
Česko,2024,muži,8,Počet obyvatel (Px),60662.0
Česko,2024,muži,8,Míra úmrtnosti (mx),7.61368e-05
Česko,2024,muži,8,Pravděpodobnost úmrtí (qx),7.61339e-05
Česko,2024,muži,8,Tabulkový počet dožívajících (lx),99686.0191470606
Česko,2024,muži,8,Tabulkový počet zemřelých (dx),7.5894835196
Česko,2024,muži,8,Tabulkový počet žijících (Lx),99682.2244053008
Česko,2024,muži,8,Pomocný ukazatel (Tx),6917536.61556101
Česko,2024,muži,8,Naděje dožití (ex),69.3932476665
Česko,2024,muži,9,Počet zemřelých (Dx),6.0
Česko,2024,muži,9,Počet obyvatel (Px),60101.0
Česko,2024,muži,9,Míra úmrtnosti (mx),7.68051e-05
Česko,2024,muži,9,Pravděpodobnost úmrtí (qx),7.68022e-05
Česko,2024,muži,9,Tabulkový počet dožívajících (lx),99678.429663541
Česko,2024,muži,9,Tabulkový počet zemřelých (dx),7.6555199458
Česko,2024,muži,9,Tabulkový počet žijících (Lx),99674.6019035681
Česko,2024,muži,9,Pomocný ukazatel (Tx),6817854.39115571
Česko,2024,muži,9,Naděje dožití (ex),68.3984931762
Česko,2024,muži,10,Počet zemřelých (Dx),1.0
Česko,2024,muži,10,Počet obyvatel (Px),59316.0
Česko,2024,muži,10,Míra úmrtnosti (mx),8.26168e-05
Česko,2024,muži,10,Pravděpodobnost úmrtí (qx),8.26133e-05
Česko,2024,muži,10,Tabulkový počet dožívajících (lx),99670.7741435952
Česko,2024,muži,10,Tabulkový počet zemřelých (dx),8.234136117
Česko,2024,muži,10,Tabulkový počet žijících (Lx),99666.6570755368
Česko,2024,muži,10,Pomocný ukazatel (Tx),6718179.78925214
Česko,2024,muži,10,Naděje dožití (ex),67.4037083285
Česko,2024,muži,11,Počet zemřelých (Dx),6.0
Česko,2024,muži,11,Počet obyvatel (Px),58982.0
Česko,2024,muži,11,Míra úmrtnosti (mx),9.43998e-05
Česko,2024,muži,11,Pravděpodobnost úmrtí (qx),9.43953e-05
Česko,2024,muži,11,Tabulkový počet dožívajících (lx),99662.5400074783
Česko,2024,muži,11,Tabulkový počet zemřelých (dx),9.4076768754
Česko,2024,muži,11,Tabulkový počet žijících (Lx),99657.8361690406
Česko,2024,muži,11,Pomocný ukazatel (Tx),6618513.13217661
Česko,2024,muži,11,Naděje dožití (ex),66.4092359244
Česko,2024,muži,12,Počet zemřelých (Dx),6.0
Česko,2024,muži,12,Počet obyvatel (Px),59444.0
Česko,2024,muži,12,Míra úmrtnosti (mx),0.0001139903
Česko,2024,muži,12,Pravděpodobnost úmrtí (qx),0.0001139838
Česko,2024,muži,12,Tabulkový počet dožívajících (lx),99653.1323306028
Česko,2024,muži,12,Tabulkový počet zemřelých (dx),11.3588412369
Česko,2024,muži,12,Tabulkový počet žijících (Lx),99647.4529099844
Česko,2024,muži,12,Pomocný ukazatel (Tx),6518855.29600757
Česko,2024,muži,12,Naděje dožití (ex),65.4154580348
Česko,2024,muži,13,Počet zemřelých (Dx),11.0
Česko,2024,muži,13,Počet obyvatel (Px),61534.0
Česko,2024,muži,13,Míra úmrtnosti (mx),0.000143405
Česko,2024,muži,13,Pravděpodobnost úmrtí (qx),0.0001433947
Česko,2024,muži,13,Tabulkový počet dožívajících (lx),99641.773489366
Česko,2024,muži,13,Tabulkový počet zemřelých (dx),14.2881023288
Česko,2024,muži,13,Tabulkový počet žijících (Lx),99634.6294382016
Česko,2024,muži,13,Pomocný ukazatel (Tx),6419207.84309758
Česko,2024,muži,13,Naděje dožití (ex),64.4228581879
Česko,2024,muži,14,Počet zemřelých (Dx),10.0
Česko,2024,muži,14,Počet obyvatel (Px),63579.0
Česko,2024,muži,14,Míra úmrtnosti (mx),0.0001843807
Česko,2024,muži,14,Pravděpodobnost úmrtí (qx),0.0001843637
Česko,2024,muži,14,Tabulkový počet dožívajících (lx),99627.4853870372
Česko,2024,muži,14,Tabulkový počet zemřelých (dx),18.3676898249
Česko,2024,muži,14,Tabulkový počet žijících (Lx),99618.3015421247
Česko,2024,muži,14,Pomocný ukazatel (Tx),6319573.21365938
Česko,2024,muži,14,Naděje dožití (ex),63.4320257016
Česko,2024,muži,15,Počet zemřelých (Dx),13.0
Česko,2024,muži,15,Počet obyvatel (Px),64272.0
Česko,2024,muži,15,Míra úmrtnosti (mx),0.0002377915
Česko,2024,muži,15,Pravděpodobnost úmrtí (qx),0.0002377633
Česko,2024,muži,15,Tabulkový počet dožívajících (lx),99609.1176972122
Česko,2024,muži,15,Tabulkový počet zemřelých (dx),23.6833891338
Česko,2024,muži,15,Tabulkový počet žijících (Lx),99597.2760026453
Česko,2024,muži,15,Pomocný ukazatel (Tx),6219954.91211725
Česko,2024,muži,15,Naděje dožití (ex),62.4436302209
Česko,2024,muži,16,Počet zemřelých (Dx),21.0
