Roky,Území,Ukazatel,Kolo voleb,value
2023,Liberecký kraj,Vydané obálky,1. kolo,232533.0
2023,Liberecký kraj,Vydané obálky,2. kolo,241571.0
2023,Liberecký kraj,Volební účast (%),1. kolo,67.27
2023,Liberecký kraj,Volební účast (%),2. kolo,69.33
2023,Liberecký kraj,Odevzdané obálky,1. kolo,232370.0
2023,Liberecký kraj,Odevzdané obálky,2. kolo,241467.0
2023,Liberecký kraj,Platné hlasy,1. kolo,230406.0
2023,Liberecký kraj,Platné hlasy,2. kolo,240055.0
2023,Královéhradecký kraj,Počet okrsků,1. kolo,920.0
2023,Královéhradecký kraj,Počet okrsků,2. kolo,920.0
2023,Královéhradecký kraj,Voliči v seznamu,1. kolo,435549.0
2023,Královéhradecký kraj,Voliči v seznamu,2. kolo,437952.0
2023,Královéhradecký kraj,Vydané obálky,1. kolo,308829.0
2023,Královéhradecký kraj,Vydané obálky,2. kolo,317565.0
2023,Královéhradecký kraj,Volební účast (%),1. kolo,70.91
2023,Královéhradecký kraj,Volební účast (%),2. kolo,72.51
2023,Královéhradecký kraj,Odevzdané obálky,1. kolo,308698.0
2023,Královéhradecký kraj,Odevzdané obálky,2. kolo,317470.0
2023,Královéhradecký kraj,Platné hlasy,1. kolo,306375.0
2023,Královéhradecký kraj,Platné hlasy,2. kolo,315638.0
2023,Pardubický kraj,Počet okrsků,1. kolo,877.0
2023,Pardubický kraj,Počet okrsků,2. kolo,877.0
2023,Pardubický kraj,Voliči v seznamu,1. kolo,403973.0
2023,Pardubický kraj,Voliči v seznamu,2. kolo,402829.0
2023,Pardubický kraj,Vydané obálky,1. kolo,288703.0
2023,Pardubický kraj,Vydané obálky,2. kolo,292749.0
2023,Pardubický kraj,Volební účast (%),1. kolo,71.47
2023,Pardubický kraj,Volební účast (%),2. kolo,72.67
2023,Pardubický kraj,Odevzdané obálky,1. kolo,288586.0
2023,Pardubický kraj,Odevzdané obálky,2. kolo,292671.0
2023,Pardubický kraj,Platné hlasy,1. kolo,286506.0
2023,Pardubický kraj,Platné hlasy,2. kolo,291029.0
2023,Kraj Vysočina,Počet okrsků,1. kolo,1138.0
2023,Kraj Vysočina,Počet okrsků,2. kolo,1138.0
2023,Kraj Vysočina,Voliči v seznamu,1. kolo,401931.0
2023,Kraj Vysočina,Voliči v seznamu,2. kolo,400332.0
2023,Kraj Vysočina,Vydané obálky,1. kolo,291552.0
2023,Kraj Vysočina,Vydané obálky,2. kolo,294749.0
2023,Kraj Vysočina,Volební účast (%),1. kolo,72.54
2023,Kraj Vysočina,Volební účast (%),2. kolo,73.63
2023,Kraj Vysočina,Odevzdané obálky,1. kolo,291367.0
2023,Kraj Vysočina,Odevzdané obálky,2. kolo,294669.0
2023,Kraj Vysočina,Platné hlasy,1. kolo,289372.0
2023,Kraj Vysočina,Platné hlasy,2. kolo,293246.0
2023,Jihomoravský kraj,Počet okrsků,1. kolo,1408.0
2023,Jihomoravský kraj,Počet okrsků,2. kolo,1408.0
2023,Jihomoravský kraj,Voliči v seznamu,1. kolo,940373.0
2023,Jihomoravský kraj,Voliči v seznamu,2. kolo,937786.0
2023,Jihomoravský kraj,Vydané obálky,1. kolo,643933.0
2023,Jihomoravský kraj,Vydané obálky,2. kolo,659858.0
2023,Jihomoravský kraj,Volební účast (%),1. kolo,68.48
2023,Jihomoravský kraj,Volební účast (%),2. kolo,70.36
2023,Jihomoravský kraj,Odevzdané obálky,1. kolo,643405.0
2023,Jihomoravský kraj,Odevzdané obálky,2. kolo,659513.0
2023,Jihomoravský kraj,Platné hlasy,1. kolo,638825.0
2023,Jihomoravský kraj,Platné hlasy,2. kolo,656455.0
2023,Olomoucký kraj,Počet okrsků,1. kolo,934.0
2023,Olomoucký kraj,Počet okrsků,2. kolo,934.0
2023,Olomoucký kraj,Voliči v seznamu,1. kolo,502360.0
2023,Olomoucký kraj,Voliči v seznamu,2. kolo,502441.0
2023,Olomoucký kraj,Vydané obálky,1. kolo,337795.0
2023,Olomoucký kraj,Vydané obálky,2. kolo,349230.0
2023,Olomoucký kraj,Volební účast (%),1. kolo,67.24
2023,Olomoucký kraj,Volební účast (%),2. kolo,69.51
2023,Olomoucký kraj,Odevzdané obálky,1. kolo,337520.0
2023,Olomoucký kraj,Odevzdané obálky,2. kolo,349100.0
2023,Olomoucký kraj,Platné hlasy,1. kolo,334906.0
2023,Olomoucký kraj,Platné hlasy,2. kolo,347328.0
2023,Zlínský kraj,Počet okrsků,1. kolo,685.0
2023,Zlínský kraj,Počet okrsků,2. kolo,685.0
2023,Zlínský kraj,Voliči v seznamu,1. kolo,462250.0
2023,Zlínský kraj,Voliči v seznamu,2. kolo,460633.0
2023,Zlínský kraj,Vydané obálky,1. kolo,320548.0
2023,Zlínský kraj,Vydané obálky,2. kolo,326689.0
2023,Zlínský kraj,Volební účast (%),1. kolo,69.35
2023,Zlínský kraj,Volební účast (%),2. kolo,70.92
2023,Zlínský kraj,Odevzdané obálky,1. kolo,320377.0
2023,Zlínský kraj,Odevzdané obálky,2. kolo,326586.0
2023,Zlínský kraj,Platné hlasy,1. kolo,317993.0
2023,Zlínský kraj,Platné hlasy,2. kolo,324839.0
2023,Moravskoslezský kraj,Počet okrsků,1. kolo,1274.0
2023,Moravskoslezský kraj,Počet okrsků,2. kolo,1274.0
2023,Moravskoslezský kraj,Voliči v seznamu,1. kolo,954949.0
2023,Moravskoslezský kraj,Voliči v seznamu,2. kolo,952310.0
2023,Moravskoslezský kraj,Vydané obálky,1. kolo,607805.0
2023,Moravskoslezský kraj,Vydané obálky,2. kolo,633984.0
2023,Moravskoslezský kraj,Volební účast (%),1. kolo,63.65
2023,Moravskoslezský kraj,Volební účast (%),2. kolo,66.57
2023,Moravskoslezský kraj,Odevzdané obálky,1. kolo,607218.0
2023,Moravskoslezský kraj,Odevzdané obálky,2. kolo,633676.0
2023,Moravskoslezský kraj,Platné hlasy,1. kolo,602645.0
2023,Moravskoslezský kraj,Platné hlasy,2. kolo,630821.0
2023,Zahraničí,Počet okrsků,1. kolo,110.0
2023,Zahraničí,Počet okrsků,2. kolo,110.0
2023,Zahraničí,Voliči v seznamu,1. kolo,22189.0
2023,Zahraničí,Voliči v seznamu,2. kolo,28657.0
2023,Zahraničí,Vydané obálky,1. kolo,15913.0
2023,Zahraničí,Vydané obálky,2. kolo,23003.0
2023,Zahraničí,Volební účast (%),1. kolo,71.72
2023,Zahraničí,Volební účast (%),2. kolo,80.27
2023,Zahraničí,Odevzdané obálky,1. kolo,15905.0
2023,Zahraničí,Odevzdané obálky,2. kolo,22996.0
2023,Zahraničí,Platné hlasy,1. kolo,15881.0
2023,Zahraničí,Platné hlasy,2. kolo,22932.0
