Stát,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2023,Celkem,Počet odpracovaných hodin zaměstnanci celkem,1678.979598061
Česko,2023,Celkem,Počet odprac. hodin zaměstnanci celkem - z toho v přesčase,41.4438936671
Česko,2023,Celkem,Počet odprac. hodin (týdenní prac. doba 40 hod) celkem,1705.6456293707
Česko,2023,Celkem,Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas,39.22825743
Česko,2023,Celkem,Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem,1677.3185791806
Česko,2023,Celkem,Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas,39.5533599071
Česko,2023,Celkem,Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem,1621.3335248363
Česko,2023,Celkem,Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas,48.9835395505
Česko,2023,Celkem,Počet odprac. hodin (jiná týdenní prac. doba) celkem,1628.1316398828
Česko,2023,Celkem,Počet odprac. hodin (jiná týdenní prac. doba) - přesčas,35.8569925286
Česko,2023,Celkem,"Počet placených, ale neodpracovaných hodin",328.5151426066
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odpracovaných hodin zaměstnanci celkem,1743.529976123
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin zaměstnanci celkem - z toho v přesčase,51.7311573306
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin (týdenní prac. doba 40 hod) celkem,1753.401718065
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas,49.2282312595
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem,1776.4064555339
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas,55.2219220227
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem,1636.0268344459
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas,48.2408836036
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin (jiná týdenní prac. doba) celkem,1598.5937136773
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Počet odprac. hodin (jiná týdenní prac. doba) - přesčas,33.1670474525
Česko,2023,"A - Zemědělství, lesnictví, rybářství","Počet placených, ale neodpracovaných hodin",298.4481868115
Česko,2023,B-E - Průmysl celkem,Počet odpracovaných hodin zaměstnanci celkem,1639.1447687651
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin zaměstnanci celkem - z toho v přesčase,45.7707329629
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin (týdenní prac. doba 40 hod) celkem,1663.8942298127
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas,39.4464035319
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem,1655.8215956717
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas,48.1794585275
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem,1612.6270517277
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas,50.1583933145
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin (jiná týdenní prac. doba) celkem,1567.7048234643
Česko,2023,B-E - Průmysl celkem,Počet odprac. hodin (jiná týdenní prac. doba) - přesčas,25.926295085
Česko,2023,B-E - Průmysl celkem,"Počet placených, ale neodpracovaných hodin",342.5135771424
Česko,2023,B - Těžba a dobývání,Počet odpracovaných hodin zaměstnanci celkem,1620.9745539192
Česko,2023,B - Těžba a dobývání,Počet odprac. hodin zaměstnanci celkem - z toho v přesčase,51.4646327736
Česko,2023,B - Těžba a dobývání,Počet odprac. hodin (týdenní prac. doba 40 hod) celkem,1769.9525338817
Česko,2023,B - Těžba a dobývání,Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas,70.6824454359
Česko,2023,B - Těžba a dobývání,Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem,1678.5914264685
Česko,2023,B - Těžba a dobývání,Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas,33.5594463108
Česko,2023,B - Těžba a dobývání,Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem,1588.8798050637
Česko,2023,B - Těžba a dobývání,Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas,49.403697932
