Ukazatel;Věk;Rok sčítání;Pohlaví;ČR, kraje, SO ORP, obce;Nejvyšší dosažené vzdělání;value
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Česká republika;Celkem;8832407
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Česká republika;Bez vzdělání;56100
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Česká republika;Základní vč. neukončeného;1107860
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Česká republika;Střední vč. vyučení (bez maturity);2736983
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Česká republika;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;2729091
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Česká republika;Vyšší odborné, konzervatoř;138588
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Česká republika;Vysokoškolské;1552407
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Česká republika;Nezjištěno;511378
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Hlavní město Praha;Celkem;1102063
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Hlavní město Praha;Bez vzdělání;3916
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Hlavní město Praha;Základní vč. neukončeného;85743
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Hlavní město Praha;Střední vč. vyučení (bez maturity);187884
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Hlavní město Praha;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;361420
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Hlavní město Praha;Vyšší odborné, konzervatoř;24906
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Hlavní město Praha;Vysokoškolské;371351
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Hlavní město Praha;Nezjištěno;66843
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihočeský kraj;Celkem;530545
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihočeský kraj;Bez vzdělání;3052
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihočeský kraj;Základní vč. neukončeného;67839
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihočeský kraj;Střední vč. vyučení (bez maturity);177523
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihočeský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;164649
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihočeský kraj;Vyšší odborné, konzervatoř;8322
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihočeský kraj;Vysokoškolské;79899
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihočeský kraj;Nezjištěno;29261
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihomoravský kraj;Celkem;1003977
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihomoravský kraj;Bez vzdělání;4947
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihomoravský kraj;Základní vč. neukončeného;121166
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihomoravský kraj;Střední vč. vyučení (bez maturity);301905
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihomoravský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;304647
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihomoravský kraj;Vyšší odborné, konzervatoř;15190
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihomoravský kraj;Vysokoškolské;207890
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Jihomoravský kraj;Nezjištěno;48232
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Karlovarský kraj;Celkem;236517
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Karlovarský kraj;Bez vzdělání;2779
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Karlovarský kraj;Základní vč. neukončeného;39915
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Karlovarský kraj;Střední vč. vyučení (bez maturity);81345
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Karlovarský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;66737
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Karlovarský kraj;Vyšší odborné, konzervatoř;3062
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Karlovarský kraj;Vysokoškolské;22803
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Karlovarský kraj;Nezjištěno;19876
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Kraj Vysočina;Celkem;418463
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Kraj Vysočina;Bez vzdělání;2045
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Kraj Vysočina;Základní vč. neukončeného;51793
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Kraj Vysočina;Střední vč. vyučení (bez maturity);153400
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Kraj Vysočina;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;130037
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Kraj Vysočina;Vyšší odborné, konzervatoř;6922
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Kraj Vysočina;Vysokoškolské;56276
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Kraj Vysočina;Nezjištěno;17990
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Královéhradecký kraj;Celkem;453626
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Královéhradecký kraj;Bez vzdělání;2711
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Královéhradecký kraj;Základní vč. neukončeného;57514
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Královéhradecký kraj;Střední vč. vyučení (bez maturity);154031
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Královéhradecký kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;143910
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Královéhradecký kraj;Vyšší odborné, konzervatoř;7113
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Královéhradecký kraj;Vysokoškolské;63077
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Královéhradecký kraj;Nezjištěno;25270
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Liberecký kraj;Celkem;363889
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Liberecký kraj;Bez vzdělání;2817
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Liberecký kraj;Základní vč. neukončeného;49895
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Liberecký kraj;Střední vč. vyučení (bez maturity);124205
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Liberecký kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;108828
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Liberecký kraj;Vyšší odborné, konzervatoř;4975
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Liberecký kraj;Vysokoškolské;48054
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Liberecký kraj;Nezjištěno;25115
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Moravskoslezský kraj;Celkem;982717
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Moravskoslezský kraj;Bez vzdělání;7507
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Moravskoslezský kraj;Základní vč. neukončeného;135486
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Moravskoslezský kraj;Střední vč. vyučení (bez maturity);328848
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Moravskoslezský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;290019
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Moravskoslezský kraj;Vyšší odborné, konzervatoř;10903
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Moravskoslezský kraj;Vysokoškolské;151462
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Moravskoslezský kraj;Nezjištěno;58492
