Kumulace čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
Q1-Q4 2024,Pracovištní metoda,Česko,Mzdy včetně ostatních osobních nákladů (tis. Kč),2374910921.5795417
Q1-Q4 2024,Pracovištní metoda,Česko,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),135579209.57868505
Q1-Q4 2024,Pracovištní metoda,Česko,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.0544495865
Q1-Q4 2024,Pracovištní metoda,Česko,Mzdy bez ostatních osobních nákladů (tis. Kč),2217468379.1865635
Q1-Q4 2024,Pracovištní metoda,Česko,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),138554445.30088755
Q1-Q4 2024,Pracovištní metoda,Česko,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.6647513898
Q1-Q4 2024,Pracovištní metoda,Česko,Ostatní osobní náklady (tis. Kč),157442542.39297846
Q1-Q4 2024,Pracovištní metoda,Česko,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-2975235.722202515
Q1-Q4 2024,Pracovištní metoda,Česko,Ostatní osobní náklady - meziroční index (%),98.1453204519
Q1-Q4 2024,Pracovištní metoda,Praha,Mzdy včetně ostatních osobních nákladů (tis. Kč),612534192.0253603
Q1-Q4 2024,Pracovištní metoda,Praha,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8333130.616528262
Q1-Q4 2024,Pracovištní metoda,Praha,Mzdy včetně ostatních osobních nákladů - meziroční index (%),101.379198275
Q1-Q4 2024,Pracovištní metoda,Praha,Mzdy bez ostatních osobních nákladů (tis. Kč),565647893.0839452
Q1-Q4 2024,Pracovištní metoda,Praha,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),15009971.65265313
Q1-Q4 2024,Pracovištní metoda,Praha,Mzdy bez ostatních osobních nákladů - meziroční index (%),102.7259240725
Q1-Q4 2024,Pracovištní metoda,Praha,Ostatní osobní náklady (tis. Kč),46886298.9414151
Q1-Q4 2024,Pracovištní metoda,Praha,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-6676841.036124867
Q1-Q4 2024,Pracovištní metoda,Praha,Ostatní osobní náklady - meziroční index (%),87.5346347527
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Mzdy včetně ostatních osobních nákladů (tis. Kč),252050853.22381744
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),20501448.06754088
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.8540275254
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Mzdy bez ostatních osobních nákladů (tis. Kč),237041110.50215903
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),19872313.61438735
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Mzdy bez ostatních osobních nákladů - meziroční index (%),109.1506302467
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Ostatní osobní náklady (tis. Kč),15009742.72165841
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),629134.4531535337
Q1-Q4 2024,Pracovištní metoda,Střední Čechy,Ostatní osobní náklady - meziroční index (%),104.3748806824
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Mzdy včetně ostatních osobních nákladů (tis. Kč),240970750.36329663
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),17536621.075267218
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.8486760868
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Mzdy bez ostatních osobních nákladů (tis. Kč),226445852.58540407
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),17529586.31091091
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.3907235293
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Ostatní osobní náklady (tis. Kč),14524897.77789255
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),7034.7643563067
Q1-Q4 2024,Pracovištní metoda,Jihozápad,Ostatní osobní náklady - meziroční index (%),100.0484559219
Q1-Q4 2024,Pracovištní metoda,Severozápad,Mzdy včetně ostatních osobních nákladů (tis. Kč),176432114.25239524
Q1-Q4 2024,Pracovištní metoda,Severozápad,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),14233687.09446189
Q1-Q4 2024,Pracovištní metoda,Severozápad,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.7754778785
Q1-Q4 2024,Pracovištní metoda,Severozápad,Mzdy bez ostatních osobních nákladů (tis. Kč),164934532.0877628
Q1-Q4 2024,Pracovištní metoda,Severozápad,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),13251666.354277642
Q1-Q4 2024,Pracovištní metoda,Severozápad,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.7364293193
Q1-Q4 2024,Pracovištní metoda,Severozápad,Ostatní osobní náklady (tis. Kč),11497582.164632432
Q1-Q4 2024,Pracovištní metoda,Severozápad,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),982020.7401842491
Q1-Q4 2024,Pracovištní metoda,Severozápad,Ostatní osobní náklady - meziroční index (%),109.3387380906
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Mzdy včetně ostatních osobních nákladů (tis. Kč),280770670.0843235
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),19645962.59466111
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.5235939117
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Mzdy bez ostatních osobních nákladů (tis. Kč),263615880.42434183
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),19246486.23406359
