Ukazatel,Území,Odvětví,Čtvrtletí,value
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 1995,322604
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 1995,362564
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 1995,380696
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 1995,395766
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 1996,375745
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 1996,418111
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 1996,431354
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 1996,446160
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 1997,406459
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 1997,450594
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 1997,465675
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 1997,484411
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 1998,444927
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 1998,502660
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 1998,515244
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 1998,516933
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 1999,464359
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 1999,519377
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 1999,528259
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 1999,548372
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2000,497306
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2000,549570
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2000,562478
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2000,577853
