Ukazatel,Ekonomické subjekty ,Území,Čtvrtletí,value
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2025,2878988.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2025,2862930.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2025,2849594.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2024,2836017.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2024,2822454.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2024,2806060.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2024,2808176.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2023,2800294.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2023,2792581.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2023,2788905.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2023,2835015.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2022,2996841.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2022,3007473.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2022,2996348.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2022,2985170.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2021,2976264.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2021,2963419.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2021,2952752.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2021,2940814.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2020,2932963.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2020,2923581.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2020,2910897.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2020,2900310.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2019,2892452.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2019,2883512.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2019,2871357.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2019,2898700.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2018,2889422.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2018,2879073.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2018,2868384.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2018,2857542.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2017,2848672.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2017,2839872.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2017,2828722.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2017,2818287.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2016,2807532.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2016,2796151.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2016,2788104.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2016,2777282.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2015,2768953.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2015,2760129.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2015,2753488.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2015,2742937.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2014,2733459.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2013,2694737.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2012,2727654.0
