Ukazatel,Ekonomické subjekty ,Území,Čtvrtletí,value
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2012,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2012,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2012,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2011,2703444.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2011,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2011,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2011,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2010,2637551.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2010,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2010,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2010,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2009,2570611.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2009,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2009,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2009,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2008,2552149.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2008,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2008,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2008,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2007,2481863.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2007,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2007,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2007,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2006,2430481.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2006,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2006,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2006,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2005,2388490.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2005,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2005,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2005,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2004,74920.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2004,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2004,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2004,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2003,77489.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2003,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2003,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2003,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2002,74799.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2002,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2002,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2002,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,4. čtvrtletí 2001,2121562.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,3. čtvrtletí 2001,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,2. čtvrtletí 2001,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,1. čtvrtletí 2001,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2025,687339.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2025,682141.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2025,677479.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2024,672224.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2024,667456.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2024,662642.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2024,660279.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2023,655855.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2023,652281.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2023,649952.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2023,655170.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2022,670392.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2022,668865.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2022,665192.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2022,661357.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2021,658390.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2021,653692.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2021,650849.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2021,647469.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2020,644586.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2020,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2020,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2020,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2019,632250.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2019,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2019,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2019,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2018,622377.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2018,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2018,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2018,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2017,606843.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2017,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2017,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2017,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2016,590338.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2016,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2016,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2016,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2015,573682.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2015,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2015,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2015,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2014,557736.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2013,540360.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2012,544840.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2012,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2012,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2012,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2011,529377.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2011,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2011,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2011,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2010,506273.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2010,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2010,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2010,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2009,488307.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2009,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2009,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2009,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2008,471183.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2008,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2008,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2008,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2007,453006.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2007,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2007,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2007,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2006,437882.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2006,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2006,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2006,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2005,426165.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2005,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2005,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2005,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2004,417123.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2004,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2004,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2004,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2003,411612.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2003,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2003,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2003,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2002,394702.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2002,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2002,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2002,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,4. čtvrtletí 2001,384322.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,3. čtvrtletí 2001,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,2. čtvrtletí 2001,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Hlavní město Praha,1. čtvrtletí 2001,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2025,352461.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2025,349848.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2025,348055.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2024,345959.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2024,343882.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2024,341302.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2024,341125.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2023,339884.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2023,338606.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2023,337932.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2023,343094.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2022,362031.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2022,363319.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2022,361501.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2022,359691.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2021,358087.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2021,356368.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2021,354777.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2021,352945.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2020,351185.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2020,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2020,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2020,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2019,344580.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2019,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2019,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2019,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2018,342766.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2018,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2018,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2018,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2017,336540.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2017,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2017,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2017,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2016,330506.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2016,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2016,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2016,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2015,324905.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2015,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2015,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2015,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2014,319758.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2014,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2013,314688.0
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,3. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,2. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,1. čtvrtletí 2013,
Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Středočeský kraj,4. čtvrtletí 2012,323025.0
