Ukazatel,Rok sčítání,Pohlaví,Území,Rodinný stav,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Celkem,10524167
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Svobodní/svobodné,4508591
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Ženatí/vdané,4007342
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Rozvedení/rozvedené,1233112
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Ovdovělí/ovdovělé,720575
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Registrované partnerství trvající,5268
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Nezjištěno,47815
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Celkem,1301432
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Svobodní/svobodné,620315
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Ženatí/vdané,443874
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Rozvedení/rozvedené,150163
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Ovdovělí/ovdovělé,70478
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Registrované partnerství trvající,1519
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Nezjištěno,14688
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Celkem,1415463
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Svobodní/svobodné,605675
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Ženatí/vdané,551874
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Rozvedení/rozvedené,161441
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Ovdovělí/ovdovělé,90001
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Registrované partnerství trvající,819
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Nezjištěno,5442
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Celkem,631803
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Svobodní/svobodné,261096
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Ženatí/vdané,249647
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Rozvedení/rozvedené,73632
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Ovdovělí/ovdovělé,45357
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Registrované partnerství trvající,209
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Nezjištěno,1806
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Celkem,581436
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Svobodní/svobodné,243009
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Ženatí/vdané,225808
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Rozvedení/rozvedené,68817
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Ovdovělí/ovdovělé,40445
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Registrované partnerství trvající,261
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Nezjištěno,3047
