Kategorie,Čtvrtletí,Oblasti destinačního managementu nečleněné,Rezidence,Ukazatel,value
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Celkem,Počet hostů,2195269.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Celkem,Počet přenocování,4984489.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Celkem,Průměrný počet přenocování ,2.2705595533
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rezidenti,Počet hostů,400509.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rezidenti,Počet přenocování,663246.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rezidenti,Průměrný počet přenocování ,1.6560077302
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nerezidenti,Počet hostů,1794760.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nerezidenti,Počet přenocování,4321243.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nerezidenti,Průměrný počet přenocování ,2.4076996367
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Belgie,Počet hostů,17555.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Belgie,Počet přenocování,44825.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Belgie,Průměrný počet přenocování ,2.5534035887
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Bulharsko,Počet hostů,9815.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Bulharsko,Počet přenocování,25669.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Bulharsko,Průměrný počet přenocování ,2.6152827305
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Dánsko,Počet hostů,18390.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Dánsko,Počet přenocování,52690.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Dánsko,Průměrný počet přenocování ,2.8651441001
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Estonsko,Počet hostů,4485.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Estonsko,Počet přenocování,10990.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Estonsko,Průměrný počet přenocování ,2.4503901895
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Finsko,Počet hostů,12654.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Finsko,Počet přenocování,33501.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Finsko,Průměrný počet přenocování ,2.6474632527
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Francie,Počet hostů,58525.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Francie,Počet přenocování,155162.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Francie,Průměrný počet přenocování ,2.6512088851
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Chorvatsko,Počet hostů,10592.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Chorvatsko,Počet přenocování,25655.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Chorvatsko,Průměrný počet přenocování ,2.4221110272
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Irsko,Počet hostů,14850.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Irsko,Počet přenocování,39621.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Irsko,Průměrný počet přenocování ,2.6680808081
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Island,Počet hostů,2556.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Island,Počet přenocování,7599.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Island,Průměrný počet přenocování ,2.9730046948
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Itálie,Počet hostů,80169.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Itálie,Počet přenocování,216023.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Itálie,Průměrný počet přenocování ,2.6945951677
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kypr,Počet hostů,2390.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kypr,Počet přenocování,6822.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kypr,Průměrný počet přenocování ,2.8543933054
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Litva,Počet hostů,8049.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Litva,Počet přenocování,17021.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Litva,Průměrný počet přenocování ,2.1146726301
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lotyšsko,Počet hostů,5085.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lotyšsko,Počet přenocování,11490.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lotyšsko,Průměrný počet přenocování ,2.2595870206
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lucembursko,Počet hostů,1805.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lucembursko,Počet přenocování,4570.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lucembursko,Průměrný počet přenocování ,2.5318559557
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lichtenštejnsko,Počet hostů,250.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lichtenštejnsko,Počet přenocování,511.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Lichtenštejnsko,Průměrný počet přenocování ,2.044
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Maďarsko,Počet hostů,29972.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Maďarsko,Počet přenocování,69444.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Maďarsko,Průměrný počet přenocování ,2.3169624983
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Malta,Počet hostů,1351.0
