Území;Ukazatel;Čtvrtletí;value
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2024;49228.5154016238
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2024;45464.1045426303
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2024;45888.5521572772
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2024;44047.1145059751
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2023;45906.5144951867
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2023;42438.859054782
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2023;43057.2875439434
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2023;41057.6128975968
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2022;42877.8497942408
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2022;39386.1216829615
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2022;39725.6721447282
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2022;37691.3807346825
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2021;40600.7605233702
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2021;37896.3643556729
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2021;38769.6749527043
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2021;35804.0985481774
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2020;39092.0628896787
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2020;35975.2646847444
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2020;34874.8346564019
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2020;34760.5876038044
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2019;36634.1086215806
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2019;34127.0489123393
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2019;34576.0599645212
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2019;32950.972626854
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2018;34057.485626046
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2018;31684.8980694264
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2018;32003.4306530443
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2018;30426.9372312714
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2017;31802.1014884151
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2017;29234.2408169657
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2017;29432.4453963964
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2017;28033.5913552409
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2016;29491.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2016;27396.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2016;27452.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2016;26683.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2015;28258.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2015;26163.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2015;26287.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2015;25327.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2014;27107.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2014;25127.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2014;25411.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2014;24754.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2013;26525.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2013;24735.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2013;24877.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2013;23985.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2012;27055.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2012;24439.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2012;24627.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2012;24131.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2011;26211.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2011;24107.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2011;24116.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2011;23372.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2010;25591.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2010;23600.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2010;23504.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2010;22738.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2009;25418.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2009;23092.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2009;22796.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2009;22108.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2008;24309.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2008;22181.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2008;22246.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2008;21632.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2007;22641.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2007;20721.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2007;20740.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2007;19687.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2006;21269.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2006;19305.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2006;19300.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2006;18270.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2005;19963.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2005;18203.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2005;18112.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2005;17067.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2004;19183.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2004;17190.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2004;17223.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2004;16231.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2003;18096.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2003;16088.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2003;16529.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2003;14986.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2002;17133.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2002;15268.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2002;15599.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2002;14083.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2001;15908.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2001;14117.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2001;14391.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2001;13052.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2000;14717.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2000;12963.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2000;13227.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2000;11941.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2024;107.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2024;107.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2024;106.6
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2024;107.3
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2023;107.0634715021
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2023;107.7507945474
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2023;108.3865551402
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2023;108.9310396629
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2022;105.6084892044
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2022;103.9311352226
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2022;102.4658375217
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2022;105.2711344875
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2021;103.9
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2021;105.3
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2021;111.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2021;103.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2020;106.7
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2020;105.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2020;100.9
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2020;105.5
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2019;107.6
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2019;107.7
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2019;108.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2019;108.3
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2018;107.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2018;108.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2018;108.7
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2018;108.5
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2017;107.8
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2017;106.7
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2017;107.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2017;105.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2016;104.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2016;104.7
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2016;104.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2016;104.7
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2015;103.7
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2015;103.5
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2015;103.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2015;102.3
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2014;102.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2014;101.6
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2014;102.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2014;103.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2013;98.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2013;101.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2013;101.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2013;99.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2012;103.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2012;101.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2012;102.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2012;103.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2011;102.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2011;102.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2011;102.6
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2011;102.8
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2010;100.7
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2010;102.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2010;103.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2010;102.8
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2009;104.6
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2009;104.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2009;102.5
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2009;102.2
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2008;107.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2008;107.0
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2008;107.3
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2008;109.9
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2007;106.4
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2007;107.3
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2007;107.5
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2007;107.8
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2006;106.5
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2006;106.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2006;106.6
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2006;107.1
Česko;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2005;104.1
