Rok sčítání,Území podle okresů,Ukazatel,Pohlaví,value
2021,Česká republika,Obyvatelstvo,celkem,10524167
2021,Česká republika,Obyvatelstvo,muž,5186548
2021,Česká republika,Obyvatelstvo,žena,5337619
2021,Praha,Obyvatelstvo,celkem,1301432
2021,Praha,Obyvatelstvo,muž,633449
2021,Praha,Obyvatelstvo,žena,667983
2021,Střední Čechy,Obyvatelstvo,celkem,1415463
2021,Střední Čechy,Obyvatelstvo,muž,702541
2021,Střední Čechy,Obyvatelstvo,žena,712922
2021,Jihozápad,Obyvatelstvo,celkem,1213239
2021,Jihozápad,Obyvatelstvo,muž,601047
2021,Jihozápad,Obyvatelstvo,žena,612192
2021,Severozápad,Obyvatelstvo,celkem,1068201
2021,Severozápad,Obyvatelstvo,muž,527075
2021,Severozápad,Obyvatelstvo,žena,541126
2021,Severovýchod,Obyvatelstvo,celkem,1483560
2021,Severovýchod,Obyvatelstvo,muž,734383
2021,Severovýchod,Obyvatelstvo,žena,749177
2021,Jihovýchod,Obyvatelstvo,celkem,1695312
2021,Jihovýchod,Obyvatelstvo,muž,836921
2021,Jihovýchod,Obyvatelstvo,žena,858391
2021,Střední Morava,Obyvatelstvo,celkem,1184119
2021,Střední Morava,Obyvatelstvo,muž,581041
2021,Střední Morava,Obyvatelstvo,žena,603078
2021,Moravskoslezsko,Obyvatelstvo,celkem,1162841
2021,Moravskoslezsko,Obyvatelstvo,muž,570091
2021,Moravskoslezsko,Obyvatelstvo,žena,592750
2021,Hlavní město Praha,Obyvatelstvo,celkem,1301432
2021,Hlavní město Praha,Obyvatelstvo,muž,633449
2021,Hlavní město Praha,Obyvatelstvo,žena,667983
2021,Středočeský kraj,Obyvatelstvo,celkem,1415463
2021,Středočeský kraj,Obyvatelstvo,muž,702541
2021,Středočeský kraj,Obyvatelstvo,žena,712922
2021,Jihočeský kraj,Obyvatelstvo,celkem,631803
2021,Jihočeský kraj,Obyvatelstvo,muž,312168
2021,Jihočeský kraj,Obyvatelstvo,žena,319635
2021,Plzeňský kraj,Obyvatelstvo,celkem,581436
2021,Plzeňský kraj,Obyvatelstvo,muž,288879
2021,Plzeňský kraj,Obyvatelstvo,žena,292557
2021,Karlovarský kraj,Obyvatelstvo,celkem,279103
2021,Karlovarský kraj,Obyvatelstvo,muž,138110
2021,Karlovarský kraj,Obyvatelstvo,žena,140993
2021,Ústecký kraj,Obyvatelstvo,celkem,789098
2021,Ústecký kraj,Obyvatelstvo,muž,388965
2021,Ústecký kraj,Obyvatelstvo,žena,400133
2021,Liberecký kraj,Obyvatelstvo,celkem,435220
2021,Liberecký kraj,Obyvatelstvo,muž,215420
2021,Liberecký kraj,Obyvatelstvo,žena,219800
2021,Královéhradecký kraj,Obyvatelstvo,celkem,538303
2021,Královéhradecký kraj,Obyvatelstvo,muž,266017
2021,Královéhradecký kraj,Obyvatelstvo,žena,272286
2021,Pardubický kraj,Obyvatelstvo,celkem,510037
2021,Pardubický kraj,Obyvatelstvo,muž,252946
2021,Pardubický kraj,Obyvatelstvo,žena,257091
2021,Kraj Vysočina,Obyvatelstvo,celkem,497661
2021,Kraj Vysočina,Obyvatelstvo,muž,247368
2021,Kraj Vysočina,Obyvatelstvo,žena,250293
2021,Jihomoravský kraj,Obyvatelstvo,celkem,1197651
2021,Jihomoravský kraj,Obyvatelstvo,muž,589553
2021,Jihomoravský kraj,Obyvatelstvo,žena,608098
2021,Olomoucký kraj,Obyvatelstvo,celkem,619788
2021,Olomoucký kraj,Obyvatelstvo,muž,303895
2021,Olomoucký kraj,Obyvatelstvo,žena,315893
2021,Zlínský kraj,Obyvatelstvo,celkem,564331
2021,Zlínský kraj,Obyvatelstvo,muž,277146
2021,Zlínský kraj,Obyvatelstvo,žena,287185
2021,Moravskoslezský kraj,Obyvatelstvo,celkem,1162841
2021,Moravskoslezský kraj,Obyvatelstvo,muž,570091
2021,Moravskoslezský kraj,Obyvatelstvo,žena,592750
