Ukazatel;Realizace stavby;Roky;Území;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2020;Liberecký kraj;8422.824
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2020;Královéhradecký kraj;15549.183
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2020;Pardubický kraj;15468.713
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2020;Kraj Vysočina;17468.964
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2020;Jihomoravský kraj;41460.204
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2020;Olomoucký kraj;19160.448
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2020;Zlínský kraj;12315.135
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2020;Moravskoslezský kraj;25537.7
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Česko;312850.774
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Hlavní město Praha;65422.028
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Středočeský kraj;38294.289
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Jihočeský kraj;20156.913
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Plzeňský kraj;14997.862
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Karlovarský kraj;6798.491
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Ústecký kraj;21561.243
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Liberecký kraj;8804.407
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Královéhradecký kraj;13505.817
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Pardubický kraj;13174.271
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Kraj Vysočina;15398.357
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Jihomoravský kraj;37733.054
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Olomoucký kraj;17313.56
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Zlínský kraj;12524.103
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2019;Moravskoslezský kraj;27166.379
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Česko;274680.326
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Hlavní město Praha;58235.413
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Středočeský kraj;29086.253
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Jihočeský kraj;20679.63
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Plzeňský kraj;13957.536
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Karlovarský kraj;7228.78
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Ústecký kraj;19236.853
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Liberecký kraj;7969.105
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Královéhradecký kraj;12202.178
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Pardubický kraj;11180.106
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Kraj Vysočina;12078.419
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Jihomoravský kraj;32859.449
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Olomoucký kraj;15009.901
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Zlínský kraj;10551.925
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2018;Moravskoslezský kraj;24404.778
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Česko;244026.095
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Hlavní město Praha;56354.481
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Středočeský kraj;25740.064
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Jihočeský kraj;20701.922
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Plzeňský kraj;12588.3
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Karlovarský kraj;5603.32
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Ústecký kraj;15984.588
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Liberecký kraj;7629.164
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Královéhradecký kraj;10754.547
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Pardubický kraj;9905.117
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Kraj Vysočina;11528.167
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Jihomoravský kraj;27103.874
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Olomoucký kraj;12218.266
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Zlínský kraj;9072.824
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2017;Moravskoslezský kraj;18841.461
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Česko;235727.938
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Hlavní město Praha;55314.741
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Středočeský kraj;22351.872
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Jihočeský kraj;17631.277
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Plzeňský kraj;13312.718
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Karlovarský kraj;4636.015
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Ústecký kraj;15354.135
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Liberecký kraj;7942.771
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Královéhradecký kraj;9932.479
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Pardubický kraj;11168.235
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Kraj Vysočina;11128.281
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Jihomoravský kraj;25752.833
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Olomoucký kraj;11545.214
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Zlínský kraj;8769.78
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2016;Moravskoslezský kraj;20887.587
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Česko;268135.911
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Hlavní město Praha;53486.873
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Středočeský kraj;25561.292
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Jihočeský kraj;23237.52
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Plzeňský kraj;12703.901
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Karlovarský kraj;6781.729
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Ústecký kraj;15635.383
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Liberecký kraj;9148.705
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Královéhradecký kraj;12329.897
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Pardubický kraj;12365.681
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Kraj Vysočina;12123.793
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Jihomoravský kraj;35962.61
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Olomoucký kraj;13361.07
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Zlínský kraj;9186.301
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2015;Moravskoslezský kraj;26251.156
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Česko;238262.277
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Hlavní město Praha;51775.949
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Středočeský kraj;21547.692
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Jihočeský kraj;20860.821
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Plzeňský kraj;12824.903
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Karlovarský kraj;6958.183
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Ústecký kraj;14465.653
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Liberecký kraj;6230.316
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Královéhradecký kraj;9428.279
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Pardubický kraj;10807.406
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Kraj Vysočina;11901.891
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Jihomoravský kraj;27775.878
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Olomoucký kraj;10362.106
