Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Čtvrtletí,value
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,1. čtvrtletí 2015,99.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,2. čtvrtletí 2015,100.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,3. čtvrtletí 2015,99.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,4. čtvrtletí 2015,100.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,1. čtvrtletí 2016,99.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,2. čtvrtletí 2016,100.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,3. čtvrtletí 2016,99.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,4. čtvrtletí 2016,100.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,1. čtvrtletí 2017,100.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,2. čtvrtletí 2017,101.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,3. čtvrtletí 2017,101.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,4. čtvrtletí 2017,102.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,1. čtvrtletí 2018,101.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,2. čtvrtletí 2018,103.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,3. čtvrtletí 2018,102.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,4. čtvrtletí 2018,104.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,1. čtvrtletí 2019,104.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,2. čtvrtletí 2019,106.2
