Ukazatel;Počet zaměstnanců;ČR, kraje;Roky;value
Počet ekonomických subjektů celkem;Celkem;Česko;2024;2836017
Počet ekonomických subjektů celkem;Celkem;Česko;2023;2800294
Počet ekonomických subjektů celkem;Celkem;Česko;2022;2996841
Počet ekonomických subjektů celkem;Celkem;Česko;2021;2976264
Počet ekonomických subjektů celkem;Celkem;Česko;2020;2932963
Počet ekonomických subjektů celkem;Celkem;Česko;2019;2892452
Počet ekonomických subjektů celkem;Celkem;Česko;2018;2889422
Počet ekonomických subjektů celkem;Celkem;Česko;2017;2848672
Počet ekonomických subjektů celkem;Celkem;Česko;2016;2807532
Počet ekonomických subjektů celkem;Celkem;Česko;2015;2768953
Počet ekonomických subjektů celkem;Celkem;Česko;2014;2733459
Počet ekonomických subjektů celkem;Celkem;Česko;2013;2694737
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2024;672224
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2023;655855
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2022;670392
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2021;658390
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2020;644586
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2019;632250
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2018;622377
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2017;606843
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2016;590338
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2015;573682
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2014;557736
Počet ekonomických subjektů celkem;Celkem;Hlavní město Praha;2013;540360
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2024;345959
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2023;339884
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2022;362031
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2021;358087
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2020;351185
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2019;344580
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2018;342766
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2017;336540
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2016;330506
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2015;324905
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2014;319758
Počet ekonomických subjektů celkem;Celkem;Středočeský kraj;2013;314688
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2024;154509
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2023;153431
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2022;169260
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2021;168648
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2020;166853
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2019;165373
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2018;166419
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2017;164927
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2016;163411
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2015;162106
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2014;160786
Počet ekonomických subjektů celkem;Celkem;Jihočeský kraj;2013;159363
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2024;137926
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2023;137082
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2022;149980
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2021;149138
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2020;147671
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2019;146382
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2018;147014
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2017;145763
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2016;144545
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2015;143478
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2014;142307
Počet ekonomických subjektů celkem;Celkem;Plzeňský kraj;2013;141202
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2024;67730
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2023;67824
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2022;74396
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2021;74009
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2020;73997
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2019;74190
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2018;75198
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2017;75620
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2016;75772
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2015;75921
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2014;76602
Počet ekonomických subjektů celkem;Celkem;Karlovarský kraj;2013;76802
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2024;164198
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2023;163270
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2022;177707
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2021;177675
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2020;176004
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2019;174294
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2018;176111
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2017;174708
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2016;174240
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2015;173878
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2014;173415
Počet ekonomických subjektů celkem;Celkem;Ústecký kraj;2013;172030
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2024;105477
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2023;105303
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2022;115776
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2021;118256
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2020;118076
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2019;117304
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2018;118509
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2017;117854
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2016;116675
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2015;116006
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2014;115262
Počet ekonomických subjektů celkem;Celkem;Liberecký kraj;2013;114472
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2024;128727
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2023;128501
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2022;141940
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2021;142345
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2020;141343
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2019;140013
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2018;140354
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2017;139199
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2016;137930
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2015;136566
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2014;135019
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2013;133970
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2024;116280
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2023;115106
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2022;125246
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2021;124491
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2020;122901
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2019;121219
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2018;121765
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2017;120124
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2016;118810
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2015;117554
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2014;116363
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2013;115116
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2024;107897
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2023;107603
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2022;118115
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2021;117927
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2020;116360
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2019;114721
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2018;114688
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2017;113143
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2016;111816
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2015;110643
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2014;108800
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2013;107395
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2024;321073
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2023;316213
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2022;335762
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2021;332277
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2020;326100
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2019;320758
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2018;319647
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2017;314742
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2016;309786
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2015;304729
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2014;300204
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2013;295523
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2024;135024
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2023;134345
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2022;147495
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2021;147212
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2020;145374
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2019;143478
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2018;143972
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2017;142182
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2016;140735
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2015;139097
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2014;138347
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2013;137119
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2024;132315
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2023;131790
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2022;146086
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2021;145404
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2020;144213
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2019;142848
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2018;143731
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2017;142502
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2016;141070
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2015;140175
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2014;138832
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2013;138197
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2024;246678
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2023;244087
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2022;262655
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2021;262405
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2020;258300
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2019;255042
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2018;256871
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2017;254525
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2016;251898
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2015;250213
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2014;250028
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2013;248500
