Území;Kumulace čtvrtletí;Velikostní skupiny podniků;Ukazatel;value
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);43985.8320251753
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);1903.6336178885
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);104.5236078198
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);480.6573939521
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);10.9741677221
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);102.3365040754
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);41314.2342239211
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1577.8525406191
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);103.9708007468
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);999.8304949763
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);15.4405913996
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.5685442672
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);45261.8374905349
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);2222.8258151912
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.1646767169
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1056.3014232701
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);20.6121756977
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.9901892142
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);42842.0944862495
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1934.8738576349
Česko;Q1-Q4 2024;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);104.7299078938
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);548.3671205008
