Ukazatel,Právní forma,Území,Roky,value
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2014,1296904.9
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2013,1905350.77
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2012,-111329.52
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2011,-308985.99
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2010,-31828.5
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2009,-3848195.27
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2008,982870.12
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2007,1448092.01
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2024,1022666.04594
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2023,3987757.76304
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2022,2589837.9407
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2021,2677153.2787
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2020,1050922.69325
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2019,1304388.52622
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2018,25316.7888
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2017,1686515.63581
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2016,3236660.60438
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2015,1477254.47783
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2014,807943.94
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2013,1110075.78
