Ukazatel,Právní forma,Území,Roky,value
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2012,-934194.62
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2011,-651019.92
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2010,-107062.35
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2009,-1741537.44
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2008,83293.83
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2007,142780.83
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2024,656705.29574
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2023,2792130.1045
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2022,1596605.25503
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2021,1053329.57332
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2020,1460046.23704
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2019,1740916.11009
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2018,253637.21828
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2017,1538573.02166
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2016,2151384.65208
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2015,501036.95
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2014,402911.84
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2013,376055.51
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2012,-97007.12
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2011,120378.58
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2010,-278825.89
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2009,-983007.66
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2008,292916.97
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,2007,567151.22
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2024,4943974.68927
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2023,4363593.40882
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2022,780144.39479
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2021,2166150.11068
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2020,923896.60579
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2019,2239699.0043
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2018,-266644.17836
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2017,3140026.19836
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2016,7403345.22027
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2015,-994657.55034
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2014,450331.86
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2013,844780.46
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2012,-317512.72
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2011,259833.65
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2010,-1960883.14
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2009,-1281468.59
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2008,674246.33
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,2007,1775208.18
