Ukazatel;Území;NACE;Roky;value
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2011;3670
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2012;3728
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2013;3730
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2014;3653
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2015;3672
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2016;3784
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2017;3843
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2018;3910
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2019;4005
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2020;4262
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2021;4422
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2022;4399
