Ukazatel;Území;NACE;Roky;value
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2010;1715
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2011;1627
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2012;1547
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2013;1469
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2014;1400
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2015;1354
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2016;1272
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2017;1242
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2018;1192
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2019;1166
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2020;1131
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2021;1065
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2022;998
Počet aktivních podniků;Česko;Výroba spotřební elektroniky a optických přístrojů;2023;998
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2008;588
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2009;585
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2010;601
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2011;635
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2012;687
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2013;725
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2014;740
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2015;772
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2016;817
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2017;837
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2018;864
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2019;895
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2020;877
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2021;900
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2022;930
Počet aktivních podniků;Česko;Výroba vědeckých elektronických přístrojů;2023;996
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2008;46
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2009;52
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2010;55
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2011;61
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2012;66
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2013;60
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2014;63
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2015;71
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2016;73
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2017;88
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2018;89
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2019;95
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2020;90
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2021;93
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2022;102
Počet aktivních podniků;Česko;Výroba letedel a jejich motorů, kosmických lodí a jejich zařízení (30.3);2023;116
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2008;3313
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2009;3691
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2010;3846
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2011;3841
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2012;3902
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2013;3889
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2014;3814
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2015;3829
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2016;3930
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2017;3985
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2018;4061
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2019;4148
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2020;4402
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2021;4568
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2022;4541
Počet aktivních podniků;Česko;Audiovizuální  činnosti;2023;4546
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2008;18224
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2009;19285
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2010;20198
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2011;20680
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2012;20900
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2013;21180
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2014;22324
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2015;24047
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2016;28090
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2017;31193
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2018;34607
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2019;37085
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2020;40105
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2021;43005
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2022;46779
Počet aktivních podniků;Česko;Činnosti v oblasti ICT;2023;49523
Počet aktivních podniků;Česko;Informační činnosti;2008;4885
Počet aktivních podniků;Česko;Informační činnosti;2009;4971
Počet aktivních podniků;Česko;Informační činnosti;2010;4929
Počet aktivních podniků;Česko;Informační činnosti;2011;4810
Počet aktivních podniků;Česko;Informační činnosti;2012;4724
Počet aktivních podniků;Česko;Informační činnosti;2013;4523
Počet aktivních podniků;Česko;Informační činnosti;2014;4409
Počet aktivních podniků;Česko;Informační činnosti;2015;4267
Počet aktivních podniků;Česko;Informační činnosti;2016;4665
Počet aktivních podniků;Česko;Informační činnosti;2017;4763
Počet aktivních podniků;Česko;Informační činnosti;2018;4789
Počet aktivních podniků;Česko;Informační činnosti;2019;4822
Počet aktivních podniků;Česko;Informační činnosti;2020;4893
Počet aktivních podniků;Česko;Informační činnosti;2021;4905
Počet aktivních podniků;Česko;Informační činnosti;2022;4843
Počet aktivních podniků;Česko;Informační činnosti;2023;4926
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2008;843
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2009;860
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2010;950
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2011;991
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2012;998
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2013;995
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2014;1014
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2015;1045
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2016;1081
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2017;1120
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2018;1173
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2019;1343
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2020;1457
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2021;1676
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2022;1860
Počet aktivních podniků;Česko;Výzkum a vývoj (72);2023;2117
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2008;705
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2009;703
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2010;759
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2011;775
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2012;779
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2013;797
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2014;815
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2015;829
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2016;869
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2017;916
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2018;907
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2019;977
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2020;1021
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2021;1131
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2022;1246
Počet aktivních podniků;Česko;Výroba elektronických součástek a desek (26.1);2023;1298
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2008;406
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2009;406
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2010;390
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2011;360
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2012;340
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2013;328
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2014;304
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2015;289
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2016;262
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2017;250
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2018;240
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2019;218
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2020;211
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2021;204
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2022;188
Počet aktivních podniků;Česko;Výroba počítačů a periferních zařízení (26.2);2023;180
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2008;945
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2009;994
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2010;991
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2011;930
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2012;897
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2013;860
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2014;820
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2015;806
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2016;765
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2017;769
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2018;739
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2019;724
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2020;700
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2021;665
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2022;648
Počet aktivních podniků;Česko;Výroba komunikačních zařízení (26.3);2023;664
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2008;397
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2009;413
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2010;403
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2011;388
