Území,Roky,Druh cesty ,Kategorie ubytovacího zařízení,Ukazatel,Cíl cesty,value
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlastní rekreační zařízení,Počet cest (v tis.),Domácí,2773.7579547
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlastní rekreační zařízení,Počet cest (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlastní rekreační zařízení,Počet přenocování (v tis.),Domácí,5678.8350859
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlastní rekreační zařízení,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlastní rekreační zařízení,Náklady (mil. Kč),Domácí,2447.1277327
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlastní rekreační zařízení,Náklady (mil. Kč),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,U příbuzných a známých,Počet cest (v tis.),Domácí,6650.5702283
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,U příbuzných a známých,Počet cest (v tis.),Zahraniční,301.61243723
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,U příbuzných a známých,Počet přenocování (v tis.),Domácí,12708.460125
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,U příbuzných a známých,Počet přenocování (v tis.),Zahraniční,747.32754791
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,U příbuzných a známých,Náklady (mil. Kč),Domácí,8239.4060881
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,U příbuzných a známých,Náklady (mil. Kč),Zahraniční,763.07622158
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jiné zařízení,Počet cest (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jiné zařízení,Počet cest (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jiné zařízení,Počet přenocování (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jiné zařízení,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jiné zařízení,Náklady (mil. Kč),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jiné zařízení,Náklady (mil. Kč),Zahraniční,
Česko,2023,Služební cesty,Hotely a penziony,Počet cest (v tis.),Domácí,535.12641862
Česko,2023,Služební cesty,Hotely a penziony,Počet cest (v tis.),Zahraniční,325.21814369
Česko,2023,Služební cesty,Hotely a penziony,Počet přenocování (v tis.),Domácí,829.50377221
Česko,2023,Služební cesty,Hotely a penziony,Počet přenocování (v tis.),Zahraniční,929.06866975
Česko,2023,Služební cesty,Hotely a penziony,Náklady (mil. Kč),Domácí,2077.0985317
Česko,2023,Služební cesty,Hotely a penziony,Náklady (mil. Kč),Zahraniční,6413.946609
Česko,2023,Služební cesty,Kemp,Počet cest (v tis.),Domácí,
