Ukazatel;Území;Roky;Věk otce (pětileté skupiny);Věk matky (pětileté skupiny);value
Živě narození;Česko;2023;Celkem;Celkem;91149
Živě narození;Česko;2023;Celkem;do 19;1724
Živě narození;Česko;2023;Celkem;20 - 24;9558
Živě narození;Česko;2023;Celkem;25 - 29;25965
Živě narození;Česko;2023;Celkem;30 - 34;32963
Živě narození;Česko;2023;Celkem;35 - 39;16701
Živě narození;Česko;2023;Celkem;40 - 44;3871
Živě narození;Česko;2023;Celkem;45 - 49;355
Živě narození;Česko;2023;Celkem;50 a více;12
Živě narození;Česko;2023;do 19;Celkem;285
Živě narození;Česko;2023;do 19;do 19;177
Živě narození;Česko;2023;do 19;20 - 24;95
Živě narození;Česko;2023;do 19;25 - 29;10
Živě narození;Česko;2023;do 19;30 - 34;1
Živě narození;Česko;2023;do 19;35 - 39;2
Živě narození;Česko;2023;do 19;40 - 44;0
Živě narození;Česko;2023;do 19;45 - 49;0
Živě narození;Česko;2023;do 19;50 a více;0
Živě narození;Česko;2023;20 - 24;Celkem;3659
Živě narození;Česko;2023;20 - 24;do 19;445
Živě narození;Česko;2023;20 - 24;20 - 24;2266
Živě narození;Česko;2023;20 - 24;25 - 29;701
Živě narození;Česko;2023;20 - 24;30 - 34;183
Živě narození;Česko;2023;20 - 24;35 - 39;58
Živě narození;Česko;2023;20 - 24;40 - 44;6
Živě narození;Česko;2023;20 - 24;45 - 49;0
Živě narození;Česko;2023;20 - 24;50 a více;0
Živě narození;Česko;2023;25 - 29;Celkem;16498
Živě narození;Česko;2023;25 - 29;do 19;196
Živě narození;Česko;2023;25 - 29;20 - 24;3497
Živě narození;Česko;2023;25 - 29;25 - 29;9430
Živě narození;Česko;2023;25 - 29;30 - 34;2779
Živě narození;Česko;2023;25 - 29;35 - 39;516
Živě narození;Česko;2023;25 - 29;40 - 44;77
Živě narození;Česko;2023;25 - 29;45 - 49;3
Živě narození;Česko;2023;25 - 29;50 a více;0
Živě narození;Česko;2023;30 - 34;Celkem;29674
Živě narození;Česko;2023;30 - 34;do 19;75
Živě narození;Česko;2023;30 - 34;20 - 24;1579
Živě narození;Česko;2023;30 - 34;25 - 29;10006
Živě narození;Česko;2023;30 - 34;30 - 34;14977
Živě narození;Česko;2023;30 - 34;35 - 39;2717
Živě narození;Česko;2023;30 - 34;40 - 44;302
Živě narození;Česko;2023;30 - 34;45 - 49;18
Živě narození;Česko;2023;30 - 34;50 a více;0
Živě narození;Česko;2023;35 - 39;Celkem;20606
Živě narození;Česko;2023;35 - 39;do 19;30
Živě narození;Česko;2023;35 - 39;20 - 24;480
Živě narození;Česko;2023;35 - 39;25 - 29;3107
Živě narození;Česko;2023;35 - 39;30 - 34;9568
Živě narození;Česko;2023;35 - 39;35 - 39;6676
Živě narození;Česko;2023;35 - 39;40 - 44;703
Živě narození;Česko;2023;35 - 39;45 - 49;42
Živě narození;Česko;2023;35 - 39;50 a více;0
Živě narození;Česko;2023;40 - 44;Celkem;9344
Živě narození;Česko;2023;40 - 44;do 19;12
Živě narození;Česko;2023;40 - 44;20 - 24;159
Živě narození;Česko;2023;40 - 44;25 - 29;897
Živě narození;Česko;2023;40 - 44;30 - 34;2872
Živě narození;Česko;2023;40 - 44;35 - 39;3957
Živě narození;Česko;2023;40 - 44;40 - 44;1376
Živě narození;Česko;2023;40 - 44;45 - 49;68
Živě narození;Česko;2023;40 - 44;50 a více;3
Živě narození;Česko;2023;45 - 49;Celkem;3699
Živě narození;Česko;2023;45 - 49;do 19;5
Živě narození;Česko;2023;45 - 49;20 - 24;84
Živě narození;Česko;2023;45 - 49;25 - 29;359
Živě narození;Česko;2023;45 - 49;30 - 34;958
Živě narození;Česko;2023;45 - 49;35 - 39;1394
Živě narození;Česko;2023;45 - 49;40 - 44;779
Živě narození;Česko;2023;45 - 49;45 - 49;120
Živě narození;Česko;2023;45 - 49;50 a více;0
Živě narození;Česko;2023;50 - 54;Celkem;984
Živě narození;Česko;2023;50 - 54;do 19;0
Živě narození;Česko;2023;50 - 54;20 - 24;32
Živě narození;Česko;2023;50 - 54;25 - 29;90
Živě narození;Česko;2023;50 - 54;30 - 34;247
Živě narození;Česko;2023;50 - 54;35 - 39;359
Živě narození;Česko;2023;50 - 54;40 - 44;218
Živě narození;Česko;2023;50 - 54;45 - 49;35
Živě narození;Česko;2023;50 - 54;50 a více;3
Živě narození;Česko;2023;55 - 59;Celkem;270
Živě narození;Česko;2023;55 - 59;do 19;2
Živě narození;Česko;2023;55 - 59;20 - 24;5
Živě narození;Česko;2023;55 - 59;25 - 29;29
Živě narození;Česko;2023;55 - 59;30 - 34;65
Živě narození;Česko;2023;55 - 59;35 - 39;95
Živě narození;Česko;2023;55 - 59;40 - 44;59
Živě narození;Česko;2023;55 - 59;45 - 49;13
Živě narození;Česko;2023;55 - 59;50 a více;2
Živě narození;Česko;2023;60 a více;Celkem;110
Živě narození;Česko;2023;60 a více;do 19;0
Živě narození;Česko;2023;60 a více;20 - 24;5
Živě narození;Česko;2023;60 a více;25 - 29;11
Živě narození;Česko;2023;60 a více;30 - 34;23
Živě narození;Česko;2023;60 a více;35 - 39;34
Živě narození;Česko;2023;60 a více;40 - 44;26
Živě narození;Česko;2023;60 a více;45 - 49;11
Živě narození;Česko;2023;60 a více;50 a více;0
Živě narození;Česko;2023;Nezjištěno;Celkem;6020
Živě narození;Česko;2023;Nezjištěno;do 19;782
Živě narození;Česko;2023;Nezjištěno;20 - 24;1356
Živě narození;Česko;2023;Nezjištěno;25 - 29;1325
Živě narození;Česko;2023;Nezjištěno;30 - 34;1290
Živě narození;Česko;2023;Nezjištěno;35 - 39;893
Živě narození;Česko;2023;Nezjištěno;40 - 44;325
Živě narození;Česko;2023;Nezjištěno;45 - 49;45
Živě narození;Česko;2023;Nezjištěno;50 a více;4
