Roky;ČR, kraje;Ukazatel;value
2024;Česko;Živě narození na 1 000 obyvatel;7.7445239443
2024;Česko;Zemřelí na 1 000 obyvatel;10.307323793
2024;Česko;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.5627998487
2024;Česko;Přistěhovalí na 1 000 obyvatel;11.1902496764
2024;Česko;Vystěhovalí na 1 000 obyvatel;7.8057923135
2024;Česko;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.384457363
2024;Česko;Celkový přírůstek/úbytek na 1 000 obyvatel;0.8216575142
2024;Česko;Sňatky na 1 000 obyvatel;4.0863338377
2024;Česko;Rozvody na 1 000 obyvatel;1.9102503819
2024;Česko;Novorozenecká úmrtnost;1.5774928538
2024;Česko;Kojenecká úmrtnost;2.3247263109
2024;Hlavní město Praha;Živě narození na 1 000 obyvatel;8.7108265086
2024;Hlavní město Praha;Zemřelí na 1 000 obyvatel;8.4996331145
2024;Hlavní město Praha;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.211193394
2024;Hlavní město Praha;Přistěhovalí na 1 000 obyvatel;45.18601597
2024;Hlavní město Praha;Vystěhovalí na 1 000 obyvatel;35.920176105
2024;Hlavní město Praha;Přírůstek/úbytek stěhováním na 1 000 obyvatel;9.265839865
2024;Hlavní město Praha;Celkový přírůstek/úbytek na 1 000 obyvatel;9.477033259
2024;Hlavní město Praha;Sňatky na 1 000 obyvatel;4.4610099513
2024;Hlavní město Praha;Rozvody na 1 000 obyvatel;1.7154958288
2024;Hlavní město Praha;Novorozenecká úmrtnost;0.7447248655
2024;Hlavní město Praha;Kojenecká úmrtnost;1.4894497311
2024;Středočeský kraj;Živě narození na 1 000 obyvatel;7.5231651965
2024;Středočeský kraj;Zemřelí na 1 000 obyvatel;9.4229682281
2024;Středočeský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.8998030316
2024;Středočeský kraj;Přistěhovalí na 1 000 obyvatel;30.4948188747
2024;Středočeský kraj;Vystěhovalí na 1 000 obyvatel;21.5555365248
2024;Středočeský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;8.9392823499
2024;Středočeský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;7.0394793183
2024;Středočeský kraj;Sňatky na 1 000 obyvatel;3.8763381005
2024;Středočeský kraj;Rozvody na 1 000 obyvatel;2.018326625
2024;Středočeský kraj;Novorozenecká úmrtnost;0.910663874
2024;Středočeský kraj;Kojenecká úmrtnost;1.6391949731
2024;Jihočeský kraj;Živě narození na 1 000 obyvatel;7.7811121999
2024;Jihočeský kraj;Zemřelí na 1 000 obyvatel;10.6228564429
2024;Jihočeský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.841744243
2024;Jihočeský kraj;Přistěhovalí na 1 000 obyvatel;15.0860485056
2024;Jihočeský kraj;Vystěhovalí na 1 000 obyvatel;14.2010656541
2024;Jihočeský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;0.8849828515
2024;Jihočeský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;-1.9567613915
2024;Jihočeský kraj;Sňatky na 1 000 obyvatel;4.1095051445
2024;Jihočeský kraj;Rozvody na 1 000 obyvatel;1.9445124939
2024;Jihočeský kraj;Novorozenecká úmrtnost;1.7709563164
2024;Jihočeský kraj;Kojenecká úmrtnost;2.5580480126
2024;Plzeňský kraj;Živě narození na 1 000 obyvatel;7.4705567846
2024;Plzeňský kraj;Zemřelí na 1 000 obyvatel;10.2288910581
2024;Plzeňský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.7583342735
2024;Plzeňský kraj;Přistěhovalí na 1 000 obyvatel;26.6137563542
2024;Plzeňský kraj;Vystěhovalí na 1 000 obyvatel;21.7854450859
2024;Plzeňský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.8283112683
2024;Plzeňský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;2.0699769948
2024;Plzeňský kraj;Sňatky na 1 000 obyvatel;4.1873705242
2024;Plzeňský kraj;Rozvody na 1 000 obyvatel;2.0094800368
2024;Plzeňský kraj;Novorozenecká úmrtnost;1.9697964544
2024;Plzeňský kraj;Kojenecká úmrtnost;2.1886627271
2024;Karlovarský kraj;Živě narození na 1 000 obyvatel;6.1852365836
2024;Karlovarský kraj;Zemřelí na 1 000 obyvatel;11.5964661636
2024;Karlovarský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-5.41122958
2024;Karlovarský kraj;Přistěhovalí na 1 000 obyvatel;22.2552586445
2024;Karlovarský kraj;Vystěhovalí na 1 000 obyvatel;23.2611267769
2024;Karlovarský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;-1.0058681324
2024;Karlovarský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;-6.4170977124
2024;Karlovarský kraj;Sňatky na 1 000 obyvatel;4.1257642041
