Ukazatel;Území;Druh dopravy;Roky;value
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2001;59537.495
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2002;63206.035
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2003;64795.678
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2004;63458.701
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2005;61397.352
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2006;69303.984
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2007;67463.05
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2008;69528.526
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2009;60571.406
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2010;68494.992
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2011;71816.771
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2012;68087.058
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2013;71508.608
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2014;71420.803
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2015;76613.451
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2016;68172.316
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2017;62935.771
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2018;60327.419
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2019;57888.123
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2020;73528.912
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2021;82492.876
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2022;84784.291
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Nákladní doprava celkem;2023;82432.859
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2001;16882.0
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2002;15810.393
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2003;15861.793
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2004;15092.065
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2005;14866.016
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2006;15778.52
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2007;16304.01
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2008;15437.148
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2009;12791.449
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2010;13770.362
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2011;14315.812
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2012;14266.23
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2013;13964.92
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2014;14574.65
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2015;15261.102
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2016;15618.69
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2017;15842.778
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2018;16564.19
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2019;16179.68
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2020;15250.611
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2021;16326.011
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2022;16367.571
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Železniční doprava;2023;15038.162
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2001;40260.442
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2002;45059.448
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2003;46563.97
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2004;46010.074
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2005;43446.949
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2006;50368.798
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2007;48141.273
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2008;50876.966
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2009;44954.585
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2010;51832.083
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2011;54830.259
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2012;51227.694
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2013;54892.866
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2014;54092.107
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2015;58713.667
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2016;50314.701
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2017;44273.668
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2018;41072.794
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2019;39059.32
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2020;56089.546
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2021;63756.411
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2022;65794.464
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Silniční doprava;2023;64805.545
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2001;704.941
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2002;587.323
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2003;508.661
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2004;408.528
