Rok sčítání;Území;Ukazatel;Pohlaví;value
2021;Česká republika;Zaměstnaní vč. pracujících žáků a studentů;Celkem;5290071
2021;Česká republika;Zaměstnaní vč. pracujících žáků a studentů;Ženy;2405652
2021;Česká republika;Zaměstnaní vč. pracujících žáků a studentů;Muži;2884419
2021;Česká republika;Místo pracoviště - na adrese obvyklého pobytu;Celkem;1011538
2021;Česká republika;Místo pracoviště - na adrese obvyklého pobytu;Ženy;490154
2021;Česká republika;Místo pracoviště - na adrese obvyklého pobytu;Muži;521384
2021;Česká republika;Místo pracoviště - na jiné adrese v obci;Celkem;1539021
2021;Česká republika;Místo pracoviště - na jiné adrese v obci;Ženy;828771
2021;Česká republika;Místo pracoviště - na jiné adrese v obci;Muži;710250
2021;Česká republika;Místo pracoviště - v jiné obci okresu;Celkem;1110573
2021;Česká republika;Místo pracoviště - v jiné obci okresu;Ženy;538845
2021;Česká republika;Místo pracoviště - v jiné obci okresu;Muži;571728
2021;Česká republika;Místo pracoviště - v jiném okrese kraje;Celkem;486879
2021;Česká republika;Místo pracoviště - v jiném okrese kraje;Ženy;203950
2021;Česká republika;Místo pracoviště - v jiném okrese kraje;Muži;282929
2021;Česká republika;Místo pracoviště - v jiném kraji;Celkem;431973
2021;Česká republika;Místo pracoviště - v jiném kraji;Ženy;173442
2021;Česká republika;Místo pracoviště - v jiném kraji;Muži;258531
2021;Česká republika;Místo pracoviště - v zahraničí;Celkem;74198
2021;Česká republika;Místo pracoviště - v zahraničí;Ženy;20904
2021;Česká republika;Místo pracoviště - v zahraničí;Muži;53294
2021;Česká republika;Nepracující žáci a studenti;Celkem;1465320
2021;Česká republika;Nepracující žáci a studenti;Ženy;725693
2021;Česká republika;Nepracující žáci a studenti;Muži;739627
2021;Česká republika;Místo školy - na jiné adrese v obci;Celkem;871068
2021;Česká republika;Místo školy - na jiné adrese v obci;Ženy;427809
2021;Česká republika;Místo školy - na jiné adrese v obci;Muži;443259
2021;Česká republika;Místo školy - mimo obec;Celkem;559831
2021;Česká republika;Místo školy - mimo obec;Ženy;282065
2021;Česká republika;Místo školy - mimo obec;Muži;277766
