Ukazatel;Území;Odvětví CZ-NACE;Roky;value
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2005;
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2006;
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2007;
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2008;696188078.733428
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2009;684491796.865045
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2010;711413538.998848
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2011;719426682.393405
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2012;726071978.37408
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2013;730650702.745933
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2014;777287891.166834
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2015;837026298.026962
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2016;873479679.359882
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2017;943683928.212237
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2018;1011561147.71504
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2019;1093587125.36466
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2020;1039260921.5531
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2021;1149528412.90943
Přidaná hodnota (tis. Kč);Česko;Služby celkem;2022;1299109156.62709
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2005;
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2006;
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2007;
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2008;129064202.991776
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2009;120345824.971801
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2010;134884095.507507
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2011;132130456.644709
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2012;129604538.326106
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2013;128981329.783289
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2014;139031592.16862
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2015;153573686.080367
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2016;158536633.453451
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2017;166685001.219288
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2018;175017878.182029
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2019;180929722.072471
