Roky,Území,Ukazatel,value
2023,Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",7659655.0
2023,Česko,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",700358.0
2023,Česko,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",100.0
2023,Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2140174.0
2023,Česko,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",191196.0
2023,Česko,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Česko,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Hlavní město Praha,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2052203.0
2023,Hlavní město Praha,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Hlavní město Praha,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1493235.0
2023,Hlavní město Praha,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",97.7
2023,Hlavní město Praha,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",575813.0
2023,Hlavní město Praha,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",418976.0
2023,Hlavní město Praha,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Hlavní město Praha,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Středočeský kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",906322.0
2023,Středočeský kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Středočeský kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",624886.0
2023,Středočeský kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",101.4
2023,Středočeský kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",293210.0
2023,Středočeský kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",202161.0
2023,Středočeský kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Středočeský kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Jihočeský kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",387761.0
2023,Jihočeský kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Jihočeský kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",592836.0
2023,Jihočeský kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",99.9
2023,Jihočeský kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",96527.0
2023,Jihočeský kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",147577.0
2023,Jihočeský kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Jihočeský kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Plzeňský kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",367276.0
2023,Plzeňský kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Plzeňský kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",601946.0
2023,Plzeňský kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",102.3
2023,Plzeňský kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",93484.0
2023,Plzeňský kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",153215.0
2023,Plzeňský kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Plzeňský kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Karlovarský kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",125249.0
2023,Karlovarský kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Karlovarský kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",424625.0
2023,Karlovarský kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",101.3
2023,Karlovarský kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",38959.0
2023,Karlovarský kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",132081.0
2023,Karlovarský kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Karlovarský kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Ústecký kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",419061.0
2023,Ústecký kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Ústecký kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",515592.0
2023,Ústecký kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",98.2
2023,Ústecký kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",123381.0
2023,Ústecký kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",151802.0
2023,Ústecký kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Ústecký kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Liberecký kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",229722.0
2023,Liberecký kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Liberecký kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",509983.0
2023,Liberecký kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",102.7
2023,Liberecký kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",56831.0
2023,Liberecký kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",126165.0
2023,Liberecký kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Liberecký kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Královéhradecký kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",342089.0
2023,Královéhradecký kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Královéhradecký kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",614568.0
2023,Královéhradecký kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",103.4
2023,Královéhradecký kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",78708.0
2023,Královéhradecký kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",141400.0
2023,Královéhradecký kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Královéhradecký kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Pardubický kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",303239.0
2023,Pardubický kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Pardubický kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",571892.0
2023,Pardubický kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",101.6
2023,Pardubický kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",85313.0
2023,Pardubický kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",160896.0
2023,Pardubický kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Pardubický kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Kraj Vysočina,"Hrubý domácí produkt (mil. Kč, běžné ceny)",313462.0
2023,Kraj Vysočina,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Kraj Vysočina,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",606287.0
2023,Kraj Vysočina,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",103.0
2023,Kraj Vysočina,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",75759.0
2023,Kraj Vysočina,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",146530.0
2023,Kraj Vysočina,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Kraj Vysočina,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Jihomoravský kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",830223.0
2023,Jihomoravský kraj,"Hrubý domácí produkt - struktura (%, ČR=100)",
2023,Jihomoravský kraj,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",678773.0
2023,Jihomoravský kraj,"Meziroční nárůst (pokles) HDP (%, srovnatelné ceny)",100.1
2023,Jihomoravský kraj,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",202566.0
2023,Jihomoravský kraj,"Tvorba hrubého fixního kapitálu na 1 obyvatele (Kč, běžné ceny) ",165614.0
2023,Jihomoravský kraj,"Čistý disponibilní důchod domácností (mil. Kč, běžné ceny)",
2023,Jihomoravský kraj,"Čistý disponibilní důchod domácností na 1 obyvatele (Kč, běžné ceny)",
2023,Olomoucký kraj,"Hrubý domácí produkt (mil. Kč, běžné ceny)",347640.0
