Území;Ukazatel;Roky;Rezidence;value
Česko;Počet hostů;2012;Rezidenti;7451773
Česko;Počet hostů;2012;Nerezidenti;7647044
Česko;Počet hostů;2013;Rezidenti;7555806
Česko;Počet hostů;2013;Nerezidenti;7851865
Česko;Počet hostů;2014;Rezidenti;7491191
Česko;Počet hostů;2014;Nerezidenti;8095885
Česko;Počet hostů;2015;Rezidenti;8488637
Česko;Počet hostů;2015;Nerezidenti;8706913
Česko;Počet hostů;2016;Rezidenti;9067413
Česko;Počet hostů;2016;Nerezidenti;9321440
Česko;Počet hostů;2017;Rezidenti;9840093
Česko;Počet hostů;2017;Nerezidenti;10160468
Česko;Počet hostů;2018;Rezidenti;10635756
Česko;Počet hostů;2018;Nerezidenti;10611394
Česko;Počet hostů;2019;Rezidenti;11107866
Česko;Počet hostů;2019;Nerezidenti;10890500
Česko;Počet hostů;2020;Rezidenti;8052274
Česko;Počet hostů;2020;Nerezidenti;2784170
Česko;Počet hostů;2021;Rezidenti;8813943
Česko;Počet hostů;2021;Nerezidenti;2569658
Česko;Počet hostů;2022;Rezidenti;12080764
Česko;Počet hostů;2022;Nerezidenti;7343400
Česko;Počet hostů;2023;Rezidenti;12418741
Česko;Počet hostů;2023;Nerezidenti;9558930
Česko;Počet hostů;2024;Rezidenti;12332067
Česko;Počet hostů;2024;Nerezidenti;10477528
