Území,Ukazatel,Kategorie ubytovacího zařízení,Roky,value
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2020,159
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2019,105
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2018,109
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2017,111
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2016,117
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2015,127
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2014,120
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2013,125
Česko,Počet hromadných ubytovacích zařízení,Hotel garni,2012,126
Česko,Počet hromadných ubytovacích zařízení,Penzion,2024,4255
Česko,Počet hromadných ubytovacích zařízení,Penzion,2023,4373
Česko,Počet hromadných ubytovacích zařízení,Penzion,2022,4555
Česko,Počet hromadných ubytovacích zařízení,Penzion,2021,4736
Česko,Počet hromadných ubytovacích zařízení,Penzion,2020,4527
Česko,Počet hromadných ubytovacích zařízení,Penzion,2019,3610
Česko,Počet hromadných ubytovacích zařízení,Penzion,2018,3624
Česko,Počet hromadných ubytovacích zařízení,Penzion,2017,3427
Česko,Počet hromadných ubytovacích zařízení,Penzion,2016,3450
Česko,Počet hromadných ubytovacích zařízení,Penzion,2015,3406
Česko,Počet hromadných ubytovacích zařízení,Penzion,2014,3351
Česko,Počet hromadných ubytovacích zařízení,Penzion,2013,3715
Česko,Počet hromadných ubytovacích zařízení,Penzion,2012,3768
Česko,Počet hromadných ubytovacích zařízení,Kemp,2024,569
Česko,Počet hromadných ubytovacích zařízení,Kemp,2023,572
Česko,Počet hromadných ubytovacích zařízení,Kemp,2022,579
Česko,Počet hromadných ubytovacích zařízení,Kemp,2021,580
Česko,Počet hromadných ubytovacích zařízení,Kemp,2020,581
Česko,Počet hromadných ubytovacích zařízení,Kemp,2019,567
Česko,Počet hromadných ubytovacích zařízení,Kemp,2018,566
Česko,Počet hromadných ubytovacích zařízení,Kemp,2017,515
Česko,Počet hromadných ubytovacích zařízení,Kemp,2016,510
Česko,Počet hromadných ubytovacích zařízení,Kemp,2015,516
Česko,Počet hromadných ubytovacích zařízení,Kemp,2014,513
Česko,Počet hromadných ubytovacích zařízení,Kemp,2013,506
Česko,Počet hromadných ubytovacích zařízení,Kemp,2012,514
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2024,286
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2023,291
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2022,305
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2021,321
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2020,314
