Kategorie ubytovacího zařízení,Roky,Správní obvody hl. města Prahy,Ukazatel,value
HUZ celkem,2023,Praha 1,Počet hromadných ubytovacích zařízení,309.0
HUZ celkem,2023,Praha 1,Počet pokojů v hromadných ubytovacích zařízeních,14893.0
HUZ celkem,2023,Praha 1,Počet lůžek v hromadných ubytovacích zařízeních,32792.0
HUZ celkem,2023,Praha 1,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,50.0
HUZ celkem,2023,Praha 2,Počet hromadných ubytovacích zařízení,97.0
HUZ celkem,2023,Praha 2,Počet pokojů v hromadných ubytovacích zařízeních,4287.0
HUZ celkem,2023,Praha 2,Počet lůžek v hromadných ubytovacích zařízeních,9420.0
HUZ celkem,2023,Praha 2,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 3,Počet hromadných ubytovacích zařízení,52.0
HUZ celkem,2023,Praha 3,Počet pokojů v hromadných ubytovacích zařízeních,2857.0
HUZ celkem,2023,Praha 3,Počet lůžek v hromadných ubytovacích zařízeních,6583.0
HUZ celkem,2023,Praha 3,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,51.0
HUZ celkem,2023,Praha 4,Počet hromadných ubytovacích zařízení,56.0
HUZ celkem,2023,Praha 4,Počet pokojů v hromadných ubytovacích zařízeních,3518.0
HUZ celkem,2023,Praha 4,Počet lůžek v hromadných ubytovacích zařízeních,6842.0
HUZ celkem,2023,Praha 4,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 5,Počet hromadných ubytovacích zařízení,64.0
HUZ celkem,2023,Praha 5,Počet pokojů v hromadných ubytovacích zařízeních,3324.0
HUZ celkem,2023,Praha 5,Počet lůžek v hromadných ubytovacích zařízeních,7184.0
HUZ celkem,2023,Praha 5,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,80.0
HUZ celkem,2023,Praha 6,Počet hromadných ubytovacích zařízení,59.0
HUZ celkem,2023,Praha 6,Počet pokojů v hromadných ubytovacích zařízeních,3706.0
HUZ celkem,2023,Praha 6,Počet lůžek v hromadných ubytovacích zařízeních,7695.0
HUZ celkem,2023,Praha 6,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,320.0
HUZ celkem,2023,Praha 7,Počet hromadných ubytovacích zařízení,33.0
HUZ celkem,2023,Praha 7,Počet pokojů v hromadných ubytovacích zařízeních,1166.0
HUZ celkem,2023,Praha 7,Počet lůžek v hromadných ubytovacích zařízeních,2890.0
HUZ celkem,2023,Praha 7,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,286.0
HUZ celkem,2023,Praha 8,Počet hromadných ubytovacích zařízení,50.0
HUZ celkem,2023,Praha 8,Počet pokojů v hromadných ubytovacích zařízeních,3710.0
HUZ celkem,2023,Praha 8,Počet lůžek v hromadných ubytovacích zařízeních,7597.0
HUZ celkem,2023,Praha 8,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,105.0
HUZ celkem,2023,Praha 9,Počet hromadných ubytovacích zařízení,14.0
HUZ celkem,2023,Praha 9,Počet pokojů v hromadných ubytovacích zařízeních,2141.0
HUZ celkem,2023,Praha 9,Počet lůžek v hromadných ubytovacích zařízeních,4460.0
HUZ celkem,2023,Praha 9,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 10,Počet hromadných ubytovacích zařízení,24.0
HUZ celkem,2023,Praha 10,Počet pokojů v hromadných ubytovacích zařízeních,1839.0
HUZ celkem,2023,Praha 10,Počet lůžek v hromadných ubytovacích zařízeních,4581.0
HUZ celkem,2023,Praha 10,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 11,Počet hromadných ubytovacích zařízení,11.0
HUZ celkem,2023,Praha 11,Počet pokojů v hromadných ubytovacích zařízeních,1018.0
HUZ celkem,2023,Praha 11,Počet lůžek v hromadných ubytovacích zařízeních,2164.0
HUZ celkem,2023,Praha 11,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 12,Počet hromadných ubytovacích zařízení,5.0
HUZ celkem,2023,Praha 12,Počet pokojů v hromadných ubytovacích zařízeních,327.0
HUZ celkem,2023,Praha 12,Počet lůžek v hromadných ubytovacích zařízeních,670.0
HUZ celkem,2023,Praha 12,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 13,Počet hromadných ubytovacích zařízení,9.0
HUZ celkem,2023,Praha 13,Počet pokojů v hromadných ubytovacích zařízeních,206.0
HUZ celkem,2023,Praha 13,Počet lůžek v hromadných ubytovacích zařízeních,481.0
HUZ celkem,2023,Praha 13,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,65.0
HUZ celkem,2023,Praha 14,Počet hromadných ubytovacích zařízení,15.0
HUZ celkem,2023,Praha 14,Počet pokojů v hromadných ubytovacích zařízeních,259.0
HUZ celkem,2023,Praha 14,Počet lůžek v hromadných ubytovacích zařízeních,618.0
HUZ celkem,2023,Praha 14,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,70.0
HUZ celkem,2023,Praha 15,Počet hromadných ubytovacích zařízení,10.0
HUZ celkem,2023,Praha 15,Počet pokojů v hromadných ubytovacích zařízeních,235.0
HUZ celkem,2023,Praha 15,Počet lůžek v hromadných ubytovacích zařízeních,570.0
HUZ celkem,2023,Praha 15,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 16,Počet hromadných ubytovacích zařízení,8.0
HUZ celkem,2023,Praha 16,Počet pokojů v hromadných ubytovacích zařízeních,124.0
HUZ celkem,2023,Praha 16,Počet lůžek v hromadných ubytovacích zařízeních,260.0
HUZ celkem,2023,Praha 16,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 17,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Praha 17,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 17,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 17,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 18,Počet hromadných ubytovacích zařízení,6.0
HUZ celkem,2023,Praha 18,Počet pokojů v hromadných ubytovacích zařízeních,223.0
HUZ celkem,2023,Praha 18,Počet lůžek v hromadných ubytovacích zařízeních,502.0
HUZ celkem,2023,Praha 18,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 19,Počet hromadných ubytovacích zařízení,6.0
HUZ celkem,2023,Praha 19,Počet pokojů v hromadných ubytovacích zařízeních,105.0
HUZ celkem,2023,Praha 19,Počet lůžek v hromadných ubytovacích zařízeních,240.0
HUZ celkem,2023,Praha 19,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,15.0
HUZ celkem,2023,Praha 20,Počet hromadných ubytovacích zařízení,4.0
HUZ celkem,2023,Praha 20,Počet pokojů v hromadných ubytovacích zařízeních,106.0
HUZ celkem,2023,Praha 20,Počet lůžek v hromadných ubytovacích zařízeních,236.0
HUZ celkem,2023,Praha 20,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 21,Počet hromadných ubytovacích zařízení,4.0
HUZ celkem,2023,Praha 21,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 21,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 21,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 22,Počet hromadných ubytovacích zařízení,7.0
HUZ celkem,2023,Praha 22,Počet pokojů v hromadných ubytovacích zařízeních,96.0
HUZ celkem,2023,Praha 22,Počet lůžek v hromadných ubytovacích zařízeních,205.0
HUZ celkem,2023,Praha 22,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
