Ukazatel;ČR, Reg. soudržnosti, Kraje;Roky;value
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihovýchod;2023;657236
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2015;353723
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2016;368849
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2017;397167
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2018;414888
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2019;447740
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2020;449757
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2021;481453
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2022;522647
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Morava;2023;565848
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2015;360044
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2016;375249
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2017;395873
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2018;421679
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2019;434026
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2020;423357
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2021;465235
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2022;512448
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezsko;2023;550454
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2015;973579
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2016;1015050
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2017;1074559
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2018;1151535
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2019;1233311
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2020;1224523
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2021;1349553
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2022;1458395
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Hlavní město Praha;2023;1493235
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2015;406040
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2016;430508
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2017;460839
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2018;475265
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2019;526230
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2020;502743
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2021;540504
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2022;584179
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Středočeský kraj;2023;624886
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2015;357757
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2016;368655
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2017;399517
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2018;419497
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2019;450785
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2020;455587
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2021;486520
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2022;540088
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihočeský kraj;2023;592836
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2015;404922
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2016;420622
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2017;448459
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2018;468812
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2019;491312
