Území,Roky,Klasifikace zaměstnání (CZISCO),Ukazatel,Pohlaví,value
Česko,2024,Celkem,Průměrná hrubá měsíční mzda (Kč),Celkem,48936
Česko,2024,Celkem,Průměrná hrubá měsíční mzda (Kč),Ženy,43741
Česko,2024,Celkem,Průměrná hrubá měsíční mzda (Kč),Muži,53423
Česko,2024,Celkem,Medián měsíčních mezd (Kč),Celkem,41742
Česko,2024,Celkem,Medián měsíčních mezd (Kč),Ženy,38676
Česko,2024,Celkem,Medián měsíčních mezd (Kč),Muži,44740
Česko,2024,Zákonodárci a řídící pracovníci,Průměrná hrubá měsíční mzda (Kč),Celkem,108009
Česko,2024,Zákonodárci a řídící pracovníci,Průměrná hrubá měsíční mzda (Kč),Ženy,86802
Česko,2024,Zákonodárci a řídící pracovníci,Průměrná hrubá měsíční mzda (Kč),Muži,119371
Česko,2024,Zákonodárci a řídící pracovníci,Medián měsíčních mezd (Kč),Celkem,83140
Česko,2024,Zákonodárci a řídící pracovníci,Medián měsíčních mezd (Kč),Ženy,71223
Česko,2024,Zákonodárci a řídící pracovníci,Medián měsíčních mezd (Kč),Muži,92408
Česko,2024,Specialisté,Průměrná hrubá měsíční mzda (Kč),Celkem,70816
Česko,2024,Specialisté,Průměrná hrubá měsíční mzda (Kč),Ženy,60606
Česko,2024,Specialisté,Průměrná hrubá měsíční mzda (Kč),Muži,82259
Česko,2024,Specialisté,Medián měsíčních mezd (Kč),Celkem,57976
Česko,2024,Specialisté,Medián měsíčních mezd (Kč),Ženy,52577
Česko,2024,Specialisté,Medián měsíčních mezd (Kč),Muži,69337
Česko,2024,Techničtí a odborní pracovníci,Průměrná hrubá měsíční mzda (Kč),Celkem,52135
Česko,2024,Techničtí a odborní pracovníci,Průměrná hrubá měsíční mzda (Kč),Ženy,48277
Česko,2024,Techničtí a odborní pracovníci,Průměrná hrubá měsíční mzda (Kč),Muži,55935
Česko,2024,Techničtí a odborní pracovníci,Medián měsíčních mezd (Kč),Celkem,47638
Česko,2024,Techničtí a odborní pracovníci,Medián měsíčních mezd (Kč),Ženy,44950
Česko,2024,Techničtí a odborní pracovníci,Medián měsíčních mezd (Kč),Muži,51043
Česko,2024,Úředníci,Průměrná hrubá měsíční mzda (Kč),Celkem,38958
Česko,2024,Úředníci,Průměrná hrubá měsíční mzda (Kč),Ženy,37253
Česko,2024,Úředníci,Průměrná hrubá měsíční mzda (Kč),Muži,44111
Česko,2024,Úředníci,Medián měsíčních mezd (Kč),Celkem,36332
Česko,2024,Úředníci,Medián měsíčních mezd (Kč),Ženy,35241
Česko,2024,Úředníci,Medián měsíčních mezd (Kč),Muži,41092
Česko,2024,Pracovníci ve službách a prodeji,Průměrná hrubá měsíční mzda (Kč),Celkem,34148
Česko,2024,Pracovníci ve službách a prodeji,Průměrná hrubá měsíční mzda (Kč),Ženy,32359
Česko,2024,Pracovníci ve službách a prodeji,Průměrná hrubá měsíční mzda (Kč),Muži,37586
Česko,2024,Pracovníci ve službách a prodeji,Medián měsíčních mezd (Kč),Celkem,31679
Česko,2024,Pracovníci ve službách a prodeji,Medián měsíčních mezd (Kč),Ženy,31002
Česko,2024,Pracovníci ve službách a prodeji,Medián měsíčních mezd (Kč),Muži,34243
Česko,2024,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",Průměrná hrubá měsíční mzda (Kč),Celkem,35633
Česko,2024,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",Průměrná hrubá měsíční mzda (Kč),Ženy,33978
Česko,2024,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",Průměrná hrubá měsíční mzda (Kč),Muži,36852
Česko,2024,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",Medián měsíčních mezd (Kč),Celkem,34991
Česko,2024,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",Medián měsíčních mezd (Kč),Ženy,33612
Česko,2024,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",Medián měsíčních mezd (Kč),Muži,36028
Česko,2024,Řemeslníci a opraváři,Průměrná hrubá měsíční mzda (Kč),Celkem,41331
Česko,2024,Řemeslníci a opraváři,Průměrná hrubá měsíční mzda (Kč),Ženy,33719
Česko,2024,Řemeslníci a opraváři,Průměrná hrubá měsíční mzda (Kč),Muži,42460
Česko,2024,Řemeslníci a opraváři,Medián měsíčních mezd (Kč),Celkem,39606
Česko,2024,Řemeslníci a opraváři,Medián měsíčních mezd (Kč),Ženy,31979
Česko,2024,Řemeslníci a opraváři,Medián měsíčních mezd (Kč),Muži,40857
Česko,2024,"Obsluha strojů a zařízení, montéři",Průměrná hrubá měsíční mzda (Kč),Celkem,39478
Česko,2024,"Obsluha strojů a zařízení, montéři",Průměrná hrubá měsíční mzda (Kč),Ženy,35217
Česko,2024,"Obsluha strojů a zařízení, montéři",Průměrná hrubá měsíční mzda (Kč),Muži,41187
Česko,2024,"Obsluha strojů a zařízení, montéři",Medián měsíčních mezd (Kč),Celkem,37775
Česko,2024,"Obsluha strojů a zařízení, montéři",Medián měsíčních mezd (Kč),Ženy,33921
Česko,2024,"Obsluha strojů a zařízení, montéři",Medián měsíčních mezd (Kč),Muži,39785
Česko,2024,Pomocní a nekvalifikovaní pracovníci,Průměrná hrubá měsíční mzda (Kč),Celkem,28143
Česko,2024,Pomocní a nekvalifikovaní pracovníci,Průměrná hrubá měsíční mzda (Kč),Ženy,26599
Česko,2024,Pomocní a nekvalifikovaní pracovníci,Průměrná hrubá měsíční mzda (Kč),Muži,30009
