Území;Roky;Druh cesty ;Věk;Ukazatel;Cíl cesty;value
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet cest;Domácí;1414940.6186
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet cest;Zahraniční;236834.79941
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet přenocování;Domácí;2812807.9717
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet přenocování;Zahraniční;579949.72856
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Náklady (Kč);Domácí;2581568103.8
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Náklady (Kč);Zahraniční;1135469770.7
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet cest;Domácí;2509062.5899
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet cest;Zahraniční;410178.71881
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet přenocování;Domácí;5107561.3168
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet přenocování;Zahraniční;1014858.3963
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Náklady (Kč);Domácí;4797067282.2
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Náklady (Kč);Zahraniční;2783005506.3
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;35 až 45 let;Počet cest;Domácí;2585695.4669
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;35 až 45 let;Počet cest;Zahraniční;373246.08444
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;35 až 45 let;Počet přenocování;Domácí;5287990.202
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;35 až 45 let;Počet přenocování;Zahraniční;830315.47648
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;35 až 45 let;Náklady (Kč);Domácí;4384449672.3
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;35 až 45 let;Náklady (Kč);Zahraniční;1992588619.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;45 až 55 let;Počet cest;Domácí;2445391.9656
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;45 až 55 let;Počet cest;Zahraniční;374165.25183
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;45 až 55 let;Počet přenocování;Domácí;4870191.8315
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;45 až 55 let;Počet přenocování;Zahraniční;893070.65774
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;45 až 55 let;Náklady (Kč);Domácí;4646950986.1
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;45 až 55 let;Náklady (Kč);Zahraniční;2384374889.1
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;55 až 65 let;Počet cest;Domácí;1850564.8554
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;55 až 65 let;Počet cest;Zahraniční;215040.69828
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;55 až 65 let;Počet přenocování;Domácí;3696979.7531
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;55 až 65 let;Počet přenocování;Zahraniční;473558.10226
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;55 až 65 let;Náklady (Kč);Domácí;3718708021.5
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;55 až 65 let;Náklady (Kč);Zahraniční;1202366202.7
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;65 a více let ;Počet cest;Domácí;2035174.1025
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;65 a více let ;Počet cest;Zahraniční;144516.85448
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;65 a více let ;Počet přenocování;Domácí;3887498.7508
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;65 a více let ;Počet přenocování;Zahraniční;335711.57861
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;65 a více let ;Náklady (Kč);Domácí;3021182303.9
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;65 a více let ;Náklady (Kč);Zahraniční;846853232.93
Česko;2023;Služební cesty;Celkem;Počet cest;Domácí;617030.01506
Česko;2023;Služební cesty;Celkem;Počet cest;Zahraniční;416637.85332
Česko;2023;Služební cesty;Celkem;Počet přenocování;Domácí;1050526.2139
Česko;2023;Služební cesty;Celkem;Počet přenocování;Zahraniční;1294429.2664
Česko;2023;Služební cesty;Celkem;Náklady (Kč);Domácí;2307788434.7
Česko;2023;Služební cesty;Celkem;Náklady (Kč);Zahraniční;7065142329.8
Česko;2023;Služební cesty;15 až 25 let;Počet cest;Domácí;
Česko;2023;Služební cesty;15 až 25 let;Počet cest;Zahraniční;
Česko;2023;Služební cesty;15 až 25 let;Počet přenocování;Domácí;
Česko;2023;Služební cesty;15 až 25 let;Počet přenocování;Zahraniční;
Česko;2023;Služební cesty;15 až 25 let;Náklady (Kč);Domácí;
Česko;2023;Služební cesty;15 až 25 let;Náklady (Kč);Zahraniční;
Česko;2023;Služební cesty;25 až 35 let;Počet cest;Domácí;
Česko;2023;Služební cesty;25 až 35 let;Počet cest;Zahraniční;
Česko;2023;Služební cesty;25 až 35 let;Počet přenocování;Domácí;
Česko;2023;Služební cesty;25 až 35 let;Počet přenocování;Zahraniční;
Česko;2023;Služební cesty;25 až 35 let;Náklady (Kč);Domácí;
Česko;2023;Služební cesty;25 až 35 let;Náklady (Kč);Zahraniční;
Česko;2023;Služební cesty;35 až 45 let;Počet cest;Domácí;
Česko;2023;Služební cesty;35 až 45 let;Počet cest;Zahraniční;
Česko;2023;Služební cesty;35 až 45 let;Počet přenocování;Domácí;
Česko;2023;Služební cesty;35 až 45 let;Počet přenocování;Zahraniční;
Česko;2023;Služební cesty;35 až 45 let;Náklady (Kč);Domácí;
Česko;2023;Služební cesty;35 až 45 let;Náklady (Kč);Zahraniční;
Česko;2023;Služební cesty;45 až 55 let;Počet cest;Domácí;
Česko;2023;Služební cesty;45 až 55 let;Počet cest;Zahraniční;
Česko;2023;Služební cesty;45 až 55 let;Počet přenocování;Domácí;
Česko;2023;Služební cesty;45 až 55 let;Počet přenocování;Zahraniční;
Česko;2023;Služební cesty;45 až 55 let;Náklady (Kč);Domácí;
Česko;2023;Služební cesty;45 až 55 let;Náklady (Kč);Zahraniční;
Česko;2023;Služební cesty;55 až 65 let;Počet cest;Domácí;
Česko;2023;Služební cesty;55 až 65 let;Počet cest;Zahraniční;
Česko;2023;Služební cesty;55 až 65 let;Počet přenocování;Domácí;
Česko;2023;Služební cesty;55 až 65 let;Počet přenocování;Zahraniční;
Česko;2023;Služební cesty;55 až 65 let;Náklady (Kč);Domácí;
Česko;2023;Služební cesty;55 až 65 let;Náklady (Kč);Zahraniční;
Česko;2023;Služební cesty;65 a více let ;Počet cest;Domácí;
Česko;2023;Služební cesty;65 a více let ;Počet cest;Zahraniční;
Česko;2023;Služební cesty;65 a více let ;Počet přenocování;Domácí;
Česko;2023;Služební cesty;65 a více let ;Počet přenocování;Zahraniční;
Česko;2023;Služební cesty;65 a více let ;Náklady (Kč);Domácí;
Česko;2023;Služební cesty;65 a více let ;Náklady (Kč);Zahraniční;
