Stát,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Náklady práce celkem,381.4037748376
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Přímé náklady celkem,271.3510141487
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Přímé náklady - mzdy za vykonanou práci,241.6240533096
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Přímé náklady - náhrady mzdy,29.7269608391
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Nepřímé náklady - sociální požitky,6.2471777298
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,94.4546940449
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Nepřímé náklady - sociální náklady/výdaje - ostatní ,6.2022424915
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Nepřímé náklady - personální náklady/výdaje,3.5575556866
Česko,2023,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Nepřímé náklady - daně a dotace,-0.4089092639
Česko,2023,F - Stavebnictví,Náklady práce celkem,352.598058192
Česko,2023,F - Stavebnictví,Přímé náklady celkem,255.4691324876
Česko,2023,F - Stavebnictví,Přímé náklady - mzdy za vykonanou práci,229.7039811588
Česko,2023,F - Stavebnictví,Přímé náklady - náhrady mzdy,25.7651513289
Česko,2023,F - Stavebnictví,Nepřímé náklady - sociální požitky,3.4408263944
Česko,2023,F - Stavebnictví,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,87.4412616886
Česko,2023,F - Stavebnictví,Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.5943473257
Česko,2023,F - Stavebnictví,Nepřímé náklady - personální náklady/výdaje,2.6450072595
Česko,2023,F - Stavebnictví,Nepřímé náklady - daně a dotace,0.0074830361
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Náklady práce celkem,382.0031663098
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Přímé náklady celkem,276.3826461424
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Přímé náklady - mzdy za vykonanou práci,249.0339646505
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Přímé náklady - náhrady mzdy,27.3486814919
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Nepřímé náklady - sociální požitky,4.4535987281
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,94.4650158585
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Nepřímé náklady - sociální náklady/výdaje - ostatní ,4.6121087637
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Nepřímé náklady - personální náklady/výdaje,2.3943022419
Česko,2023,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Nepřímé náklady - daně a dotace,-0.3045054248
Česko,2023,H - Doprava a skladování,Náklady práce celkem,380.9344548745
Česko,2023,H - Doprava a skladování,Přímé náklady celkem,271.1672517365
Česko,2023,H - Doprava a skladování,Přímé náklady - mzdy za vykonanou práci,241.0493446708
Česko,2023,H - Doprava a skladování,Přímé náklady - náhrady mzdy,30.1179070657
Česko,2023,H - Doprava a skladování,Nepřímé náklady - sociální požitky,5.5409400697
Česko,2023,H - Doprava a skladování,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,94.256223484
Česko,2023,H - Doprava a skladování,Nepřímé náklady - sociální náklady/výdaje - ostatní ,6.7697553711
Česko,2023,H - Doprava a skladování,Nepřímé náklady - personální náklady/výdaje,3.3532681564
Česko,2023,H - Doprava a skladování,Nepřímé náklady - daně a dotace,-0.1529839432
Česko,2023,"I - Ubytování, stravování a pohostinství",Náklady práce celkem,235.3465442617
Česko,2023,"I - Ubytování, stravování a pohostinství",Přímé náklady celkem,172.1816190897
Česko,2023,"I - Ubytování, stravování a pohostinství",Přímé náklady - mzdy za vykonanou práci,156.2452797635
Česko,2023,"I - Ubytování, stravování a pohostinství",Přímé náklady - náhrady mzdy,15.9363393262
Česko,2023,"I - Ubytování, stravování a pohostinství",Nepřímé náklady - sociální požitky,1.2271128616
Česko,2023,"I - Ubytování, stravování a pohostinství",Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,58.7622514051
Česko,2023,"I - Ubytování, stravování a pohostinství",Nepřímé náklady - sociální náklady/výdaje - ostatní ,1.7682087598
Česko,2023,"I - Ubytování, stravování a pohostinství",Nepřímé náklady - personální náklady/výdaje,1.524406751
Česko,2023,"I - Ubytování, stravování a pohostinství",Nepřímé náklady - daně a dotace,-0.1170546054
Česko,2023,J - Informační a komunikační činnosti,Náklady práce celkem,711.1665002261
Česko,2023,J - Informační a komunikační činnosti,Přímé náklady celkem,517.8544572536
Česko,2023,J - Informační a komunikační činnosti,Přímé náklady - mzdy za vykonanou práci,463.1350251268
Česko,2023,J - Informační a komunikační činnosti,Přímé náklady - náhrady mzdy,54.7194321268
Česko,2023,J - Informační a komunikační činnosti,Nepřímé náklady - sociální požitky,6.9075328408
Česko,2023,J - Informační a komunikační činnosti,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,172.798661748
Česko,2023,J - Informační a komunikační činnosti,Nepřímé náklady - sociální náklady/výdaje - ostatní ,9.6085290951
Česko,2023,J - Informační a komunikační činnosti,Nepřímé náklady - personální náklady/výdaje,3.9771820957
Česko,2023,J - Informační a komunikační činnosti,Nepřímé náklady - daně a dotace,0.0201371928
Česko,2023,K - Peněžnictví a pojišťovnictví,Náklady práce celkem,712.4837031811
Česko,2023,K - Peněžnictví a pojišťovnictví,Přímé náklady celkem,501.6897133654
Česko,2023,K - Peněžnictví a pojišťovnictví,Přímé náklady - mzdy za vykonanou práci,444.2203556393
Česko,2023,K - Peněžnictví a pojišťovnictví,Přímé náklady - náhrady mzdy,57.4693577262
Česko,2023,K - Peněžnictví a pojišťovnictví,Nepřímé náklady - sociální požitky,15.7480282835
Česko,2023,K - Peněžnictví a pojišťovnictví,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,166.5013992805
Česko,2023,K - Peněžnictví a pojišťovnictví,Nepřímé náklady - sociální náklady/výdaje - ostatní ,20.1060787982
Česko,2023,K - Peněžnictví a pojišťovnictví,Nepřímé náklady - personální náklady/výdaje,8.1093810406
Česko,2023,K - Peněžnictví a pojišťovnictví,Nepřímé náklady - daně a dotace,0.3291024129
