Rok sčítání,ČR a kraje,Ukazatel,value
2011,Hlavní město Praha,Průměrná obytná plocha na 1 byt v m²,57.780974
2011,Středočeský kraj,Průměrná obytná plocha na 1 byt v m²,72.131843
2011,Jihočeský kraj,Průměrná obytná plocha na 1 byt v m²,67.555529
2011,Plzeňský kraj,Průměrná obytná plocha na 1 byt v m²,65.959533
2011,Karlovarský kraj,Průměrná obytná plocha na 1 byt v m²,62.378565
2011,Ústecký kraj,Průměrná obytná plocha na 1 byt v m²,63.054476
2011,Liberecký kraj,Průměrná obytná plocha na 1 byt v m²,65.301325
2011,Královéhradecký kraj,Průměrná obytná plocha na 1 byt v m²,66.108636
2011,Pardubický kraj,Průměrná obytná plocha na 1 byt v m²,66.524465
2011,Kraj Vysočina,Průměrná obytná plocha na 1 byt v m²,68.930716
2011,Jihomoravský kraj,Průměrná obytná plocha na 1 byt v m²,66.731356
2011,Olomoucký kraj,Průměrná obytná plocha na 1 byt v m²,65.741327
2011,Zlínský kraj,Průměrná obytná plocha na 1 byt v m²,66.897023
2011,Moravskoslezský kraj,Průměrná obytná plocha na 1 byt v m²,62.295676
